normalized_author,author_id,message_count,thread_count,first_year,last_year,top_topic,top_list_function,resolved_replies_sent,resolved_replies_received,author_status
Dominik Wujastyk,indology-author-59d4728d55,3413,2766,1990,2026,General scholarly discussion,general discussion,1939,1520,confirmed
Madhav Deshpande,indology-author-c5f809d9dd,1888,1107,1994,2026,General scholarly discussion,general discussion,1390,1415,confirmed
N. Ganesan,indology-author-a14327ff59,1126,608,1997,2001,General scholarly discussion,general discussion,733,1147,confirmed
Harry Spier,indology-author-87d25b6557,1044,647,1999,2026,General scholarly discussion,general discussion,590,925,confirmed
Nagaraj Paturi,indology-author-c3dd606c0a,832,401,2014,2026,General scholarly discussion,general discussion,785,526,confirmed
Matthew Kapstein,indology-author-af2502595c,805,578,2001,2026,General scholarly discussion,general discussion,625,588,confirmed
Lars Martin Fosse,indology-author-f30725b401,784,490,1992,2016,General scholarly discussion,general discussion,612,249,confirmed
Sudalaimuthu Palaniappan,indology-author-2bf0a0c4a4,782,513,1997,2026,General scholarly discussion,general discussion,468,631,confirmed
Allen W Thrasher,indology-author-8fe1a806cf,603,492,1997,2010,General scholarly discussion,general discussion,275,321,confirmed
Jonathan Silk,indology-author-550a0c6084,600,487,1997,2026,General scholarly discussion,general discussion,343,515,confirmed
Vidyasankar Sundaresan,indology-author-4deee72b6e,574,343,1995,2001,General scholarly discussion,general discussion,483,300,confirmed
Jan E.M. Houben,indology-author-f4e79109c4,559,437,1997,2026,General scholarly discussion,general discussion,320,376,confirmed
Christophe Vielle,indology-author-617866ed1c,553,444,2002,2026,General scholarly discussion,general discussion,368,303,confirmed
Dipak Bhattacharya,indology-author-00b11504eb,549,398,2008,2018,General scholarly discussion,general discussion,439,179,confirmed
Arlo Griffiths,indology-author-9a68bc0d00,516,442,1998,2026,General scholarly discussion,general discussion,253,336,confirmed
Michael Witzel,indology-author-63d155bdc5,514,413,1995,2016,General scholarly discussion,general discussion,254,372,confirmed
Artur Karp,indology-author-5a2e9fc9b9,465,285,1998,2021,General scholarly discussion,general discussion,320,396,confirmed
George Thompson,indology-author-c6c9e78b5c,458,308,1997,2020,General scholarly discussion,general discussion,348,300,confirmed
Swaminathan Madhuresan,indology-author-2dd5ca0744,409,296,1999,2001,General scholarly discussion,general discussion,277,290,confirmed
Martin Gansten,indology-author-c3c13788e1,380,216,1997,2026,General scholarly discussion,general discussion,257,326,confirmed
David Magier,indology-author-b64d65c9b5,354,332,1991,2017,General scholarly discussion,general discussion,116,76,confirmed
Walter Slaje,indology-author-b54b884124,348,264,1997,2026,General scholarly discussion,general discussion,228,240,confirmed
Ashok Aklujkar,indology-author-4653ee6422,328,265,1997,2019,General scholarly discussion,general discussion,208,247,confirmed
Patrick Olivelle,indology-author-3f9c2f535d,320,252,2001,2026,General scholarly discussion,general discussion,168,340,confirmed
