thread_root_id,curation_status,review_track,suggested_track,suggested_track_basis,case_type,short_title,public_note,why_it_matters,curator_comments,manual_reviewer,manual_review_date,review_notes
052077,candidate,,,,general discussion,A distraction from the Coronavirus,,,,,,long thread; multi-author; resolved replies
013924,candidate,,,,general discussion,SV: Paired Horse and PIE breakup,,,,,,long thread; multi-author; resolved replies; thanks/correction language
023195,candidate,,,,general discussion,"""Science"" in India",,,,,,long thread; multi-author; resolved replies; thanks/correction language
049728,candidate,,,,debate/controversy,Sexism and Bias on INDOLOGY governing committee,,,,,,long thread; multi-author; resolved replies; debate language
015606,candidate,,,,general discussion,Ontology of Ramanuja,,,,,,long thread; multi-author; resolved replies
049514,candidate,,philological_substance,topic=Grammar and linguistics,philological debate,Non-standard sandhi,,,,,,long thread; multi-author; resolved replies
010710,candidate,,,,general discussion,Tamil words in English,,,,,,long thread; multi-author; resolved replies; request/help language
015672,candidate,,,,general discussion,"questions: hymns, latAveZin, manner of death",,,,,,long thread; multi-author; resolved replies; request/help language
019623,candidate,,,,general discussion,Millennium,,,,,,long thread; multi-author; resolved replies; request/help language
020450,candidate,,philological_substance,topic=Veda and ritual,general discussion,BiBTeX Packages for citing MSS,,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
030283,candidate,,,,general discussion,Pancaratna of the MBh?,,,,,,long thread; multi-author; resolved replies; request/help language; debate language
060627,candidate,,,,memorial/community memory,Johannes Bronkhorst gone,,,,,,long thread; multi-author; resolved replies
012389,candidate,,,,general discussion,South India geography,,,,,,long thread; multi-author; resolved replies; request/help language
014966,candidate,,,,general discussion,Early Giithaa sculptures,,,,,,long thread; multi-author; resolved replies; request/help language; debate language
014599,candidate,,,,general discussion,'Siva and Avalokitezvara,,,,,,long thread; multi-author; resolved replies; request/help language
016740,candidate,,,,general discussion,original inhabitants of Sri Lanka,,,,,,long thread; multi-author; resolved replies; thanks/correction language
023602,candidate,,infrastructure_history,keyword match,general discussion,HTML Based Email (AOL 6.0),,,,,,long thread; multi-author; resolved replies; thanks/correction language
024160,candidate,,philological_substance,keyword match,general discussion,Correction re: Cerebral L in Rg Veda,,,,,,long thread; multi-author; resolved replies; request/help language; thanks/correction language
053691,candidate,,,,general discussion,Anniversary of INDOLOGY,,,,,,long thread; multi-author; resolved replies
012034,candidate,,,,general discussion,Zraadha in Nepal,,,,,,long thread; multi-author; resolved replies; debate language
051856,candidate,,,,general discussion,A distraction from the Coronavirus,,,,,,long thread; multi-author; resolved replies
011216,candidate,,,,general discussion,Padmabhushan,,,,,,long thread; multi-author; resolved replies; request/help language; debate language
017083,candidate,,,,general discussion,DharmasthaLa,,,,,,long thread; multi-author; resolved replies
048256,candidate,,,,general discussion,Sanskrit can tackle climate change,,,,,,long thread; multi-author; resolved replies
006983,candidate,,infrastructure_history,function=general discussion,digital resource/tool,Update 2 to Pali Canon online,,,,,,long thread; multi-author; resolved replies; thanks/correction language
011114,candidate,,,,general discussion,Indo-Aryan invasion,,,,,,long thread; multi-author; resolved replies; request/help language
030315,candidate,,,,general discussion,"Indology and ""the disastrous ideology of the 'pure Aryan race'""",,,,,,long thread; multi-author; resolved replies; debate language
008004,candidate,,,,general discussion,hair's colour in sanskrit,,,,,,long thread; multi-author; resolved replies; request/help language
041200,candidate,,,,bibliographic rescue,Article about the politics surrounding indology at the IHRC,,,,,,long thread; multi-author; resolved replies; request/help language; debate language
014738,candidate,,,,general discussion,Kamban's Aryan,,,,,,long thread; multi-author; resolved replies; request/help language
013052,candidate,,philological_substance,keyword match,general discussion,Early excommunications from / inclusions into vedic ...,,,,,,long thread; multi-author; resolved replies
022237,candidate,,,,general discussion,Rajaram's PILTDOWN horse,,,,,,long thread; multi-author; resolved replies; debate language
054683,candidate,,,,general discussion,The Buddhist term sutta,,,,,,long thread; multi-author; resolved replies
032607,candidate,,,,general discussion,frequencies,,,,,,long thread; multi-author; resolved replies
024525,candidate,,,,general discussion,Questions on Indian idealism,,,,,,long thread; multi-author; resolved replies; request/help language
023085,candidate,,,,general discussion,Summer Malayalam,,,,,,long thread; multi-author; resolved replies; debate language
015007,candidate,,,,general discussion,Jaffrelot book,,,,,,long thread; multi-author; resolved replies
058304,candidate,,,,general discussion,"Whitney and doubling of ""ch""",,,,,,long thread; multi-author; resolved replies
038062,candidate,,philological_substance,function=identification/help request,identification/help request,question for European Indologists,,,,,,long thread; multi-author; resolved replies; request/help language
033994,candidate,,,,general discussion,INDOLOGY FAQ. Re. Varanasi,,,,,,long thread; multi-author; resolved replies
017521,candidate,,,,general discussion,"Is ""Sanskrit"" Dravidian?",,,,,,long thread; multi-author; resolved replies; request/help language
051899,candidate,,,,general discussion,The study of Sanskrit as the epitome of uselessness,,,,,,long thread; multi-author; resolved replies
039600,candidate,,,,general discussion,Alchemy metaphor,,,,,,long thread; multi-author; resolved replies
050859,candidate,,philological_substance,function=identification/help request,identification/help request,Query on verse forms,,,,,,long thread; multi-author; resolved replies; request/help language
