domain,priority,source_file,source_row,record_id,label,status,reason,evidence_url,reviewer,checked_at,note
author_normalization,high,data/processed/authors_needing_review.csv,2,indology-author-5071330ef4,rajam,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,3,indology-author-0def681bb2,Dominique.Thillaud,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,4,indology-author-90ccc74009,S.Kalyanaraman,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,5,indology-author-b059325258,mkapstei at UCHICAGO.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,6,indology-author-70dbb994f4,l.m.fosse at easteur-orient.uio.no,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,7,indology-author-ccf49dfc93,jkirk,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,8,indology-author-9e4dce11c7,aklujkar at unixg.ubc.ca,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,9,indology-author-0c42020c0c,nas_ng at lms420.jsc.nasa.gov,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,10,indology-author-7f1be0e6f8,Palaniappa at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,11,indology-author-9274bedd66,gruenendahl,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,12,indology-author-53db191dcb,jacob at fabularasa.dk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,13,indology-author-7f1be0e6f8,palaniappa at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,14,indology-author-cefe7d8bb5,bpj at netg.se,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,15,indology-author-e87a4e9ab5,thompson at jlc.net,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,16,indology-author-4b832a6727,L.S.Cousins,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,17,indology-author-ea82e970e9,Palaniappa,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,18,indology-author-21d6422a84,GANESANS at cl.uh.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,19,indology-author-464a242eee,zydenbos at flevoland.xs4all.nl,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,20,indology-author-c18e8eeca5,witzel at HUSC3.HARVARD.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,21,indology-author-ca35ec6f52,ucgadkw at ucl.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,22,indology-author-ef08daf731,mrabe at artic.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,23,indology-author-852b622034,thompson at handel.jlc.net,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,24,indology-author-3f8642129c,soni at staff.uni-marburg.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,25,indology-author-ee208518ac,H.M.Hubey,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,26,indology-author-7b482cf56f,SILK at AC.GRIN.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,27,indology-author-5f9a19d4c9,jayabarathi,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,28,indology-author-5809febd9b,jonathan.silk at wmich.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,29,indology-author-823ed49204,mgansten at sbbs.se,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,30,indology-author-03a5de7c3f,dermot at grevatt.force9.co.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,31,indology-author-28f609eb69,a.murugaiyan,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,32,indology-author-06a13c3a04,franco at RZ.UNI-LEIPZIG.DE,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,33,indology-author-6b2f02fea1,pclaus at s1.csuhayward.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,34,indology-author-12de50ea35,kellner at ue.ipc.hiroshima-u.ac.jp,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,35,indology-author-34ae00f6a0,mhcrxlc at dir.mcc.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,36,indology-author-6f627c04ac,jacob.baltuch at infoboard.be,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,37,indology-author-f248577482,DR.S.KALYANARAMAN,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,38,indology-author-c727632c30,SNS,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,39,indology-author-c0a1f0953c,g.v.simson at easteur-orient.uio.no,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,40,indology-author-a312ac392f,jhakgirish,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,41,indology-author-412fe2416f,y.r.rani at mail.utexas.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,42,indology-author-6cc9d976e3,RAJAGOPALANM at HARPO.TNSTATE.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,43,indology-author-3e7b0c396e,Dmitri,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,44,indology-author-9274bedd66,GRUENENDAHL,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,45,indology-author-a852e96c9f,JKirkpatrick,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,46,indology-author-bf73cd70a2,Vaidix,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,47,indology-author-daada815ad,rohan.oberoi at CORNELL.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,48,indology-author-7e2c00b73c,RAH,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,49,indology-author-f14d7cced6,andra.kleb at gmail.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,50,indology-author-8be11d84ef,rrocher at sas.upenn.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,51,indology-author-97653ab81e,Bh.Krishnamurti,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,52,indology-author-f248577482,Dr.S.Kalyanaraman,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,53,indology-author-2b920d6e2d,N.Ganesan,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,54,indology-author-525b378e12,yanom at ksuvx0.kyoto-su.ac.jp,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,55,indology-author-3d0ecaa0dd,AmitaSarin at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,56,indology-author-18a265d52f,Hrid at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,57,indology-author-886dd70568,madhav.deshpande at um.cc.umich.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,58,indology-author-dfb941a608,rrocher,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,59,indology-author-bd73d35759,Jo,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,60,indology-author-8f6aff8ab7,jmdelire,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,61,indology-author-e4013de751,mhcrxlc at dir.manchester-computing-centre.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,62,indology-author-a1305ca10f,Franco,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,63,indology-author-6889a0af3f,Karin.Preisendanz,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,64,indology-author-982e3da841,Max.Nihom at oeaw.ac.at,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,65,indology-author-c1e4f01b9d,V.C.Vijayaraghavan,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,66,indology-author-c18e8eeca5,WITZEL at HUSC3.HARVARD.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,67,indology-author-09cc191bf2,kalyans at ix.netcom.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,68,indology-author-0691376045,mbroo at abo.fi,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,69,indology-author-b79aca2251,vidya,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,70,indology-author-003e440109,Stephens,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,71,indology-author-7ccf8115fc,koenraad.elst at telenet.be,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,72,indology-author-a522c71545,mani at srirangam.esd.sgi.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,73,indology-author-730ed26262,thillaud at unice.fr,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,74,indology-author-aa07172bae,vidya at cco.caltech.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,75,indology-author-b0ae7986fb,n.rao at rz.uni-sb.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,76,indology-author-5f9a19d4c9,JAYABARATHI,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,77,indology-author-b1e95affb6,jacob.baltuch at euronet.be,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,78,indology-author-d5ddc39339,r.l.schmidt at easteur-orient.uio.no,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,79,indology-author-4a7177f9a4,ACHARB at MSUVX1.MEMPHIS.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,80,indology-author-3d053aa22e,H.B.Dave,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,81,indology-author-1b337c33aa,ZYSK at ACFcluster.NYU.EDU,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,82,indology-author-073a3b6807,d.keown at gold.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,83,indology-author-0ec821680a,hellwig7 at gmx.de,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,84,indology-author-d0bebc3f19,DKumar6248 at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,85,indology-author-416420b56f,Swantham,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,86,indology-author-6594b67d46,cardona at unagi.cis.upenn.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,87,indology-author-861452fbe2,cejka at praha1.ff.cuni.cz,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,88,indology-author-ace418821f,gail at utxvms.cc.utexas.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,89,indology-author-7615ffca64,george9252,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,90,indology-author-9a5dfac7b9,tatiana.oranskaia,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,91,indology-author-c18e8eeca5,witzel at husc3.harvard.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,92,indology-author-f0d9220796,MDSAAA48 at GIASMD01.VSNL.NET.IN,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,93,indology-author-3f9cad6085,Sfauthor at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,94,indology-author-8a59e80fdb,asko.parpola at helsinki.fi,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,95,indology-author-c7238ef117,tantrapl at hektor.umcs.lublin.pl,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,96,indology-author-e52aeafa00,Hueckstedt,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,97,indology-author-d702cdfae4,Jan.Dvorak at ff.cuni.cz,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,98,indology-author-9a752c778b,Joydeep,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,99,indology-author-06fa905d7f,Stephen,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,100,indology-author-aafa6f968d,kichenas at math.umn.edu,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,101,indology-author-dc55ad007d,wagers at computek.net,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,102,indology-author-5bbb428899,Ganesan,needs_review,short or single-token display name; retained without merge,,,,
author_normalization,high,data/processed/authors_needing_review.csv,103,indology-author-7285eb5dc3,JHOUBEN at rullet.LeidenUniv.nl,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,104,indology-author-d25717fe1f,Kalyans at aol.com,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
author_normalization,high,data/processed/authors_needing_review.csv,105,indology-author-062e866bfa,R.Mayer at ukc.ac.uk,needs_review,email-like public archive author string; not merged to a real-name identity,,,,
