slug,year,month,month_name,message_count_index,message_count_mbox,gzip_kb_index,thread_url,date_url,gzip_url
1990-November,1990,11,November,16,16,7,https://list.indology.info/pipermail/indology/1990-November/thread.html,https://list.indology.info/pipermail/indology/1990-November/date.html,https://list.indology.info/pipermail/indology/1990-November.txt.gz
1990-December,1990,12,December,6,6,4,https://list.indology.info/pipermail/indology/1990-December/thread.html,https://list.indology.info/pipermail/indology/1990-December/date.html,https://list.indology.info/pipermail/indology/1990-December.txt.gz
1991-January,1991,1,January,5,5,2,https://list.indology.info/pipermail/indology/1991-January/thread.html,https://list.indology.info/pipermail/indology/1991-January/date.html,https://list.indology.info/pipermail/indology/1991-January.txt.gz
1991-February,1991,2,February,15,15,8,https://list.indology.info/pipermail/indology/1991-February/thread.html,https://list.indology.info/pipermail/indology/1991-February/date.html,https://list.indology.info/pipermail/indology/1991-February.txt.gz
1991-March,1991,3,March,1,1,1,https://list.indology.info/pipermail/indology/1991-March/thread.html,https://list.indology.info/pipermail/indology/1991-March/date.html,https://list.indology.info/pipermail/indology/1991-March.txt.gz
1991-April,1991,4,April,7,7,4,https://list.indology.info/pipermail/indology/1991-April/thread.html,https://list.indology.info/pipermail/indology/1991-April/date.html,https://list.indology.info/pipermail/indology/1991-April.txt.gz
1991-May,1991,5,May,18,18,8,https://list.indology.info/pipermail/indology/1991-May/thread.html,https://list.indology.info/pipermail/indology/1991-May/date.html,https://list.indology.info/pipermail/indology/1991-May.txt.gz
1991-June,1991,6,June,24,24,9,https://list.indology.info/pipermail/indology/1991-June/thread.html,https://list.indology.info/pipermail/indology/1991-June/date.html,https://list.indology.info/pipermail/indology/1991-June.txt.gz
1991-July,1991,7,July,15,15,10,https://list.indology.info/pipermail/indology/1991-July/thread.html,https://list.indology.info/pipermail/indology/1991-July/date.html,https://list.indology.info/pipermail/indology/1991-July.txt.gz
1991-August,1991,8,August,7,7,2,https://list.indology.info/pipermail/indology/1991-August/thread.html,https://list.indology.info/pipermail/indology/1991-August/date.html,https://list.indology.info/pipermail/indology/1991-August.txt.gz
1991-September,1991,9,September,17,17,9,https://list.indology.info/pipermail/indology/1991-September/thread.html,https://list.indology.info/pipermail/indology/1991-September/date.html,https://list.indology.info/pipermail/indology/1991-September.txt.gz
1991-October,1991,10,October,15,15,9,https://list.indology.info/pipermail/indology/1991-October/thread.html,https://list.indology.info/pipermail/indology/1991-October/date.html,https://list.indology.info/pipermail/indology/1991-October.txt.gz
1991-November,1991,11,November,19,19,13,https://list.indology.info/pipermail/indology/1991-November/thread.html,https://list.indology.info/pipermail/indology/1991-November/date.html,https://list.indology.info/pipermail/indology/1991-November.txt.gz
1991-December,1991,12,December,4,4,2,https://list.indology.info/pipermail/indology/1991-December/thread.html,https://list.indology.info/pipermail/indology/1991-December/date.html,https://list.indology.info/pipermail/indology/1991-December.txt.gz
1992-January,1992,1,January,10,10,2,https://list.indology.info/pipermail/indology/1992-January/thread.html,https://list.indology.info/pipermail/indology/1992-January/date.html,https://list.indology.info/pipermail/indology/1992-January.txt.gz
1992-February,1992,2,February,18,18,18,https://list.indology.info/pipermail/indology/1992-February/thread.html,https://list.indology.info/pipermail/indology/1992-February/date.html,https://list.indology.info/pipermail/indology/1992-February.txt.gz
1992-March,1992,3,March,19,19,11,https://list.indology.info/pipermail/indology/1992-March/thread.html,https://list.indology.info/pipermail/indology/1992-March/date.html,https://list.indology.info/pipermail/indology/1992-March.txt.gz
1992-April,1992,4,April,9,9,5,https://list.indology.info/pipermail/indology/1992-April/thread.html,https://list.indology.info/pipermail/indology/1992-April/date.html,https://list.indology.info/pipermail/indology/1992-April.txt.gz
1992-May,1992,5,May,27,27,13,https://list.indology.info/pipermail/indology/1992-May/thread.html,https://list.indology.info/pipermail/indology/1992-May/date.html,https://list.indology.info/pipermail/indology/1992-May.txt.gz
1992-June,1992,6,June,37,37,19,https://list.indology.info/pipermail/indology/1992-June/thread.html,https://list.indology.info/pipermail/indology/1992-June/date.html,https://list.indology.info/pipermail/indology/1992-June.txt.gz
1992-July,1992,7,July,16,16,14,https://list.indology.info/pipermail/indology/1992-July/thread.html,https://list.indology.info/pipermail/indology/1992-July/date.html,https://list.indology.info/pipermail/indology/1992-July.txt.gz
1992-August,1992,8,August,15,15,7,https://list.indology.info/pipermail/indology/1992-August/thread.html,https://list.indology.info/pipermail/indology/1992-August/date.html,https://list.indology.info/pipermail/indology/1992-August.txt.gz
1992-September,1992,9,September,26,26,25,https://list.indology.info/pipermail/indology/1992-September/thread.html,https://list.indology.info/pipermail/indology/1992-September/date.html,https://list.indology.info/pipermail/indology/1992-September.txt.gz
1992-October,1992,10,October,5,5,2,https://list.indology.info/pipermail/indology/1992-October/thread.html,https://list.indology.info/pipermail/indology/1992-October/date.html,https://list.indology.info/pipermail/indology/1992-October.txt.gz
1992-November,1992,11,November,16,16,8,https://list.indology.info/pipermail/indology/1992-November/thread.html,https://list.indology.info/pipermail/indology/1992-November/date.html,https://list.indology.info/pipermail/indology/1992-November.txt.gz
1992-December,1992,12,December,12,12,19,https://list.indology.info/pipermail/indology/1992-December/thread.html,https://list.indology.info/pipermail/indology/1992-December/date.html,https://list.indology.info/pipermail/indology/1992-December.txt.gz
1993-January,1993,1,January,37,37,27,https://list.indology.info/pipermail/indology/1993-January/thread.html,https://list.indology.info/pipermail/indology/1993-January/date.html,https://list.indology.info/pipermail/indology/1993-January.txt.gz
1993-February,1993,2,February,41,41,35,https://list.indology.info/pipermail/indology/1993-February/thread.html,https://list.indology.info/pipermail/indology/1993-February/date.html,https://list.indology.info/pipermail/indology/1993-February.txt.gz
1993-March,1993,3,March,32,32,21,https://list.indology.info/pipermail/indology/1993-March/thread.html,https://list.indology.info/pipermail/indology/1993-March/date.html,https://list.indology.info/pipermail/indology/1993-March.txt.gz
1993-April,1993,4,April,3,3,1,https://list.indology.info/pipermail/indology/1993-April/thread.html,https://list.indology.info/pipermail/indology/1993-April/date.html,https://list.indology.info/pipermail/indology/1993-April.txt.gz
1993-May,1993,5,May,31,31,21,https://list.indology.info/pipermail/indology/1993-May/thread.html,https://list.indology.info/pipermail/indology/1993-May/date.html,https://list.indology.info/pipermail/indology/1993-May.txt.gz
1993-June,1993,6,June,63,63,37,https://list.indology.info/pipermail/indology/1993-June/thread.html,https://list.indology.info/pipermail/indology/1993-June/date.html,https://list.indology.info/pipermail/indology/1993-June.txt.gz
1993-July,1993,7,July,34,34,38,https://list.indology.info/pipermail/indology/1993-July/thread.html,https://list.indology.info/pipermail/indology/1993-July/date.html,https://list.indology.info/pipermail/indology/1993-July.txt.gz
1993-August,1993,8,August,37,37,17,https://list.indology.info/pipermail/indology/1993-August/thread.html,https://list.indology.info/pipermail/indology/1993-August/date.html,https://list.indology.info/pipermail/indology/1993-August.txt.gz
1993-September,1993,9,September,48,48,31,https://list.indology.info/pipermail/indology/1993-September/thread.html,https://list.indology.info/pipermail/indology/1993-September/date.html,https://list.indology.info/pipermail/indology/1993-September.txt.gz
1993-October,1993,10,October,51,51,38,https://list.indology.info/pipermail/indology/1993-October/thread.html,https://list.indology.info/pipermail/indology/1993-October/date.html,https://list.indology.info/pipermail/indology/1993-October.txt.gz
1993-November,1993,11,November,51,51,53,https://list.indology.info/pipermail/indology/1993-November/thread.html,https://list.indology.info/pipermail/indology/1993-November/date.html,https://list.indology.info/pipermail/indology/1993-November.txt.gz
1993-December,1993,12,December,45,45,29,https://list.indology.info/pipermail/indology/1993-December/thread.html,https://list.indology.info/pipermail/indology/1993-December/date.html,https://list.indology.info/pipermail/indology/1993-December.txt.gz
1994-January,1994,1,January,31,31,14,https://list.indology.info/pipermail/indology/1994-January/thread.html,https://list.indology.info/pipermail/indology/1994-January/date.html,https://list.indology.info/pipermail/indology/1994-January.txt.gz
1994-February,1994,2,February,36,36,23,https://list.indology.info/pipermail/indology/1994-February/thread.html,https://list.indology.info/pipermail/indology/1994-February/date.html,https://list.indology.info/pipermail/indology/1994-February.txt.gz
1994-March,1994,3,March,56,56,38,https://list.indology.info/pipermail/indology/1994-March/thread.html,https://list.indology.info/pipermail/indology/1994-March/date.html,https://list.indology.info/pipermail/indology/1994-March.txt.gz
1994-April,1994,4,April,68,68,30,https://list.indology.info/pipermail/indology/1994-April/thread.html,https://list.indology.info/pipermail/indology/1994-April/date.html,https://list.indology.info/pipermail/indology/1994-April.txt.gz
1994-May,1994,5,May,22,22,17,https://list.indology.info/pipermail/indology/1994-May/thread.html,https://list.indology.info/pipermail/indology/1994-May/date.html,https://list.indology.info/pipermail/indology/1994-May.txt.gz
1994-June,1994,6,June,29,29,20,https://list.indology.info/pipermail/indology/1994-June/thread.html,https://list.indology.info/pipermail/indology/1994-June/date.html,https://list.indology.info/pipermail/indology/1994-June.txt.gz
1994-July,1994,7,July,36,36,30,https://list.indology.info/pipermail/indology/1994-July/thread.html,https://list.indology.info/pipermail/indology/1994-July/date.html,https://list.indology.info/pipermail/indology/1994-July.txt.gz
1994-August,1994,8,August,72,72,79,https://list.indology.info/pipermail/indology/1994-August/thread.html,https://list.indology.info/pipermail/indology/1994-August/date.html,https://list.indology.info/pipermail/indology/1994-August.txt.gz
1994-September,1994,9,September,197,197,134,https://list.indology.info/pipermail/indology/1994-September/thread.html,https://list.indology.info/pipermail/indology/1994-September/date.html,https://list.indology.info/pipermail/indology/1994-September.txt.gz
1994-October,1994,10,October,103,103,63,https://list.indology.info/pipermail/indology/1994-October/thread.html,https://list.indology.info/pipermail/indology/1994-October/date.html,https://list.indology.info/pipermail/indology/1994-October.txt.gz
1994-November,1994,11,November,140,140,85,https://list.indology.info/pipermail/indology/1994-November/thread.html,https://list.indology.info/pipermail/indology/1994-November/date.html,https://list.indology.info/pipermail/indology/1994-November.txt.gz
1994-December,1994,12,December,74,74,55,https://list.indology.info/pipermail/indology/1994-December/thread.html,https://list.indology.info/pipermail/indology/1994-December/date.html,https://list.indology.info/pipermail/indology/1994-December.txt.gz
1995-January,1995,1,January,152,152,83,https://list.indology.info/pipermail/indology/1995-January/thread.html,https://list.indology.info/pipermail/indology/1995-January/date.html,https://list.indology.info/pipermail/indology/1995-January.txt.gz
1995-February,1995,2,February,240,240,170,https://list.indology.info/pipermail/indology/1995-February/thread.html,https://list.indology.info/pipermail/indology/1995-February/date.html,https://list.indology.info/pipermail/indology/1995-February.txt.gz
1995-March,1995,3,March,154,154,105,https://list.indology.info/pipermail/indology/1995-March/thread.html,https://list.indology.info/pipermail/indology/1995-March/date.html,https://list.indology.info/pipermail/indology/1995-March.txt.gz
1995-April,1995,4,April,131,131,73,https://list.indology.info/pipermail/indology/1995-April/thread.html,https://list.indology.info/pipermail/indology/1995-April/date.html,https://list.indology.info/pipermail/indology/1995-April.txt.gz
1995-May,1995,5,May,156,156,87,https://list.indology.info/pipermail/indology/1995-May/thread.html,https://list.indology.info/pipermail/indology/1995-May/date.html,https://list.indology.info/pipermail/indology/1995-May.txt.gz
1995-June,1995,6,June,167,167,106,https://list.indology.info/pipermail/indology/1995-June/thread.html,https://list.indology.info/pipermail/indology/1995-June/date.html,https://list.indology.info/pipermail/indology/1995-June.txt.gz
1995-July,1995,7,July,156,156,116,https://list.indology.info/pipermail/indology/1995-July/thread.html,https://list.indology.info/pipermail/indology/1995-July/date.html,https://list.indology.info/pipermail/indology/1995-July.txt.gz
1995-August,1995,8,August,257,257,149,https://list.indology.info/pipermail/indology/1995-August/thread.html,https://list.indology.info/pipermail/indology/1995-August/date.html,https://list.indology.info/pipermail/indology/1995-August.txt.gz
