archive_id,message_id,thread_root_id,date,year,month,archive_url,normalized_author,clean_subject,primary_topic,list_function,rule_id,renou_axis,renou_code,renou_label,renou_covers,matched_term,confidence,evidence,source_url
000009,<161227014905.23782.5415640691229578776.generated@prod2.harmonylists.io>,000009,1990-11-28 14:48:36+00:00,1990,11,https://list.indology.info/pipermail/indology/1990-November/000009.html,Dominik Wujastyk,forwarded message: seeking Mahabharata e-text.,Bibliographic requests,identification/help request,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Mahabharata,subject_pattern,subject matched `Mahabharata` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000009,<161227014905.23782.5415640691229578776.generated@prod2.harmonylists.io>,000009,1990-11-28 14:48:36+00:00,1990,11,https://list.indology.info/pipermail/indology/1990-November/000009.html,Dominik Wujastyk,forwarded message: seeking Mahabharata e-text.,Bibliographic requests,identification/help request,register_epic,register,epic,Epic,Epic,Mahabharata,subject_pattern,subject matched `Mahabharata` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000116,<161227015106.23782.13711813816824322580.generated@prod2.harmonylists.io>,000116,1991-08-21 07:47:00+00:00,1991,8,https://list.indology.info/pipermail/indology/1991-August/000116.html,JBRONKHO at CH.UNIL.ULYS,Vedic dates,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Vedic,subject_pattern,subject matched `Vedic` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000117,<161227015108.23782.15149419360628422767.generated@prod2.harmonylists.io>,000116,1991-08-21 18:43:00+00:00,1991,8,https://list.indology.info/pipermail/indology/1991-August/000117.html,ZYSK at EDU.NYU.ACFCLUSTER,Vedic dates,Veda and ritual,general discussion,state_I,state,I,Vedic,"Saṃhitā, Brāhmaṇa, Upaniṣad, Sūtra, Vedāṅga",Vedic,subject_pattern,subject matched `Vedic` using `state_I`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000167,<161227015198.23782.9881265868117290977.generated@prod2.harmonylists.io>,000167,1991-11-30 16:28:48+00:00,1991,11,https://list.indology.info/pipermail/indology/1991-November/000167.html,Ajit Ranade,need info about grammar book,Grammar and linguistics,philological discussion,state_II,state,II,Pāṇinian,the classical norm and grammarians' Sanskrit,grammar,subject_pattern,subject matched `grammar` using `state_II`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000167,<161227015198.23782.9881265868117290977.generated@prod2.harmonylists.io>,000167,1991-11-30 16:28:48+00:00,1991,11,https://list.indology.info/pipermail/indology/1991-November/000167.html,Ajit Ranade,need info about grammar book,Grammar and linguistics,philological discussion,register_vyakarana,register,vyakarana,Vyākaraṇa,Vyākaraṇa,grammar,subject_pattern,subject matched `grammar` using `register_vyakarana`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000192,<161227015242.23782.5624893872738425947.generated@prod2.harmonylists.io>,000192,1992-02-15 19:43:30+00:00,1992,2,https://list.indology.info/pipermail/indology/1992-February/000192.html,Dominik Wujastyk,5.0679 Qs: Pali E-Texts; COMPress; Bergen Libraries... (5/109),Buddhism and Jainism,general discussion,state_V,state,V,Buddhist / Jaina,Buddhist Hybrid and Jaina Sanskrit,Pali,subject_pattern,subject matched `Pali` using `state_V`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000193,<161227015244.23782.514155093325937639.generated@prod2.harmonylists.io>,000193,1992-02-16 21:22:00+00:00,1992,2,https://list.indology.info/pipermail/indology/1992-February/000193.html,JHUBBARD at EARN.SMITH,5.0679 Qs: Pali E-Texts; COMPress; Bergen Libraries... (5/109,Buddhism and Jainism,general discussion,state_V,state,V,Buddhist / Jaina,Buddhist Hybrid and Jaina Sanskrit,Pali,subject_pattern,subject matched `Pali` using `state_V`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000200,<161227015257.23782.15958230411730515390.generated@prod2.harmonylists.io>,000200,1992-03-05 23:00:28+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000200.html,D. Carpenter,help on Mahabharata passage,Texts and philology,identification/help request,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Mahabharata,subject_pattern,subject matched `Mahabharata` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000200,<161227015257.23782.15958230411730515390.generated@prod2.harmonylists.io>,000200,1992-03-05 23:00:28+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000200.html,D. Carpenter,help on Mahabharata passage,Texts and philology,identification/help request,register_epic,register,epic,Epic,Epic,Mahabharata,subject_pattern,subject matched `Mahabharata` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000204,<161227015263.23782.8870097087056785071.generated@prod2.harmonylists.io>,000200,1992-03-09 15:54:49+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000204.html,FALK at DE.UNI-FREIBURG.RUF.IBM,help on Mahabharata passage,Texts and philology,identification/help request,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Mahabharata,subject_pattern,subject matched `Mahabharata` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000204,<161227015263.23782.8870097087056785071.generated@prod2.harmonylists.io>,000200,1992-03-09 15:54:49+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000204.html,FALK at DE.UNI-FREIBURG.RUF.IBM,help on Mahabharata passage,Texts and philology,identification/help request,register_epic,register,epic,Epic,Epic,Mahabharata,subject_pattern,subject matched `Mahabharata` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000205,<161227015264.23782.11571025476575469757.generated@prod2.harmonylists.io>,000200,1992-03-09 19:54:02+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000205.html,Dominik Wujastyk,help on Mahabharata passage,Texts and philology,identification/help request,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Mahabharata,subject_pattern,subject matched `Mahabharata` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000205,<161227015264.23782.11571025476575469757.generated@prod2.harmonylists.io>,000200,1992-03-09 19:54:02+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000205.html,Dominik Wujastyk,help on Mahabharata passage,Texts and philology,identification/help request,register_epic,register,epic,Epic,Epic,Mahabharata,subject_pattern,subject matched `Mahabharata` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000206,<161227015266.23782.13945700234843779235.generated@prod2.harmonylists.io>,000206,1992-03-10 00:26:31+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000206.html,Dominik Wujastyk,Mahabharata 5.172.20 follow-up,Texts and philology,general discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Mahabharata,subject_pattern,subject matched `Mahabharata` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000206,<161227015266.23782.13945700234843779235.generated@prod2.harmonylists.io>,000206,1992-03-10 00:26:31+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000206.html,Dominik Wujastyk,Mahabharata 5.172.20 follow-up,Texts and philology,general discussion,register_epic,register,epic,Epic,Epic,Mahabharata,subject_pattern,subject matched `Mahabharata` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000207,<161227015268.23782.17957213265241631733.generated@prod2.harmonylists.io>,000206,1992-03-10 13:08:08+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000207.html,Richard P Hayes,Mahabharata 5.172.20 follow-up,Texts and philology,general discussion,state_III,state,III,Epic & prolongements,"Mbh, Rām, Harivaṃśa, Gītā, Purāṇa, Smṛti, Tantra",Mahabharata,subject_pattern,subject matched `Mahabharata` using `state_III`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000207,<161227015268.23782.17957213265241631733.generated@prod2.harmonylists.io>,000206,1992-03-10 13:08:08+00:00,1992,3,https://list.indology.info/pipermail/indology/1992-March/000207.html,Richard P Hayes,Mahabharata 5.172.20 follow-up,Texts and philology,general discussion,register_epic,register,epic,Epic,Epic,Mahabharata,subject_pattern,subject matched `Mahabharata` using `register_epic`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000263,<161227015377.23782.7528286018784493143.generated@prod2.harmonylists.io>,000255,1992-06-09 11:37:00+00:00,1992,6,https://list.indology.info/pipermail/indology/1992-June/000263.html,Surenda Gambhir,Chaulukya period inscriptions,General scholarly discussion,general discussion,register_epig,register,epig,Epigraphic,Epigraphic,inscriptions,subject_pattern,subject matched `inscriptions` using `register_epig`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
000265,<161227015379.23782.13672219337072842133.generated@prod2.harmonylists.io>,000265,1992-06-09 18:51:25+00:00,1992,6,https://list.indology.info/pipermail/indology/1992-June/000265.html,INDINST at UK.AC.OXFORD.VAX,Chaulukya period inscriptions,General scholarly discussion,general discussion,register_epig,register,epig,Epigraphic,Epigraphic,inscriptions,subject_pattern,subject matched `inscriptions` using `register_epig`,https://github.com/gasyoun/SanskritLexicography/blob/master/RussianTranslation/RENOU.md
