thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
001397,Atharva-Veda,1994,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1994-October/001397.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009522,References for kAlasUtra in atharvaveda,1997,Veda and ritual,general discussion,2,https://list.indology.info/pipermail/indology/1997-October/009522.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `atharvaveda` using `state_I`; subject matched `atharva` using `register_atharva`
009662,Atharva Veda info request,1997,Bibliographic requests,general discussion,1,https://list.indology.info/pipermail/indology/1997-October/009662.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009659,Q: Book title,1997,General scholarly discussion,general discussion,9,https://list.indology.info/pipermail/indology/1997-October/009659.html,I,atharva,Atharvaveda; Vedic,2,4,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`; subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009663,Centre National de la recherche Scientifique,1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-October/009663.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009666,Atharva Veda info request,1997,Bibliographic requests,general discussion,1,https://list.indology.info/pipermail/indology/1997-October/009666.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009672,Atharva Veda info request,1997,Bibliographic requests,general discussion,3,https://list.indology.info/pipermail/indology/1997-October/009672.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009669,Narayaniya studies,1997,General scholarly discussion,general discussion,5,https://list.indology.info/pipermail/indology/1997-October/009669.html,I; V,atharva; jaina,Atharvaveda; Buddhist / Jaina; Jaina; Vedic,3,6,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`; subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`; subject matched `Jain` using `state_V`; subject matched `Jain` using `register_jaina`
009683,Atharva Veda info request,1997,Bibliographic requests,general discussion,1,https://list.indology.info/pipermail/indology/1997-October/009683.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009692,Atharva Veda info request,1997,Bibliographic requests,general discussion,2,https://list.indology.info/pipermail/indology/1997-November/009692.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009691,Marathi repha,1997,General scholarly discussion,general discussion,5,https://list.indology.info/pipermail/indology/1997-November/009691.html,I; II,atharva; vyakarana,Atharvaveda; Pāṇinian; Vedic; Vyākaraṇa,2,4,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`; subject matched `grammatical` using `state_II`; subject matched `grammatical` using `register_vyakarana`
009742,m/anusvAra & s/visarga,1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-November/009742.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009763,Atharva Veda info request,1997,Bibliographic requests,general discussion,2,https://list.indology.info/pipermail/indology/1997-November/009764.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
009804,Atharva Veda info request,1997,Bibliographic requests,general discussion,1,https://list.indology.info/pipermail/indology/1997-November/009804.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Veda` using `state_I`; subject matched `Atharva` using `register_atharva`
010248,"Harvard Or.Ser: M. Deshpande, AV-Pratisakhya",1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-December/010248.html,,atharva,Atharvaveda,1,1,subject_pattern,subject matched `AV` using `register_atharva`
020844,Austric ... Atharva-veda,2000,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/2000-March/020844.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `veda` using `state_I`; subject matched `Atharva` using `register_atharva`
027475,New book on Paippalâda Atharvaveda,2003,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/2003-February/027475.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
031591,book announcement: Paippalada-Samhita of the Atharvaveda,2008,Veda and ritual,general discussion,2,https://list.indology.info/pipermail/indology/2008-April/031592.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Samhita` using `state_I`; subject matched `Atharva` using `register_atharva`
031593,book announcement: Paippalada-Samhita of the Atharvaveda,2008,Veda and ritual,general discussion,2,https://list.indology.info/pipermail/indology/2008-April/031593.html,I; IV,atharva; kavya,Atharvaveda; Classical; Kāvya; Vedic,2,4,subject_pattern,subject matched `Samhita` using `state_I`; subject matched `Atharva` using `register_atharva`; subject matched `poetic` using `state_IV`; subject matched `poetic` using `register_kavya`
032296,Buddhist universities,2008,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/2008-December/032296.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
032297,Muslim widows in India,2008,History and culture,general discussion,2,https://list.indology.info/pipermail/indology/2008-December/032297.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
035005,Date of usage of the word Bhaarata to denote India,2010,History and culture,general discussion,9,https://list.indology.info/pipermail/indology/2010-December/035005.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
035033,Elizarenkova's Atharvaveda translation,2010,Veda and ritual,philological discussion,2,https://list.indology.info/pipermail/indology/2010-December/035033.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
036523,Atharvaveda German translations,2012,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/2012-April/036523.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
036524,International Indology Graduate Research Symposium in Edinburgh,2012,Announcements and events,announcement/event,3,https://list.indology.info/pipermail/indology/2012-April/036524.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
036530,Atharvaveda German translations,2012,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/2012-April/036530.html,I,atharva,Atharvaveda; Vedic,1,2,subject_pattern,subject matched `Atharvaveda` using `state_I`; subject matched `Atharva` using `register_atharva`
