thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
001451,Sandalwood,1994,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1994-October/001452.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `Bodhisattva` using `state_V`; subject matched `Bodhisattva` using `register_bauddha`
001455,Nidhi,1994,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1994-October/001455.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `Bodhisattva` using `state_V`; subject matched `Bodhisattva` using `register_bauddha`
054092,"Upanishads, MahAyAna, Advaita",1999,Buddhism and Jainism,general discussion,1,https://list.indology.info/pipermail/indology/1999-February/054092.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`
016642,Buddh. Rockcarvings in Northern Pakistan,1999,Buddhism and Jainism,general discussion,6,https://list.indology.info/pipermail/indology/1999-April/016642.html,V,bauddha; epig,Bauddha; Buddhist / Jaina; Epigraphic,4,5,subject_pattern,subject matched `Buddh` using `state_V`; subject matched `Buddh` using `register_bauddha`; subject matched `inscription` using `register_epig`; subject matched `inscription` using `register_epig`; subject matched `inscription` using `register_epig`
016916,INDOLOGY Digest - 10 May 1999 to 11 May 1999 (#1999-55),1999,List administration,list administration,6,https://list.indology.info/pipermail/indology/1999-May/016916.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`
016977,INDOLOGY Digest - 10 May 1999 to 11 May 1999 (#1999-55),1999,List administration,list administration,6,https://list.indology.info/pipermail/indology/1999-May/016977.html,V,bauddha,Bauddha; Buddhist / Jaina,2,4,subject_pattern,subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`; subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`
016991,"Upanishads, MahAyAna, Advaita",1999,Buddhism and Jainism,general discussion,2,https://list.indology.info/pipermail/indology/1999-May/016991.html,I; V,bauddha; rgveda,Bauddha; Buddhist / Jaina; Vedic; Ṛgveda,2,4,subject_pattern,subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`; subject matched `Rigveda` using `state_I`; subject matched `Rigveda` using `register_rgveda`
017001,"Upanishads, MahAyAna, Advaita",1999,Buddhism and Jainism,general discussion,3,https://list.indology.info/pipermail/indology/1999-May/017001.html,I; V,bauddha; rgveda,Bauddha; Buddhist / Jaina; Vedic; Ṛgveda,2,4,subject_pattern,subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`; subject matched `Rigveda` using `state_I`; subject matched `Rigveda` using `register_rgveda`
017010,Homepage for dead systems,1999,General scholarly discussion,general discussion,5,https://list.indology.info/pipermail/indology/1999-May/017010.html,V,bauddha,Bauddha; Buddhist / Jaina,1,2,subject_pattern,subject matched `MahAyAna` using `state_V`; subject matched `MahAyAna` using `register_bauddha`
017105,varna and jati,1999,General scholarly discussion,general discussion,20,https://list.indology.info/pipermail/indology/1999-May/017105.html,I; III; V,bauddha; bhasya; purana; rgveda,Bauddha; Bhāṣya; Buddhist / Jaina; Epic & prolongements; Purāṇa; Vedic; Ṛgveda,4,7,subject_pattern,subject matched `Rigveda` using `state_I`; subject matched `Rigveda` using `register_rgveda`; subject matched `TheravAda` using `state_V`; subject matched `TheravAda` using `register_bauddha`; subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`
