renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,epic,Epic,1990,Bibliographic requests,identification/help request,1,1,1
register,epic,Epic,1992,General scholarly discussion,general discussion,1,1,1
register,epic,Epic,1992,Texts and philology,general discussion,2,1,2
register,epic,Epic,1992,Texts and philology,identification/help request,3,1,3
register,epic,Epic,1992,Texts and philology,philological discussion,4,3,4
register,epic,Epic,1993,Texts and philology,general discussion,4,2,4
register,epic,Epic,1994,Texts and philology,general discussion,11,8,11
register,epic,Epic,1995,Digital resources and tools,digital resource/tool,1,1,1
register,epic,Epic,1995,General scholarly discussion,general discussion,1,1,1
register,epic,Epic,1995,Texts and philology,general discussion,9,9,9
register,epic,Epic,1995,Texts and philology,identification/help request,1,1,1
register,epic,Epic,1996,Bibliographic requests,bibliographic request,8,6,6
register,epic,Epic,1996,General scholarly discussion,general discussion,6,6,5
register,epic,Epic,1996,Texts and philology,general discussion,12,10,11
register,epic,Epic,1997,General scholarly discussion,general discussion,6,5,5
register,epic,Epic,1997,Texts and philology,general discussion,7,6,7
register,epic,Epic,1998,Bibliographic requests,general discussion,1,1,1
register,epic,Epic,1998,General scholarly discussion,general discussion,30,16,18
register,epic,Epic,1998,Texts and philology,general discussion,20,16,16
register,epic,Epic,1998,Texts and philology,philological discussion,2,2,2
register,epic,Epic,1999,Announcements and events,announcement/event,4,3,3
register,epic,Epic,1999,General scholarly discussion,general discussion,7,6,5
register,epic,Epic,1999,Texts and philology,general discussion,20,18,18
register,epic,Epic,1999,Texts and philology,philological discussion,3,3,3
register,epic,Epic,2000,Announcements and events,announcement/event,8,8,8
register,epic,Epic,2000,General scholarly discussion,general discussion,2,2,2
register,epic,Epic,2000,Texts and philology,general discussion,46,32,34
register,epic,Epic,2000,Texts and philology,identification/help request,7,6,6
register,epic,Epic,2001,Bibliographic requests,general discussion,1,1,1
register,epic,Epic,2001,Texts and philology,general discussion,1,1,1
register,epic,Epic,2001,Texts and philology,identification/help request,3,3,2
register,epic,Epic,2002,Digital resources and tools,digital resource/tool,1,1,1
register,epic,Epic,2002,General scholarly discussion,general discussion,6,1,4
register,epic,Epic,2002,Texts and philology,general discussion,1,1,1
register,epic,Epic,2003,Announcements and events,announcement/event,1,1,1
register,epic,Epic,2003,Grammar and linguistics,philological discussion,1,1,1
register,epic,Epic,2003,Texts and philology,general discussion,6,5,6
register,epic,Epic,2004,Bibliographic requests,bibliographic request,4,2,3
register,epic,Epic,2004,Texts and philology,philological discussion,2,1,2
register,epic,Epic,2005,Grammar and linguistics,philological discussion,1,1,1
register,epic,Epic,2005,Texts and philology,general discussion,10,6,9
register,epic,Epic,2006,General scholarly discussion,general discussion,2,2,2
register,epic,Epic,2006,Manuscripts and epigraphy,general discussion,3,2,3
register,epic,Epic,2006,Texts and philology,general discussion,3,3,3
register,epic,Epic,2007,General scholarly discussion,general discussion,4,3,4
register,epic,Epic,2007,Texts and philology,general discussion,17,8,14
register,epic,Epic,2008,General scholarly discussion,general discussion,5,2,3
register,epic,Epic,2008,General scholarly discussion,identification/help request,4,3,3
register,epic,Epic,2008,Manuscripts and epigraphy,general discussion,1,1,1
register,epic,Epic,2008,Texts and philology,general discussion,1,1,1
register,epic,Epic,2008,Veda and ritual,general discussion,6,2,5
register,epic,Epic,2009,General scholarly discussion,general discussion,7,4,7
register,epic,Epic,2009,Texts and philology,general discussion,3,2,3
register,epic,Epic,2010,Announcements and events,announcement/event,1,1,1
register,epic,Epic,2010,Texts and philology,general discussion,1,1,1
register,epic,Epic,2011,Digital resources and tools,digital resource/tool,1,1,1
register,epic,Epic,2011,Texts and philology,general discussion,7,1,6
register,epic,Epic,2012,Texts and philology,general discussion,11,5,10
register,epic,Epic,2013,General scholarly discussion,general discussion,7,4,5
register,epic,Epic,2013,General scholarly discussion,obituary/memorial,1,1,1
register,epic,Epic,2013,Texts and philology,general discussion,9,3,5
register,epic,Epic,2014,Digital resources and tools,digital resource/tool,3,2,3
register,epic,Epic,2015,Announcements and events,announcement/event,1,1,1
register,epic,Epic,2015,Manuscripts and epigraphy,general discussion,3,1,3
register,epic,Epic,2015,Texts and philology,general discussion,5,5,5
register,epic,Epic,2015,Texts and philology,identification/help request,12,3,8
register,epic,Epic,2015,Texts and philology,philological discussion,3,1,2
register,epic,Epic,2016,Announcements and events,job/position,1,1,1
register,epic,Epic,2016,Bibliographic requests,bibliographic request,2,2,2
register,epic,Epic,2016,General scholarly discussion,general discussion,10,5,8
register,epic,Epic,2016,Texts and philology,announcement/event,13,1,13
register,epic,Epic,2016,Texts and philology,general discussion,25,3,10
register,epic,Epic,2017,Buddhism and Jainism,general discussion,1,1,1
register,epic,Epic,2017,Texts and philology,general discussion,7,4,5
register,epic,Epic,2017,Texts and philology,identification/help request,8,1,4
register,epic,Epic,2018,Bibliographic requests,bibliographic request,3,1,2
register,epic,Epic,2018,Digital resources and tools,digital resource/tool,1,1,1
register,epic,Epic,2018,General scholarly discussion,general discussion,8,4,6
register,epic,Epic,2018,Texts and philology,general discussion,5,4,5
register,epic,Epic,2019,Announcements and events,announcement/event,5,1,3
register,epic,Epic,2019,Texts and philology,general discussion,23,7,16
register,epic,Epic,2020,Announcements and events,announcement/event,2,2,2
register,epic,Epic,2020,Bibliographic requests,bibliographic request,5,2,3
register,epic,Epic,2020,Texts and philology,general discussion,2,2,2
register,epic,Epic,2020,Texts and philology,philological discussion,1,1,1
register,epic,Epic,2021,Announcements and events,announcement/event,3,3,2
register,epic,Epic,2021,Digital resources and tools,digital resource/tool,1,1,1
register,epic,Epic,2021,Texts and philology,general discussion,3,2,2
register,epic,Epic,2022,Announcements and events,announcement/event,1,1,1
register,epic,Epic,2022,Digital resources and tools,digital resource/tool,2,1,2
register,epic,Epic,2022,General scholarly discussion,general discussion,1,1,1
register,epic,Epic,2022,Texts and philology,general discussion,7,4,6
register,epic,Epic,2023,Announcements and events,announcement/event,3,3,2
register,epic,Epic,2023,General scholarly discussion,general discussion,5,1,4
register,epic,Epic,2023,Texts and philology,general discussion,2,2,2
register,epic,Epic,2024,Announcements and events,announcement/event,3,3,1
register,epic,Epic,2024,General scholarly discussion,general discussion,1,1,1
register,epic,Epic,2024,Texts and philology,general discussion,14,4,9
register,epic,Epic,2024,Texts and philology,philological discussion,1,1,1
register,epic,Epic,2025,Announcements and events,announcement/event,1,1,1
register,epic,Epic,2025,Bibliographic requests,philological discussion,2,1,1
register,epic,Epic,2025,General scholarly discussion,general discussion,2,2,2
register,epic,Epic,2025,Texts and philology,philological discussion,2,1,1
register,epic,Epic,2026,Announcements and events,announcement/event,1,1,1
