thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
000255,"National scandal: Ganesha being sold as a ""monster""!",1992,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1992-June/000255.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `inscriptions` using `register_epig`
000265,Chaulukya period inscriptions,1992,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1992-June/000265.html,,epig,Epigraphic,2,2,subject_pattern,subject matched `inscriptions` using `register_epig`; subject matched `inscriptions` using `register_epig`
004443,Dravidian (Tamil) Sanskrit relation,1996,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/1996-March/004443.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `inscription` using `register_epig`
004667,newly discovered inscription,1996,Manuscripts and epigraphy,general discussion,1,https://list.indology.info/pipermail/indology/1996-April/004667.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `inscription` using `register_epig`
006983,Update 2 to Pali Canon online,1997,Digital resources and tools,digital resource/tool,39,https://list.indology.info/pipermail/indology/1997-February/006983.html,V,epig,Buddhist / Jaina; Epigraphic,2,2,subject_pattern,subject matched `Pali` using `state_V`; subject matched `Epigraphy` using `register_epig`
007066,Raja Rao Symposium,1997,Announcements and events,announcement/event,3,https://list.indology.info/pipermail/indology/1997-February/007066.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `Epigraphy` using `register_epig`
007071,Epigraphy,1997,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1997-February/007078.html,I,epig,Epigraphic; Vedic,2,2,subject_pattern,subject matched `Epigraphy` using `register_epig`; subject matched `vedic` using `state_I`
007082,Epigraphy,1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-February/007082.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `Epigraphy` using `register_epig`
007238,Epigraphy,1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-March/007238.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `Epigraphy` using `register_epig`
010366,"""Indus Script"" , ""Aryan Invasion Theory"" and ""horse(s) in the Indus Valley""",1998,General scholarly discussion,general discussion,20,https://list.indology.info/pipermail/indology/1998-January/010366.html,III,epic; epig,Epic; Epic & prolongements; Epigraphic,12,13,subject_pattern,subject matched `Gita` using `state_III`; subject matched `Inscription` using `register_epig`; subject matched `Gita` using `state_III`; subject matched `Ramayana` using `state_III`; subject matched `Ramayana` using `register_epic`; subject matched `Gita` using `state_III`
010381,Linguists,1998,General scholarly discussion,general discussion,9,https://list.indology.info/pipermail/indology/1998-January/010381.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `Inscription` using `register_epig`
010384,Personal web link collection,1998,General scholarly discussion,general discussion,9,https://list.indology.info/pipermail/indology/1998-January/010384.html,,epig,Epigraphic,2,2,subject_pattern,subject matched `Inscription` using `register_epig`; subject matched `inscription` using `register_epig`
010391,linguistic & mathematics,1998,Grammar and linguistics,philological discussion,6,https://list.indology.info/pipermail/indology/1998-January/010391.html,III,epig,Epic & prolongements; Epigraphic,2,2,subject_pattern,subject matched `Inscription` using `register_epig`; subject matched `Gita` using `state_III`
010520,Telegu Inscription,1998,Manuscripts and epigraphy,general discussion,1,https://list.indology.info/pipermail/indology/1998-January/010520.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `Inscription` using `register_epig`
010535,Telegu Inscription,1998,Manuscripts and epigraphy,general discussion,2,https://list.indology.info/pipermail/indology/1998-January/010535.html,,epig,Epigraphic,2,2,subject_pattern,subject matched `Inscription` using `register_epig`; subject matched `inscription` using `register_epig`
010529,Telegu Inscription,1998,Manuscripts and epigraphy,general discussion,1,https://list.indology.info/pipermail/indology/1998-January/010529.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `Inscription` using `register_epig`
011019,Naciketas,1998,General scholarly discussion,general discussion,12,https://list.indology.info/pipermail/indology/1998-February/011019.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `inscriptions` using `register_epig`
011125,Indo-Aryan invasion,1998,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1998-March/011125.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `inscriptions` using `register_epig`
011873,human sacrifice (allusion to Abraham),1998,General scholarly discussion,general discussion,22,https://list.indology.info/pipermail/indology/1998-April/011873.html,,epig,Epigraphic,3,3,subject_pattern,subject matched `inscriptions` using `register_epig`; subject matched `inscriptions` using `register_epig`; subject matched `inscriptions` using `register_epig`
011886,"Leiden plates, other inscriptions, and potters",1998,General scholarly discussion,general discussion,6,https://list.indology.info/pipermail/indology/1998-April/011886.html,,epig,Epigraphic,3,3,subject_pattern,subject matched `inscriptions` using `register_epig`; subject matched `inscriptions` using `register_epig`; subject matched `inscriptions` using `register_epig`
012034,Zraadha in Nepal,1998,General scholarly discussion,general discussion,45,https://list.indology.info/pipermail/indology/1998-May/012034.html,III,epig; purana,Epic & prolongements; Epigraphic; Purāṇa,2,3,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`; subject matched `inscriptions` using `register_epig`
012108,"Self-sacrifice, funerary temples, and Pallava inscriptions",1998,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1998-May/012108.html,,epig,Epigraphic,1,1,subject_pattern,subject matched `inscriptions` using `register_epig`
012251,ORISSA,1998,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1998-May/012251.html,V,epig; jaina,Buddhist / Jaina; Epigraphic; Jaina,1,3,subject_pattern,subject matched `Jain` using `state_V`; subject matched `Jain` using `register_jaina`; subject matched `inscription` using `register_epig`
012270,Music related questions,1998,General scholarly discussion,general discussion,19,https://list.indology.info/pipermail/indology/1998-May/012270.html,II; V,epig; jaina; vyakarana,Buddhist / Jaina; Epigraphic; Jaina; Pāṇinian; Vyākaraṇa,2,5,subject_pattern,subject matched `panini` using `state_II`; subject matched `panini` using `register_vyakarana`; subject matched `Jain` using `state_V`; subject matched `Jain` using `register_jaina`; subject matched `inscription` using `register_epig`
