thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
004084,Sogdian Buddhists,1996,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1996-February/004084.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Sogdian` using `register_hors_inde`
004104,Holi discussion.,1996,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1996-February/004122.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Sogdian` using `register_hors_inde`
004118,Sogdian Buddhists,1996,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1996-February/004118.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Sogdian` using `register_hors_inde`
004834,Khotanese Buddhist tale,1996,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1996-April/004834.html,,hors_inde; katha,Kathā; Outside India,1,2,subject_pattern,subject matched `tale` using `register_katha`; subject matched `Khotanese` using `register_hors_inde`
006645,Q: Saskia Kersenboom,1997,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1997-January/006645.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Khotanese` using `register_hors_inde`
006658,Q: Saskia Kersenboom,1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-January/006660.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Khotanese` using `register_hors_inde`
008923,Sem: TOCHARIAN,1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-August/008923.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `TOCHARIAN` using `register_hors_inde`
010324,Uttara Kuru,1998,General scholarly discussion,general discussion,19,https://list.indology.info/pipermail/indology/1998-January/010324.html,III,epic; hors_inde,Epic; Epic & prolongements; Outside India,3,4,subject_pattern,subject matched `Gita` using `state_III`; subject matched `Tocharian` using `register_hors_inde`; subject matched `MBh` using `state_III`; subject matched `MBh` using `register_epic`
035645,prices of Khotan or Newari mss,2011,Manuscripts and epigraphy,general discussion,1,https://list.indology.info/pipermail/indology/2011-July/035645.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Khotan` using `register_hors_inde`
035648,The Indus script as proto-writing,2011,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/2011-July/035655.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Khotan` using `register_hors_inde`
053910,Khotanese Sīysā-/Sīysaā-: th/dh MIA and NIA versions of the name of Sītā?,2021,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/2021-January/053910.html,,hors_inde,Outside India,2,2,subject_pattern,subject matched `Khotanese` using `register_hors_inde`; subject matched `Khotanese` using `register_hors_inde`
053913,Khotanese Sīysā-/Sīysaā-: th/dh MIA and NIA versions of the name of Sītā (DIEGO LOUKOTA SANCLEMENTE),2021,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/2021-January/053913.html,,hors_inde,Outside India,1,1,subject_pattern,subject matched `Khotanese` using `register_hors_inde`
