thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
001786,Mutiny on the Indology,1995,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1995-January/001786.html,,katha,Kathā,1,1,subject_pattern,subject matched `Story` using `register_katha`
001795,Mutiny on the Indology,1995,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1995-January/001795.html,,katha,Kathā,1,1,subject_pattern,subject matched `Story` using `register_katha`
002023,ascii encoding for Vedic?,1995,Digital resources and tools,digital resource/tool,11,https://list.indology.info/pipermail/indology/1995-February/002023.html,I,katha,Kathā; Vedic,3,3,subject_pattern,subject matched `Vedic` using `state_I`; subject matched `Vedic` using `state_I`; subject matched `Narrative` using `register_katha`
002127,The Anklet Story,1995,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1995-March/002127.html,,katha,Kathā,1,1,subject_pattern,subject matched `Story` using `register_katha`
004658,Sujata's story,1996,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1996-April/004671.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
004834,Khotanese Buddhist tale,1996,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1996-April/004834.html,,hors_inde; katha,Kathā; Outside India,1,2,subject_pattern,subject matched `tale` using `register_katha`; subject matched `Khotanese` using `register_hors_inde`
006378,Proto-Siva,1996,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1996-December/006378.html,,katha,Kathā,1,1,subject_pattern,subject matched `Tale` using `register_katha`
006436,Folk Tale Query,1996,General scholarly discussion,identification/help request,8,https://list.indology.info/pipermail/indology/1996-December/006436.html,,katha,Kathā,2,2,subject_pattern,subject matched `Tale` using `register_katha`; subject matched `Tale` using `register_katha`
006433,Folk Tale Query,1996,General scholarly discussion,identification/help request,1,https://list.indology.info/pipermail/indology/1996-December/006433.html,,katha,Kathā,1,1,subject_pattern,subject matched `Tale` using `register_katha`
006446,Folk Tale Query,1996,General scholarly discussion,identification/help request,1,https://list.indology.info/pipermail/indology/1996-December/006446.html,,katha,Kathā,1,1,subject_pattern,subject matched `Tale` using `register_katha`
006461,Folk Tale Query,1996,General scholarly discussion,identification/help request,2,https://list.indology.info/pipermail/indology/1996-December/006461.html,,katha,Kathā,1,1,subject_pattern,subject matched `Tale` using `register_katha`
006475,Folk Tale Query,1996,General scholarly discussion,identification/help request,3,https://list.indology.info/pipermail/indology/1996-December/006475.html,,katha,Kathā,1,1,subject_pattern,subject matched `Tale` using `register_katha`
006529,.ancient.pvt.international.law,1996,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1996-December/006529.html,,katha,Kathā,1,1,subject_pattern,subject matched `Tale` using `register_katha`
008903,Puranic Myths in Maun_i short story,1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-August/008903.html,,katha,Kathā,2,2,subject_pattern,subject matched `story` using `register_katha`; subject matched `story` using `register_katha`
008914,A myth found in Mauni's short story,1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-August/008914.html,,katha; rgveda,Kathā; Ṛgveda,2,2,subject_pattern,subject matched `story` using `register_katha`; subject matched `RV` using `register_rgveda`
009700,List of stories,1997,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1997-November/009700.html,,katha,Kathā,1,1,subject_pattern,subject matched `stories` using `register_katha`
009960,Apologies from Genevieve Guesdon,1997,General scholarly discussion,general discussion,8,https://list.indology.info/pipermail/indology/1997-November/009984.html,,katha,Kathā,2,2,subject_pattern,subject matched `tale` using `register_katha`; subject matched `tale` using `register_katha`
010090,The Dharma of bodhi karma,1997,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1997-December/010090.html,,katha,Kathā,1,1,subject_pattern,subject matched `story` using `register_katha`
