renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,kavya,Kāvya,1992,General scholarly discussion,general discussion,1,1,1
register,kavya,Kāvya,1993,General scholarly discussion,general discussion,4,1,3
register,kavya,Kāvya,1993,Veda and ritual,philological discussion,4,2,3
register,kavya,Kāvya,1994,General scholarly discussion,general discussion,2,2,2
register,kavya,Kāvya,1994,Texts and philology,philological discussion,1,1,1
register,kavya,Kāvya,1995,General scholarly discussion,general discussion,2,2,2
register,kavya,Kāvya,1996,General scholarly discussion,general discussion,1,1,1
register,kavya,Kāvya,1996,General scholarly discussion,identification/help request,2,2,2
register,kavya,Kāvya,1996,General scholarly discussion,philological discussion,3,3,3
register,kavya,Kāvya,1996,Texts and philology,general discussion,1,1,1
register,kavya,Kāvya,1996,Texts and philology,philological discussion,1,1,1
register,kavya,Kāvya,1996,Veda and ritual,identification/help request,2,2,2
register,kavya,Kāvya,1997,General scholarly discussion,general discussion,10,8,10
register,kavya,Kāvya,1997,General scholarly discussion,identification/help request,1,1,1
register,kavya,Kāvya,1997,General scholarly discussion,philological discussion,2,2,2
register,kavya,Kāvya,1997,Texts and philology,general discussion,2,2,1
register,kavya,Kāvya,1998,General scholarly discussion,general discussion,16,12,13
register,kavya,Kāvya,1998,General scholarly discussion,identification/help request,2,2,2
register,kavya,Kāvya,1998,General scholarly discussion,philological discussion,8,6,8
register,kavya,Kāvya,1999,General scholarly discussion,general discussion,3,2,3
register,kavya,Kāvya,1999,General scholarly discussion,philological discussion,5,4,4
register,kavya,Kāvya,1999,Texts and philology,philological discussion,11,9,9
register,kavya,Kāvya,2000,General scholarly discussion,general discussion,5,5,5
register,kavya,Kāvya,2000,General scholarly discussion,philological discussion,8,8,6
register,kavya,Kāvya,2001,General scholarly discussion,general discussion,1,1,1
register,kavya,Kāvya,2001,General scholarly discussion,identification/help request,2,2,2
register,kavya,Kāvya,2001,General scholarly discussion,philological discussion,2,2,2
register,kavya,Kāvya,2001,Texts and philology,general discussion,4,2,2
register,kavya,Kāvya,2001,Texts and philology,philological discussion,2,2,2
register,kavya,Kāvya,2002,Texts and philology,general discussion,2,2,1
register,kavya,Kāvya,2004,General scholarly discussion,philological discussion,7,3,6
register,kavya,Kāvya,2005,General scholarly discussion,philological discussion,13,8,9
register,kavya,Kāvya,2005,Texts and philology,general discussion,1,1,1
register,kavya,Kāvya,2006,Digital resources and tools,digital resource/tool,4,2,3
register,kavya,Kāvya,2006,General scholarly discussion,general discussion,1,1,1
register,kavya,Kāvya,2006,General scholarly discussion,identification/help request,5,1,4
register,kavya,Kāvya,2006,General scholarly discussion,philological discussion,1,1,1
register,kavya,Kāvya,2007,General scholarly discussion,identification/help request,12,5,11
register,kavya,Kāvya,2007,General scholarly discussion,philological discussion,3,1,3
register,kavya,Kāvya,2008,General scholarly discussion,general discussion,12,7,11
register,kavya,Kāvya,2009,General scholarly discussion,general discussion,9,6,6
register,kavya,Kāvya,2009,General scholarly discussion,identification/help request,2,2,2
register,kavya,Kāvya,2009,General scholarly discussion,philological discussion,6,3,4
register,kavya,Kāvya,2010,General scholarly discussion,philological discussion,3,3,3
register,kavya,Kāvya,2011,General scholarly discussion,general discussion,5,4,4
register,kavya,Kāvya,2011,General scholarly discussion,philological discussion,7,6,7
register,kavya,Kāvya,2011,Texts and philology,general discussion,2,2,2
register,kavya,Kāvya,2012,General scholarly discussion,philological discussion,4,4,4
register,kavya,Kāvya,2013,General scholarly discussion,general discussion,3,2,2
register,kavya,Kāvya,2013,Grammar and linguistics,philological discussion,2,1,2
register,kavya,Kāvya,2013,Texts and philology,general discussion,4,1,4
register,kavya,Kāvya,2014,General scholarly discussion,general discussion,3,2,2
register,kavya,Kāvya,2014,General scholarly discussion,philological discussion,2,1,2
register,kavya,Kāvya,2015,General scholarly discussion,general discussion,11,2,9
register,kavya,Kāvya,2015,General scholarly discussion,identification/help request,3,2,3
register,kavya,Kāvya,2015,General scholarly discussion,philological discussion,10,3,8
register,kavya,Kāvya,2015,Veda and ritual,philological discussion,19,1,11
register,kavya,Kāvya,2016,Bibliographic requests,bibliographic request,1,1,1
register,kavya,Kāvya,2016,Bibliographic requests,philological discussion,2,1,2
register,kavya,Kāvya,2016,General scholarly discussion,general discussion,3,3,3
register,kavya,Kāvya,2016,General scholarly discussion,philological discussion,5,3,3
register,kavya,Kāvya,2016,Texts and philology,philological discussion,1,1,1
register,kavya,Kāvya,2017,Bibliographic requests,bibliographic request,1,1,1
register,kavya,Kāvya,2017,Bibliographic requests,general discussion,1,1,1
register,kavya,Kāvya,2017,Buddhism and Jainism,philological discussion,3,2,3
register,kavya,Kāvya,2017,General scholarly discussion,general discussion,14,3,7
register,kavya,Kāvya,2017,General scholarly discussion,identification/help request,1,1,1
register,kavya,Kāvya,2017,General scholarly discussion,philological discussion,18,3,12
register,kavya,Kāvya,2017,Texts and philology,philological discussion,1,1,1
register,kavya,Kāvya,2018,Bibliographic requests,bibliographic request,1,1,1
register,kavya,Kāvya,2018,General scholarly discussion,general discussion,1,1,1
register,kavya,Kāvya,2018,General scholarly discussion,philological discussion,11,7,3
register,kavya,Kāvya,2019,Bibliographic requests,bibliographic request,4,2,2
register,kavya,Kāvya,2019,General scholarly discussion,general discussion,3,3,2
register,kavya,Kāvya,2019,General scholarly discussion,identification/help request,45,3,5
register,kavya,Kāvya,2019,General scholarly discussion,philological discussion,32,8,15
register,kavya,Kāvya,2019,Texts and philology,general discussion,10,1,9
register,kavya,Kāvya,2019,Texts and philology,identification/help request,7,2,6
