thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
000982,markandeya purana,1994,Texts and philology,general discussion,1,https://list.indology.info/pipermail/indology/1994-April/000982.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `purana` using `state_III`; subject matched `purana` using `register_purana`
002466,"""Valkal"" in Skanda Purana",1995,Texts and philology,general discussion,1,https://list.indology.info/pipermail/indology/1995-May/002466.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`
005237,overemphasis on magic,1996,General scholarly discussion,general discussion,12,https://list.indology.info/pipermail/indology/1996-June/005237.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `purana` using `state_III`; subject matched `purana` using `register_purana`
005308,Locating for Early Computer Indologists,1996,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1996-June/005308.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `purana` using `state_III`; subject matched `purana` using `register_purana`
005314,Locating for Early Computer Indologists,1996,General scholarly discussion,general discussion,5,https://list.indology.info/pipermail/indology/1996-June/005325.html,I; III,purana; rgveda,Epic & prolongements; Purāṇa; Vedic; Ṛgveda,2,4,subject_pattern,subject matched `Rigveda` using `state_I`; subject matched `Rigveda` using `register_rgveda`; subject matched `purana` using `state_III`; subject matched `purana` using `register_purana`
005629,Event announcement: Testing Workshop,1996,Announcements and events,announcement/event,21,https://list.indology.info/pipermail/indology/1996-August/005629.html,III,epic; purana,Epic; Epic & prolongements; Purāṇa,2,4,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`; subject matched `MBh` using `state_III`; subject matched `MBh` using `register_epic`
006743,A meter in the Bhagavata Purana,1997,Texts and philology,general discussion,2,https://list.indology.info/pipermail/indology/1997-January/006743.html,III,purana,Epic & prolongements; Purāṇa,2,4,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Bhagavata` using `register_purana`; subject matched `Purana` using `state_III`; subject matched `Bhagavata` using `register_purana`
008160,"Nines (Was Re: yuga, VarNa and colour)",1997,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1997-May/008160.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`
008206,Ganesha Purana manuscripts in Kashmir of Nepal,1997,Texts and philology,general discussion,1,https://list.indology.info/pipermail/indology/1997-May/008206.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`
009554,English translation of Bhavishya Purana,1997,Texts and philology,philological discussion,1,https://list.indology.info/pipermail/indology/1997-October/009554.html,III,purana,Epic & prolongements; Purāṇa,1,2,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Purana` using `register_purana`
011930,Vishnu Purana on personal names,1998,Texts and philology,general discussion,2,https://list.indology.info/pipermail/indology/1998-April/011930.html,III,purana,Epic & prolongements; Purāṇa,2,4,subject_pattern,subject matched `Purana` using `state_III`; subject matched `Vishnu Purana` using `register_purana`; subject matched `Purana` using `state_III`; subject matched `Vishnu Purana` using `register_purana`
