renou_axis,renou_code,renou_label,year,primary_topic,list_function,message_count,thread_count,author_count
register,sutra,Sūtra,1994,Texts and philology,philological discussion,1,1,1
register,sutra,Sūtra,1997,Texts and philology,philological discussion,7,7,7
register,sutra,Sūtra,1997,Veda and ritual,philological discussion,34,18,19
register,sutra,Sūtra,1998,Texts and philology,philological discussion,3,3,3
register,sutra,Sūtra,1998,Veda and ritual,identification/help request,3,3,3
register,sutra,Sūtra,1999,Texts and philology,philological discussion,9,7,8
register,sutra,Sūtra,2005,Texts and philology,philological discussion,2,2,2
register,sutra,Sūtra,2009,Texts and philology,philological discussion,1,1,1
register,sutra,Sūtra,2012,Manuscripts and epigraphy,philological discussion,1,1,1
register,sutra,Sūtra,2012,Veda and ritual,philological discussion,2,2,2
register,sutra,Sūtra,2013,Texts and philology,philological discussion,3,2,3
register,sutra,Sūtra,2013,Veda and ritual,philological discussion,4,4,2
register,sutra,Sūtra,2014,Bibliographic requests,bibliographic request,2,1,1
register,sutra,Sūtra,2014,Texts and philology,philological discussion,1,1,1
register,sutra,Sūtra,2015,Announcements and events,announcement/event,2,2,1
register,sutra,Sūtra,2015,Veda and ritual,philological discussion,5,1,5
register,sutra,Sūtra,2017,Grammar and linguistics,identification/help request,1,1,1
register,sutra,Sūtra,2018,Bibliographic requests,philological discussion,1,1,1
register,sutra,Sūtra,2018,Texts and philology,philological discussion,4,2,3
register,sutra,Sūtra,2019,Texts and philology,philological discussion,7,3,5
register,sutra,Sūtra,2021,Texts and philology,philological discussion,4,1,3
register,sutra,Sūtra,2022,Texts and philology,philological discussion,2,1,2
register,sutra,Sūtra,2022,Veda and ritual,philological discussion,2,1,1
register,sutra,Sūtra,2023,Texts and philology,philological discussion,5,2,4
register,sutra,Sūtra,2023,Veda and ritual,philological discussion,2,1,1
