thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
000539,shvetashvatara-upanishad,1993,Veda and ritual,general discussion,3,https://list.indology.info/pipermail/indology/1993-June/000540.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
000586,Sanskrit version of verse from Isa Upanishad,1993,Veda and ritual,philological discussion,2,https://list.indology.info/pipermail/indology/1993-July/000586.html,I,kavya; upanisad,Kāvya; Upaniṣad; Vedic,2,6,subject_pattern,subject matched `Upanishad` using `state_I`; subject matched `Upanishad` using `register_upanisad`; subject matched `verse` using `register_kavya`; subject matched `Upanishad` using `state_I`; subject matched `Upanishad` using `register_upanisad`; subject matched `verse` using `register_kavya`
000588,Sanskrit Version of Verse from Chandogya Upanishad,1993,Veda and ritual,philological discussion,2,https://list.indology.info/pipermail/indology/1993-July/000588.html,I,kavya; upanisad,Kāvya; Upaniṣad; Vedic,2,6,subject_pattern,subject matched `Upanishad` using `state_I`; subject matched `Chandogya` using `register_upanisad`; subject matched `Verse` using `register_kavya`; subject matched `Upanishad` using `state_I`; subject matched `Chandogya` using `register_upanisad`; subject matched `Verse` using `register_kavya`
001123,Mandukya Upanisad and Commentary,1994,Veda and ritual,philological discussion,3,https://list.indology.info/pipermail/indology/1994-August/001123.html,I,bhasya; upanisad,Bhāṣya; Upaniṣad; Vedic,2,6,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Upanisad` using `register_upanisad`; subject matched `Commentary` using `register_bhasya`; subject matched `Upanisad` using `state_I`; subject matched `Upanisad` using `register_upanisad`; subject matched `Commentary` using `register_bhasya`
001125,Mandukya Upanisad and Commentary,1994,Veda and ritual,philological discussion,3,https://list.indology.info/pipermail/indology/1994-August/001125.html,I,bhasya; upanisad,Bhāṣya; Upaniṣad; Vedic,1,3,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Upanisad` using `register_upanisad`; subject matched `Commentary` using `register_bhasya`
002782,Mandukya Upanishad,1995,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1995-July/002782.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanishad` using `state_I`; subject matched `Upanishad` using `register_upanisad`
003894,Alla Upanisad?,1996,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1996-January/003894.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `Upanisad` using `state_I`; subject matched `Upanisad` using `register_upanisad`
006282,Gold-digging ants,1996,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/1996-November/006282.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006336,"The word ""upanishad""",1996,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1996-November/006336.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006337,New Message,1996,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1996-November/006337.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006327,public works in Ramayana,1996,Texts and philology,general discussion,4,https://list.indology.info/pipermail/indology/1996-November/006334.html,I; III,epic; upanisad,Epic; Epic & prolongements; Upaniṣad; Vedic,3,6,subject_pattern,subject matched `Ramayana` using `state_III`; subject matched `Ramayana` using `register_epic`; subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`; subject matched `Ramayana` using `state_III`; subject matched `Ramayana` using `register_epic`
006348,"JSAWS Vol. 2, No. 3 (1996)",1996,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/1996-December/006352.html,I,upanisad,Upaniṣad; Vedic,2,4,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`; subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006347,public works in Ramayana,1996,Texts and philology,general discussion,2,https://list.indology.info/pipermail/indology/1996-December/006347.html,I; III,epic; upanisad,Epic; Epic & prolongements; Upaniṣad; Vedic,2,4,subject_pattern,subject matched `Ramayana` using `state_III`; subject matched `Ramayana` using `register_epic`; subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006363,"The word ""upanishad""",1996,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1996-December/006363.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006365,Translation help requested,1996,Texts and philology,identification/help request,12,https://list.indology.info/pipermail/indology/1996-December/006365.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
006632,Ramatapini upanishad,1996,Veda and ritual,general discussion,1,https://list.indology.info/pipermail/indology/1996-December/006632.html,I,upanisad,Upaniṣad; Vedic,1,2,subject_pattern,subject matched `upanishad` using `state_I`; subject matched `upanishad` using `register_upanisad`
