thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
000167,need info about grammar book,1991,Grammar and linguistics,philological discussion,1,https://list.indology.info/pipermail/indology/1991-November/000167.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `grammar` using `state_II`; subject matched `grammar` using `register_vyakarana`
000601,The order of the three grammatical genders in Sanskrit,1993,Grammar and linguistics,philological discussion,1,https://list.indology.info/pipermail/indology/1993-July/000601.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `grammatical` using `state_II`; subject matched `grammatical` using `register_vyakarana`
000621,PATANJALI TRANSLATIONS,1993,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1993-August/000621.html,II,vyakarana,Pāṇinian; Vyākaraṇa,2,4,subject_pattern,subject matched `PATANJALI` using `state_II`; subject matched `PATANJALI` using `register_vyakarana`; subject matched `PATANJALI` using `state_II`; subject matched `PATANJALI` using `register_vyakarana`
000624,PATANJALI TRANSLATIONS,1993,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1993-August/000624.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `PATANJALI` using `state_II`; subject matched `PATANJALI` using `register_vyakarana`
000676,World Sanskrit Conference: vyakarana session,1993,Announcements and events,announcement/event,1,https://list.indology.info/pipermail/indology/1993-September/000676.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `vyakarana` using `state_II`; subject matched `vyakarana` using `register_vyakarana`
000703,Panini's grammar and Boolean logic,1993,Grammar and linguistics,philological discussion,9,https://list.indology.info/pipermail/indology/1993-October/000703.html,II,vyakarana,Pāṇinian; Vyākaraṇa,8,16,subject_pattern,subject matched `Panini` using `state_II`; subject matched `Panini` using `register_vyakarana`; subject matched `Panini` using `state_II`; subject matched `Panini` using `register_vyakarana`; subject matched `Panini` using `state_II`; subject matched `Panini` using `register_vyakarana`
000711,Panini's grammar and Boolean logic,1993,Grammar and linguistics,philological discussion,2,https://list.indology.info/pipermail/indology/1993-October/000711.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `Panini` using `state_II`; subject matched `Panini` using `register_vyakarana`
000712,Panini's grammar and Boolean logic (+Ingerman's article),1993,Grammar and linguistics,philological discussion,2,https://list.indology.info/pipermail/indology/1993-October/000712.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `Panini` using `state_II`; subject matched `Panini` using `register_vyakarana`
000718,Panini's grammar and Boolean logic (+Ingerman's article),1993,Grammar and linguistics,philological discussion,1,https://list.indology.info/pipermail/indology/1993-October/000718.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `Panini` using `state_II`; subject matched `Panini` using `register_vyakarana`
000761,New book on Sanskrit grammar,1993,Grammar and linguistics,philological discussion,1,https://list.indology.info/pipermail/indology/1993-November/000761.html,II,vyakarana,Pāṇinian; Vyākaraṇa,1,2,subject_pattern,subject matched `grammar` using `state_II`; subject matched `grammar` using `register_vyakarana`
