thread_root_id,thread_subject,year,primary_topic,list_function,thread_length,first_url,renou_states,renou_registers,renou_labels,matched_message_count,match_count,confidence,evidence
000354,Modern Bengali Poetry,1992,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1992-November/000354.html,IV,kavya,Classical; Kāvya,1,2,subject_pattern,subject matched `Poetry` using `state_IV`; subject matched `Poetry` using `register_kavya`
000384,Kalidasa and the Agnimitra problem,1993,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1993-January/000384.html,IV,kavya,Classical; Kāvya,4,8,subject_pattern,subject matched `Kalidasa` using `state_IV`; subject matched `Kalidasa` using `register_kavya`; subject matched `Kalidasa` using `state_IV`; subject matched `Kalidasa` using `register_kavya`; subject matched `Kalidasa` using `state_IV`; subject matched `Kalidasa` using `register_kavya`
001199,Khandhaka of the Vinayapitaka,1994,General scholarly discussion,general discussion,2,https://list.indology.info/pipermail/indology/1994-September/001199.html,IV,,Classical,1,1,subject_pattern,subject matched `Kosha` using `state_IV`
001204,Court society,1994,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1994-September/001204.html,IV,,Classical,1,1,subject_pattern,subject matched `Kosha` using `state_IV`
001208,jyotish,1994,General scholarly discussion,general discussion,27,https://list.indology.info/pipermail/indology/1994-September/001208.html,IV,,Classical,1,1,subject_pattern,subject matched `Kosha` using `state_IV`
001261,The Columbia Book of Indian Poetry,1994,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1994-September/001261.html,IV,kavya,Classical; Kāvya,1,2,subject_pattern,subject matched `Poetry` using `state_IV`; subject matched `Poetry` using `register_kavya`
002431,uttara-mImAMsA???,1995,General scholarly discussion,general discussion,7,https://list.indology.info/pipermail/indology/1995-May/002431.html,IV,,Classical,2,2,subject_pattern,subject matched `Dandin` using `state_IV`; subject matched `Dandin` using `state_IV`
002435,"Dates: Prabhaakara, Kumaarila, Dharmakiirti",1995,General scholarly discussion,general discussion,3,https://list.indology.info/pipermail/indology/1995-May/002435.html,IV,,Classical,1,1,subject_pattern,subject matched `Dandin` using `state_IV`
003171,Address of Bhasa vibhag Panjab,1995,General scholarly discussion,general discussion,4,https://list.indology.info/pipermail/indology/1995-September/003171.html,IV,,Classical,1,1,subject_pattern,subject matched `Bhasa` using `state_IV`
003596,wanted Kalidasa's poems,1995,General scholarly discussion,general discussion,1,https://list.indology.info/pipermail/indology/1995-November/003596.html,IV,kavya,Classical; Kāvya,1,2,subject_pattern,subject matched `Kalidasa` using `state_IV`; subject matched `Kalidasa` using `register_kavya`
