source_author,target_author,confidence,weight
Madhav Deshpande,Madhav Deshpande,thread_inferred,411
N. Ganesan,N. Ganesan,thread_inferred,276
Nagaraj Paturi,Nagaraj Paturi,exact_in_reply_to,159
Dominik Wujastyk,Dominik Wujastyk,thread_inferred,124
Harry Spier,Harry Spier,exact_in_reply_to,113
Sudalaimuthu Palaniappan,Sudalaimuthu Palaniappan,thread_inferred,111
Dominik Wujastyk,Dominik Wujastyk,exact_in_reply_to,98
"Olivelle, J P","Olivelle, J P",exact_in_reply_to,79
Madhav Deshpande,Madhav Deshpande,exact_in_reply_to,70
Steve Farmer,Steve Farmer,thread_inferred,70
Matthew Kapstein,Matthew Kapstein,exact_in_reply_to,61
Paul Kekai Manansala,N. Ganesan,thread_inferred,56
Shervin Farridnejad,Shervin Farridnejad,exact_in_reply_to,56
Madhav Deshpande,Harry Spier,exact_in_reply_to,54
Allen W Thrasher,Allen W Thrasher,thread_inferred,54
Dominik Wujastyk,Harry Spier,exact_in_reply_to,51
Martin Gansten,Martin Gansten,thread_inferred,51
Lars Martin Fosse,Lars Martin Fosse,thread_inferred,48
Artur Karp,Artur Karp,exact_in_reply_to,48
Vidyasankar Sundaresan,Vidyasankar Sundaresan,thread_inferred,44
nanda chandran,nanda chandran,thread_inferred,44
George Thompson,George Thompson,thread_inferred,42
Harry Spier,Madhav Deshpande,exact_in_reply_to,40
Michael Witzel,Michael Witzel,thread_inferred,40
N. Ganesan,Sudalaimuthu Palaniappan,thread_inferred,39
"Hock, Hans Henrich",Madhav Deshpande,exact_in_reply_to,39
alakendu das,alakendu das,thread_inferred,39
Madhav Deshpande,Dominik Wujastyk,exact_in_reply_to,37
Christophe Vielle,Christophe Vielle,exact_in_reply_to,36
Jonathan Silk,Jonathan Silk,thread_inferred,35
Harry Spier,Dominik Wujastyk,exact_in_reply_to,35
Sudalaimuthu Palaniappan,N. Ganesan,thread_inferred,34
Stephen Hodge,Stephen Hodge,thread_inferred,33
Lars Martin Fosse,N. Ganesan,thread_inferred,33
Krishnaprasad G,Krishnaprasad G,exact_in_reply_to,32
N. Ganesan,Swaminathan Madhuresan,thread_inferred,32
DEVARAKONDA VENKATA NARAYANA SARMA,Sudalaimuthu Palaniappan,thread_inferred,32
Matthew Kapstein,Dominik Wujastyk,exact_in_reply_to,32
Jan E.M. Houben,Jan E.M. Houben,exact_in_reply_to,31
Vidyasankar Sundaresan,nanda chandran,thread_inferred,31
Vidyasankar Sundaresan,Steve Farmer,thread_inferred,30
Swaminathan Madhuresan,N. Ganesan,thread_inferred,29
Vidyasankar Sundaresan,Sudalaimuthu Palaniappan,thread_inferred,29
Jan E.M. Houben,Jan E.M. Houben,thread_inferred,29
Dominik Wujastyk,Matthew Kapstein,exact_in_reply_to,28
Nagaraj Paturi,Madhav Deshpande,exact_in_reply_to,28
Madhav Deshpande,Christian Ferstl,thread_inferred,28
Christian Ferstl,Madhav Deshpande,exact_in_reply_to,27
Vidyasankar Sundaresan,N. Ganesan,thread_inferred,27
Dominik Wujastyk,Madhav Deshpande,exact_in_reply_to,26
Nagaraj Paturi,patrick mccartney,exact_in_reply_to,26
Swaminathan Madhuresan,Swaminathan Madhuresan,thread_inferred,26
Nagaraj Paturi,Artur Karp,exact_in_reply_to,25
Madhav Deshpande,"Hock, Hans Henrich",exact_in_reply_to,25
Harry Spier,Harry Spier,thread_inferred,25
Patrick Olivelle,Patrick Olivelle,thread_inferred,25
Sudalaimuthu Palaniappan,Sudalaimuthu Palaniappan,exact_in_reply_to,24
Nagaraj Paturi,Matthew Kapstein,exact_in_reply_to,24
Petr Mares,Swaminathan Madhuresan,thread_inferred,24
Artur Karp,Artur Karp,thread_inferred,24
Jan E.M. Houben,Madhav Deshpande,exact_in_reply_to,24
David and Nancy Reigle,David and Nancy Reigle,exact_in_reply_to,24
Miguel Carrasquer Vidal,N. Ganesan,thread_inferred,23
Palaniappa at aol.com,Palaniappa at aol.com,thread_inferred,23
Lars Martin Fosse,Steve Farmer,thread_inferred,23
Ven. Tantra,Ven. Tantra,thread_inferred,23
Venkatraman Iyer,Venkatraman Iyer,thread_inferred,23
Dhaval Patel,Dhaval Patel,exact_in_reply_to,22
N. Ganesan,Edwin Bryant,thread_inferred,22
DEVARAKONDA VENKATA NARAYANA SARMA,N. Ganesan,thread_inferred,21
Vidyasankar Sundaresan,Luis Gonzalez-Reimann,thread_inferred,21
Lars Martin Fosse,Vishal Agarwal,thread_inferred,21
George Thompson,Steve Farmer,thread_inferred,21
Lars Martin Fosse,Dominik Wujastyk,thread_inferred,21
victor davella,victor davella,exact_in_reply_to,21
Nagaraj Paturi,Martin Gansten,exact_in_reply_to,20
Dipak Bhattacharya,Dominik Wujastyk,thread_inferred,20
patrick mccartney,Nagaraj Paturi,exact_in_reply_to,20
Balaji Hebbar,Balaji Hebbar,thread_inferred,20
Arlo Griffiths,Arlo Griffiths,thread_inferred,20
George Hart,George Hart,thread_inferred,20
Nagaraj Paturi,Harry Spier,exact_in_reply_to,20
Arun Gupta,Steve Farmer,thread_inferred,20
Michael Witzel,Steve Farmer,thread_inferred,19
Lars Martin Fosse,Luis Gonzalez-Reimann,thread_inferred,19
Madhav Deshpande,Jan E.M. Houben,exact_in_reply_to,19
Stephen Hodge,Steve Farmer,thread_inferred,19
Venkatraman Iyer,N. Ganesan,thread_inferred,19
Paolo Eugenio Rosati,Paolo Eugenio Rosati,exact_in_reply_to,19
H.M.Hubey,N. Ganesan,thread_inferred,18
Ashish Chandra,N. Ganesan,thread_inferred,18
Matthew Kapstein,Madhav Deshpande,exact_in_reply_to,18
Nagaraj Paturi,Dominik Wujastyk,exact_in_reply_to,18
Venkatraman Iyer,Sudalaimuthu Palaniappan,thread_inferred,17
Artur Karp,Nagaraj Paturi,exact_in_reply_to,17
Lakshmi Srinivas,N. Ganesan,thread_inferred,17
Joanna Jurewicz,Madhav Deshpande,exact_in_reply_to,17
Krishnaprasad G,Madhav Deshpande,exact_in_reply_to,17
Dominik Wujastyk,Allen W Thrasher,thread_inferred,17
Matthew Kapstein,David and Nancy Reigle,exact_in_reply_to,16
Madhav Deshpande,"Olivelle, J P",exact_in_reply_to,16
"Lubin, Tim","Lubin, Tim",exact_in_reply_to,16
Dominik Wujastyk,Steve Farmer,thread_inferred,16
Harry Spier,"Hock, Hans Henrich",exact_in_reply_to,16
Sudalaimuthu Palaniappan,Vidyasankar Sundaresan,thread_inferred,16
patrick mccartney,patrick mccartney,exact_in_reply_to,16
Mary Storm,Mary Storm,thread_inferred,16
Swaminathan Madhuresan,Sudalaimuthu Palaniappan,thread_inferred,16
Madhav Deshpande,Christian Ferstl,exact_in_reply_to,16
Dominik Wujastyk,Jonathan Silk,exact_in_reply_to,15
Vidhyanath Rao,Vidhyanath Rao,thread_inferred,15
Harry Spier,David and Nancy Reigle,exact_in_reply_to,15
Dipak Bhattacharya,Dipak Bhattacharya,thread_inferred,15
Narayan S. Raja,N. Ganesan,thread_inferred,15
Swaminathan Madhuresan,Steve Farmer,thread_inferred,15
Dr. Jai Maharaj,Dr. Jai Maharaj,thread_inferred,15
N. Ganesan,Narayan S. Raja,thread_inferred,15
Arlo Griffiths,Arlo Griffiths,exact_in_reply_to,15
V.C.Vijayaraghavan,N. Ganesan,thread_inferred,15
Dominik Wujastyk,N. Ganesan,thread_inferred,15
Madhav Deshpande,Harry Spier,thread_inferred,15
Dominik Wujastyk,Patrick Olivelle,thread_inferred,15
Dominik Wujastyk,Krishnaprasad G,exact_in_reply_to,15
Christophe Vielle,Madhav Deshpande,exact_in_reply_to,14
Arlo Griffiths,Dominik Wujastyk,exact_in_reply_to,14
DEVARAKONDA VENKATA NARAYANA SARMA,Swaminathan Madhuresan,thread_inferred,14
"Collins, Brian","Collins, Brian",exact_in_reply_to,14
Jean-Luc Chevillard,Jean-Luc Chevillard,exact_in_reply_to,14
Paul K. Manansala,Michael Witzel,thread_inferred,14
Luis Gonzalez-Reimann,Luis Gonzalez-Reimann,thread_inferred,14
Georg von Simson,N. Ganesan,thread_inferred,14
T.I. Console,Meenaradchagan Vishnu,thread_inferred,14
"Olivelle, J P",Madhav Deshpande,exact_in_reply_to,14
George Thompson,Dominik Wujastyk,thread_inferred,14
