event_id,year,conf_date,series,n_speakers_with_age,avg_age,median_age,min_age,max_age,p25_age,p75_age
E2004,2004,2004-05-24,Zograf,11,42.6,39,20,68,32.0,51.0
E2006,2006,2006-05-15,Zograf,25,50.1,50,22,88,36.0,61.5
E2007,2007,2007-05-23,Zograf,23,42.8,41,18,71,29.0,55.0
E2010,2010,2010-05-17,Zograf,11,49.1,41,34,74,36.0,60.0
ER2010,2010,2010-12-09,Roerich,1,32.0,32,32,32,32,32
E2011,2011,2011-05-23,Zograf,29,51.2,54,23,83,36.5,65.0
E2012,2012,2012-05-16,Zograf,30,47.0,43.0,26,76,33.8,63.5
ER2012,2012,2012-12-09,Roerich,30,49.1,46.5,23,85,34.0,61.2
E2013,2013,2013-05-15,Zograf,29,47.3,43,27,82,35.5,60.5
E2014,2014,2014-05-14,Zograf,37,48.1,45,27,75,36.5,61.0
ER2015,2015,2015-12-09,Roerich,29,45.7,38,22,82,32.5,55.5
ER2016,2016,2016-12-09,Roerich,30,48.5,47.0,23,84,33.5,60.0
ER2017,2017,2017-12-09,Roerich,34,51.2,48.0,25,85,39.0,66.2
E2018,2018,2018-05-15,Zograf,42,49.4,48.0,26,87,36.0,63.5
ER2018,2018,2018-12-09,Roerich,33,47.7,42,26,86,32.5,53.5
E2019,2019,2019-05-14,Zograf,47,47.2,45,22,88,34.0,53.0
ER2019,2019,2019-12-09,Roerich,30,47.7,42.0,27,86,36.0,53.2
E2020,2020,2020-05-12,Zograf,46,47.6,42.0,29,81,35.0,63.2
ER2020,2020,2020-12-09,Roerich,30,48.8,42.5,27,87,37.8,56.0
E2021,2021,2021-05-18,Zograf,45,45.8,43,28,78,36.0,51.5
ER2021,2021,2021-12-09,Roerich,30,49.1,44.5,29,88,36.8,58.0
E2022,2022,2022-05-17,Zograf,37,48.1,46,23,79,38.5,54.0
ER2022,2022,2022-12-09,Roerich,26,50.3,46.0,31,89,39.5,58.0
E2023,2023,2023-05-23,Zograf,14,55.6,53.5,28,84,43.2,71.5
ER2023,2023,2023-12-09,Roerich,17,52.0,51,26,90,38.5,59.0
E2024,2024,2024-05-14,Zograf,2,42.0,42.0,25,59,25,59
ER2024,2024,2024-12-09,Roerich,29,51.7,52,21,91,38.5,60.0
E2025,2025,2025-05-20,Zograf,56,50.4,47.5,22,82,39.2,67.0
ER2025,2025,2025-12-09,Roerich,36,48.1,47.5,20,74,37.2,59.8
E2026,2026,2026-05-26,Zograf,60,49.0,47.5,20,83,37.0,57.8
