priority_rank,person_id,display_name,full_name_ru,total_talks,reason,suggested_query,rinc_search_url,openalex_search_url,review_status
1,PERS_c52dfaa0,С. О. Цветкова,Цветкова Светлана Олеговна,22,Many talks and no external ID; Initials-only display name,Цветкова Светлана Олеговна индолог,https://elibrary.ru/authors.asp?fams=%D0%A6%D0%B2%D0%B5%D1%82%D0%BA%D0%BE%D0%B2%D0%B0&imas=%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0&otchs=%D0%9E%D0%BB%D0%B5%D0%B3%D0%BE%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Sofia%20Tsvetkova,todo
1,PERS_f074f69f,Н. В. Александрова,Александрова Наталия Владимировна,20,Many talks and no external ID; Initials-only display name,Александрова Наталия Владимировна индолог,https://elibrary.ru/authors.asp?fams=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B0&imas=%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Natalia%20Alexandrova,todo
1,PERS_11da326d,С. С. Тавастшерна,Тавастшерна Сергей Сергеевич,20,Many talks and no external ID; Initials-only display name,Тавастшерна Сергей Сергеевич индолог,https://elibrary.ru/authors.asp?fams=%D0%A2%D0%B0%D0%B2%D0%B0%D1%81%D1%82%D1%88%D0%B5%D1%80%D0%BD%D0%B0&imas=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9&otchs=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Sergey%20Tavastsherna,todo
1,PERS_d98da899,С. И. Рыжакова,Рыжакова Светлана Игоревна,19,Many talks and no external ID; Initials-only display name,Рыжакова Светлана Игоревна индолог,https://elibrary.ru/authors.asp?fams=%D0%A0%D1%8B%D0%B6%D0%B0%D0%BA%D0%BE%D0%B2%D0%B0&imas=%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0&otchs=%D0%98%D0%B3%D0%BE%D1%80%D0%B5%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Svetlana%20Ryzhakova,todo
1,PERS_12125da9,В. Г. Лысенко,Лысенко Виктория Георгиевна,16,Many talks and no external ID; Initials-only display name,Лысенко Виктория Георгиевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9B%D1%8B%D1%81%D0%B5%D0%BD%D0%BA%D0%BE&imas=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D1%8F&otchs=%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Victoria%20Lysenko,todo
1,PERS_f2fef030,А. Г. Мехакян,Мехакян Арег Гайкович,15,Many talks and no external ID; Initials-only display name,Мехакян Арег Гайкович индолог,https://elibrary.ru/authors.asp?fams=%D0%9C%D0%B5%D1%85%D0%B0%D0%BA%D1%8F%D0%BD&imas=%D0%90%D1%80%D0%B5%D0%B3&otchs=%D0%93%D0%B0%D0%B9%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Areg%20Mekhakyan,todo
1,PERS_40862f5e,Н. А. Корнеева,Корнеева Наталья Афанасьевна,15,Many talks and no external ID; Initials-only display name,Корнеева Наталья Афанасьевна индолог,https://elibrary.ru/authors.asp?fams=%D0%9A%D0%BE%D1%80%D0%BD%D0%B5%D0%B5%D0%B2%D0%B0&imas=%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D1%8F&otchs=%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Natalia%20Korneeva,todo
1,PERS_1fa7cc0c,А. М. Дубянский,Дубянский Александр Михайлович,14,Many talks and no external ID; Initials-only display name,Дубянский Александр Михайлович индолог,https://elibrary.ru/authors.asp?fams=%D0%94%D1%83%D0%B1%D1%8F%D0%BD%D1%81%D0%BA%D0%B8%D0%B9&imas=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80&otchs=%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,https://openalex.org/authors?search=Alexander%20Dubyansky,todo
1,PERS_1a097e52,А. В. Парибок,Парибок Андрей Всеволодович,13,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,Парибок Андрей Всеволодович индолог,https://elibrary.ru/authors.asp?fams=%D0%9F%D0%B0%D1%80%D0%B8%D0%B1%D0%BE%D0%BA&imas=%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9&otchs=%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,,todo
1,PERS_5228da95,В. В. Вертоградова,Вертоградова Виктория Викторовна,13,Many talks and no external ID; Initials-only display name,Вертоградова Виктория Викторовна индолог,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B5%D1%80%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0&imas=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D1%8F&otchs=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,https://openalex.org/authors?search=Victoria%20Vertogradova,todo
