entity_type,entity_id,display_name,field_name,field_value,source_type,source_url,confidence,checked_at,notes
person,PERS_d6ade703,Kozhevnikova Margarita Nikolaevna,full_name_ru,Kozhevnikova Margarita Nikolaevna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=5510&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_d6ade703,Kozhevnikova Margarita Nikolaevna,full_name_en,Kozhevnikova Margarita Nikolaevna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=5510&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_d6ade703,Kozhevnikova Margarita Nikolaevna,birth_year,1961,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=5510&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_800ac07e,А. А. Нейвирт,full_name_ru,А. А. Нейвирт,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_c1cc76b9,А. Я. Таран,full_name_ru,А. Я. Таран,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_b9a0e40c,А.В. Осокин,full_name_ru,А.В. Осокин,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2024,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_3ccc9bd7,А.Солька,full_name_ru,А.Солька,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2021,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_410c5a08,А.Хомиченкене,full_name_ru,А.Хомиченкене,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f1a308b7,Абинякин Владимир Александрович,full_name_ru,Абинякин Владимир Александрович,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f1a308b7,Абинякин Владимир Александрович,full_name_en,Vladimir Abinyakin,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f1a308b7,Абинякин Владимир Александрович,birth_year,1994,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_3d4df70f,Акимушкина Екатерина Олеговна,full_name_ru,Акимушкина Екатерина Олеговна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_3d4df70f,Акимушкина Екатерина Олеговна,full_name_en,Ekaterina Akimushkina,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_3d4df70f,Акимушкина Екатерина Олеговна,birth_year,1979,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_f074f69f,Александрова Наталия Владимировна,full_name_ru,Александрова Наталия Владимировна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f074f69f,Александрова Наталия Владимировна,full_name_en,Alexandrova Natalia Vladimirovna,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_f074f69f,Александрова Наталия Владимировна,birth_year,1965,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_51e0a171,Алешина Ирина Евгеньевна,full_name_ru,Алешина Ирина Евгеньевна,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2016,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_51e0a171,Алешина Ирина Евгеньевна,full_name_en,Aleshina Irina Evgenyevna,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2016,confirmed,2026-05-30,Loaded into person table during DB build.
person,PERS_51e0a171,Алешина Ирина Евгеньевна,birth_year,1984,curated_biographical_data,https://ancient.ivran.ru/novosti?year=2016,manual,2026-05-30,Loaded into person table during DB build.
person,PERS_61202bf3,Алиханова Юлия Марковна,full_name_ru,Алиханова Юлия Марковна,curated_biographical_data,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,confirmed,2026-05-30,Loaded into person table during DB build.
