person_id,display_name,url_slug,n_affiliations,affiliations
PERS_f074f69f,Александрова Наталия Владимировна,natalia-alexandrova,4,"ИВ РАН, ИКВИА НИУ ВШЭ, Москва | ИВ РАН, ИКВИА НИУ ВШЭ | ИВ РАН | РГГУ"
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,natalia-lidova,3,"ИМЛИ РАН, Москва | ИМЛИ РАН, онлайн | ИМЛИ РАН"
PERS_12125da9,Лысенко Виктория Георгиевна,victoria-lysenko,3,"ИФ РАН, Москва | ИФ РАН | Институт философии РАН"
PERS_e9545a0b,Шустова Алла Михайловна,shustova-alla,3,"ИВ РАН, Москва | ИВ РАН | ЦИИ ИВ РАН"
PERS_088c4df7,Атманова Юлия Георгиевна,atmanova-yuliya,2,ИВ РАН | МГУ
PERS_9374fd12,Вырщиков Евгений Геннадьевич,vyrshchikov-evgenii,2,"ИВ РАН, Москва | ИВ РАН"
PERS_3b196639,Гордийчук Николай Валентинович,nikolai-gordiichuk,2,ИВ РАН | РГГУ
PERS_36dabb79,Гурия Анастасия Георгиевна,anastasia-guriya,2,"ИСАА МГУ, онлайн | ИСАА МГУ"
PERS_da862dde,Дробышев Юлий Игорьевич,drobyshev-yulii,2,"ИВ РАН, Москва | ИВ РАН"
PERS_efc88709,Канаева Наталия Алексеевна,natalia-kanaeva,2,"Школа философии и культурологии НИУ ВШЭ, Москва | ВШЭ"
PERS_5ed752d9,Китинов Баатр Учаевич,kitinov-baatr,2,"ИВ РАН, Москва | ИВ РАН"
PERS_db0a826b,Комарова Ирина Нигматовна,komarova-irina,2,ИЯ РАН | Институт Языкознания РАН
PERS_9f398436,Куликов Леонид Игоревич,leonid-kulikov,2,"НИУ ВШЭ, онлайн | ВШЭ, Гентский университет"
PERS_ebb6d156,Ложкина Анастасия Витальевна,anastasia-lozhkina,2,ИФ РАН | МГУ
PERS_d4c2cc5e,Лучина Татьяна Владимировна,luchina-tatyana,2,"ИВ РАН, Москва | ИВ РАН"
PERS_ea44fd14,Люлина Анастасия Геннадьевна,lyulina-anastasiya,2,"ИВ РАН, Москва | ИВ РАН"
PERS_4fff9d16,Минаева Маргарита Денисовна,minaeva-margarita,2,"ИКВИА НИУ ВШЭ, Москва | ИКВИА НИУ ВШЭ"
PERS_ced3d7b4,Молина Анна Валерьевна,molina-anna,2,"ИМЛИ РАН, Москва | ИКВИА НИУ ВШЭ, ИМЛИ РАН"
PERS_cca8f93d,Немчинов Виктор Михайлович,nemchinov-viktor,2,"ИВ РАН, Москва | ИВ РАН"
PERS_e72d4c09,Огнева Елена Дмитриевна,ogneva-elena,2,"ИВ НАН Украины | Институт востоковедения, Киев"
PERS_2fd442aa,Офертас Станислав Чеславович,ofertas-stanislav,2,"ИВ РАН, Москва | ИВ РАН"
PERS_d98da899,Рыжакова Светлана Игоревна,svetlana-ryzhakova,2,ИЭА РАН | Ин-т этнологии и антропологии РАН
PERS_0a2e5f24,Тишин Владимир Владимирович,tishin-vladimir,2,ИВ РАН | аспирант ОИВ ИВ РАН
PERS_6578b52d,Тюлина Елена Владимировна,tyulina-elena,2,"ИВ РАН, Москва | ИВ РАН"
PERS_3c7d41ac,Фомин Максим Сергеевич,fomin-maksim,2,"Университет Ольстера | Университет Ольстера, Сев. Ирландия"
PERS_0665f215,Шохин Владимир Кириллович,vladimir-shokhin,2,"ИФ РАН, Москва | ИФ РАН"
PERS_8e117242,Юдицкая Екатерина Алексеевна,ekaterina-yuditskaya,2,ИВ РАН | МГУ
