domain,priority,source_file,source_row,record_id,label,status,reason,evidence_url,reviewer,checked_at,note
authority_identity,1,analytics_output/authority_review_queue.csv,23,PERS_61202bf3,Алиханова Юлия Марковна,todo,Many talks and no external ID; Initials-only display name,https://elibrary.ru/authors.asp?fams=%D0%90%D0%BB%D0%B8%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0&imas=%D0%AE%D0%BB%D0%B8%D1%8F&otchs=%D0%9C%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%BD%D0%B0,,,Алиханова Юлия Марковна индолог
authority_identity,1,analytics_output/authority_review_queue.csv,6,PERS_9a855a7b,Альбедиль Маргарита Федоровна,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D0%B4%D0%B8%D0%BB%D1%8C&imas=%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0&otchs=%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,,Альбедиль Маргарита Федоровна индолог
authority_identity,1,analytics_output/authority_review_queue.csv,70,PERS_088c4df7,Атманова Юлия Георгиевна,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%90%D1%82%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0&imas=%D0%AE%D0%BB%D0%B8%D1%8F&otchs=%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0,,,Атманова Юлия Георгиевна индолог
authority_identity,1,analytics_output/authority_review_queue.csv,76,PERS_c6bbcef3,Битинайте Елена Алексеевна,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%91%D0%B8%D1%82%D0%B8%D0%BD%D0%B0%D0%B9%D1%82%D0%B5&imas=%D0%95%D0%BB%D0%B5%D0%BD%D0%B0&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0,,,Битинайте Елена Алексеевна индолог
authority_identity,1,analytics_output/authority_review_queue.csv,31,PERS_dd7de77e,Бросалина Елена Кирилловна,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%91%D1%80%D0%BE%D1%81%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0&imas=%D0%95%D0%BB%D0%B5%D0%BD%D0%B0&otchs=%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0,,,Бросалина Елена Кирилловна индолог
authority_identity,1,analytics_output/authority_review_queue.csv,33,PERS_a0264ac5,Бурмистров Сергей Леонидович,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%91%D1%83%D1%80%D0%BC%D0%B8%D1%81%D1%82%D1%80%D0%BE%D0%B2&imas=%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9&otchs=%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,,,Бурмистров Сергей Леонидович индолог
authority_identity,1,analytics_output/authority_review_queue.csv,5,PERS_829c1de5,Васильков Ярослав Владимирович,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BA%D0%BE%D0%B2&imas=%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2&otchs=%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,,Васильков Ярослав Владимирович индолог
authority_identity,1,analytics_output/authority_review_queue.csv,11,PERS_5228da95,Вертоградова Виктория Викторовна,todo,Many talks and no external ID; Initials-only display name,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B5%D1%80%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0&imas=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%B8%D1%8F&otchs=%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,,Вертоградова Виктория Викторовна индолог
authority_identity,1,analytics_output/authority_review_queue.csv,54,PERS_f5b8b340,Вигасин Алексей Алексеевич,todo,Many talks and no external ID; Initials-only display name,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B8%D0%B3%D0%B0%D1%81%D0%B8%D0%BD&imas=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9&otchs=%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87,,,Вигасин Алексей Алексеевич индолог
authority_identity,1,analytics_output/authority_review_queue.csv,18,PERS_88d163c1,Видунас Витис,todo,Many talks and no external ID; Initials-only display name; Missing preferred Latin name,https://elibrary.ru/authors.asp?fams=%D0%92%D0%B8%D0%B4%D1%83%D0%BD%D0%B0%D1%81&imas=%D0%92%D0%B8%D1%82%D0%B8%D1%81,,,Видунас Витис индолог
