keyword,presentations,zograf,roerich,examples
индия,127,80,47,Индийское паломничество в сравнительном аспекте | По следам Петербуржца в Индии: путешествие князя Салтыкова | Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Сон Урмилы в современной индийской прозе
текст,97,52,45,Предание в тексте и предание в камне: сюжет просветления Будды на рельефе Большой Ступы в Санчи | Тело агхори как «живой текст»: визуальность и перформанс в производстве религиозного авторитета | Окна в иной мир: изобразительные тексты и линия жизни индийской художницы-парси Катаюн Саклат (1938- 2026): антропологический взгляд | Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке)
буддизм,78,42,36,"Наука абхидхармы в буддийской ментальной традиции средневековой Индии | Сесил Бендалл как публикатор буддийских письменных памятников | Начальный сюжет в житийной литературе раннего буддизма, его вариативность и смысловое наполнение | Формульное выражение yāvatī yānasya bhūmis в буддийских канонических текстах"
традиция,64,26,38,"«Местный колорит» в литературной традиции Ориссы | Традиция толкования упанишад: контекст, философское значение и интерпретация ключевой фразы «tat tvam asi» («Ты есть то») | Ведийский ритуал Праваргья (pravargya): текстовая традиция и ритуальная практика | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме"
санскрит,52,25,27,«Шри Рамананда-чаритам» Рамбхадрачарьи как образец современной санскритской махакавьи | Зачем в санскрите три прошедших времени? | Планиметрические модели тела человека в санскритских трактатах по искусству и в стенописи Аджанты | Микушевич как переводчик санскритской поэзии
язык,46,22,24,Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Южноандаманские языки: к вопросу о возможностях внешнего сравнения | Лексика языка куллуи: этимологии 2026 года | Пословицы и поговорки Индии и России как аспект межкультурной коммуникации (проектная деятельность на уроках языка хинди)
литература,39,24,15,"Заметки о роли индийской диаспоры в пропаганде языка и литературы хинди | Салман Рушди и русская литература: тайный роман? | Средневековая фольклорная формула и литературное клише: образ, мотив | «Местный колорит» в литературной традиции Ориссы"
образ,38,22,16,"Средневековая фольклорная формула и литературное клише: образ, мотив | Златоликие образы Дипанкары Будды и традиция проведения фестиваля Самьяк маха дана в Патане. Шишова-Маретина Ксения Александровна (Санкт-Петербург). Архетип опасной женственности в индуизме | Образ вишаканья в художественной культуре древней и средневековой Индии | Образ Деви с младенцем Шивой в контексте развития иконографии Богини-Матери в скульптуре Бенгалии"
философия,36,25,11,"Индийская философия в свете компаративного подхода Поля Массон-Урселя | Вклад Абхинавагупты в развитие шиваитской доктрины философского монизма в отличной от адвайта- веданты парадигме | Интерпретация идей Упанишад в философском наследии Р. Тагора: религиозная онтология | Особая священная игра» Гулабрао Махараджа как игровая модель индуистской сотериологии: космология, философия и бхакти"
тибет,35,13,22,"Проблемы изучения традиционного индийского текста «Абхисамая-аланкара» (на тибетском языке) | Отношения между государством Корё и Тибетом в эпоху Юань (конец XIII – начало XIV вв.) | Трактат Марко Паллиса, предостерегающий Тибет о последствиях Кали-юги (об атрибутировании и содержании тибетского ксилографа из Архива музея Рерихов (Филиал Государственного музея Востока)) | Санскритский перевод одного тибетского текста"
история,34,16,18,Паришишты как исторический источник: проблемы датировки и классификации поздневедийской ритуальной литературы | К истории поступления индийских памятников в Эрмитаж: новые открытия | Исторические и историографические особенности монгольской летописи начала XVIII в.: Гомбоджаб. «Течение Ганга» | Список тамильских каст у Бартоломеуса Цигенбальга: книжная традиция vs историческая реальность
