presentation_id,year,series,title,meso_codes,proposed_meso,source,confidence
PRES_2a08c0cb86,2004,Zograf Readings,Актуальные проблемы изучения «Бхагавадгиты»,bhakti_vaishnava,,deepseek,0.8
PRES_3dfb43981f,2004,Zograf Readings,«Ум и знание» - тибетский учебник по теории познания,tibetology_himalaya,,deepseek,0.9
PRES_3faf9b7b24,2004,Zograf Readings,Сюжет о Трите:  этноисторическая основа,,,deepseek,0.8
PRES_440de90864,2004,Zograf Readings,Миф об Агастье в средневековой литературе телугу,dravidology_south_india,,deepseek,0.9
PRES_4dc8f2c386,2004,Zograf Readings,Об астрологической герменевтике в медицинских текстах (Аюрведа),yoga_ayurveda,,deepseek,0.9
PRES_5461e391b0,2004,Zograf Readings,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,hindi_urdu_new_indo_aryan,,deepseek,0.9
PRES_5ec00edd5f,2004,Zograf Readings,Литературные реминисценции в «Гаудавахо» Вакпатираджи,,,deepseek,0.8
PRES_630760bcac,2004,Zograf Readings,Психология акта самопожертвования в изображении драматургов 7-го века,,,deepseek,0.8
PRES_646225a03b,2004,Zograf Readings,Опровержение атомизма в трактате Васубандху Виджняптиматратасиддхи («Доказательство единственности сознания»),buddhist_studies,,deepseek,0.9
PRES_6c8531953d,2004,Zograf Readings,Концепция спхоты в «Спхотасиддхи» Манданамишры,sanskrit_grammar_panini,,deepseek,0.9
PRES_6e17572f1f,2004,Zograf Readings,Проблема классификации индуистских тантрических школ,,,deepseek_strict_scale_audit,0.9
PRES_6e5928cac8,2004,Zograf Readings,Богини и деревья желаний в индуизме Центральных Гималаев,himalaya,,deepseek,0.9
PRES_764a73ce7c,2004,Zograf Readings,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции,sanskrit_grammar_panini,,deepseek,0.9
PRES_7f70e3b9a4,2004,Zograf Readings,Шанкара как критик категорий вайшешики,philosophy_epistemology,,deepseek,0.9
PRES_8a6d651579,2004,Zograf Readings,О жанре вьяйога в санскритской теории драмы,literary_studies,,deepseek,0.9
PRES_8ee46835ab,2004,Zograf Readings,Мокша в Бхагавата-пуране,bhakti_vaishnava,,deepseek,0.9
PRES_92c5268a51,2004,Zograf Readings,Фигура царя и представления о времени в «Махабхарате»,epic_ramayana_mahabharata,,deepseek_strict_scale_audit,0.9
PRES_97ad954200,2004,Zograf Readings,Лук (оружие),,,deepseek,0.8
PRES_98a6bea15e,2004,Zograf Readings,О 58 синонимах «речи» в «Нигханту»,etymology,,deepseek,0.9
PRES_9e203d9b3f,2004,Zograf Readings,О взаимоотношении религиозных конфессий в средневековом Тамилнаде,dravidology_south_india,,deepseek_strict_scale_audit,0.9
PRES_a535b2a757,2004,Zograf Readings,Замечания по формальной стороне Рикпратишакхьи,sanskrit_grammar_panini,,deepseek,0.9
PRES_a8e1a30833,2004,Zograf Readings,"Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение",bengal|translation_reception,,deepseek,0.9
PRES_ba501c2543,2004,Zograf Readings,Эротика в Ригведе: мужское и женское начало,vedic_studies,,deepseek,0.9
PRES_c567f22f17,2004,Zograf Readings,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),epic_ramayana_mahabharata,,deepseek,0.9
PRES_ceb3b3ba00,2004,Zograf Readings,Деви-гита из Девибхагавата-пураны,bhakti_vaishnava,,deepseek,0.9
PRES_d2281e2acf,2004,Zograf Readings,О «священной географии» в творчестве Тирунянасамбандара (шиваитский поэтический комплекс «Деварам»),dravidology_south_india,,deepseek,0.9
PRES_e793d570a3,2004,Zograf Readings,Буддизм в творчестве Джаяшанкара Прасада,modern_literature,,deepseek,0.9
PRES_ec5840a950,2004,Zograf Readings,Еще раз о слове ātman в Ригведе,vedic_studies,,deepseek,0.9
PRES_2048f4153d,2006,Zograf Readings,Модели христианского и индо-буддийского времени в современной литературе,comparative_analysis,,deepseek_strict_scale_audit,0.9
PRES_20910e0f90,2006,Zograf Readings,Санскритское upa-śru-: «слышать» или «вслушиваться»? Об одном древнеиндийском способе гадания,vedic_studies,,deepseek,0.9
PRES_37a471ecf5,2006,Zograf Readings,К проблеме древнеиндийской хронологии,,,deepseek_strict_scale_audit,0.9
PRES_409770d89b,2006,Zograf Readings,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора,bengal|translation_reception,,deepseek,0.9
PRES_41b4c6fe83,2006,Zograf Readings,Комментарий к комментарию (Г.С.Лебедев и культурная жизнь Калькутты в 1790-х годах),bengal|colonial_encounters,,deepseek,0.9
PRES_457408b87a,2006,Zograf Readings,Бхартрихари и Дхармакирти о возможности рефлексивного акта познания,philosophy_epistemology,,deepseek,0.9
PRES_49eb37c334,2006,Zograf Readings,Орфоэпическая практика и древнеиндийская фонетика,sanskrit_grammar_panini,,deepseek,0.9
PRES_594bd8ec61,2006,Zograf Readings,Некоторые наблюдения над царской титулатурой индо-греков. 4. С.-,epic_ramayana_mahabharata,,deepseek,0.9
PRES_5b0c00b805,2006,Zograf Readings,Технические приспособления для рубрикации корней в «Дхатупати» Панини,sanskrit_grammar_panini,,deepseek,0.9
PRES_60da65c55e,2006,Zograf Readings,Безымянный герой (о романах Хазарипрасада Двиведи),modern_literature,,deepseek,0.9
PRES_748beb327e,2006,Zograf Readings,Место «Девибхагавата-пураны» в процессе эволюции шактизма,vedic_studies,,deepseek,0.9
PRES_74c89353ef,2006,Zograf Readings,Царь − установитель дхармы. Практический аспект идеологической концепции,,,deepseek,0.9
PRES_77b298a44b,2006,Zograf Readings,Изображение и текст: древнеиндийские рельефы и буддийские вербальные тексты,visual_material_culture,,deepseek,0.9
PRES_80ebdc8f23,2006,Zograf Readings,Символика и способы почитания богини Тары в индуизме (с демонстрацией видеоматериалов),ritual_studies,,deepseek,0.9
PRES_933f4317bd,2006,Zograf Readings,Об особенностях самосознания представителей «низких каст» в современных условиях,modern_society_politics,,deepseek,0.9
PRES_960adc4efb,2006,Zograf Readings,Вытеснение согласного во избежание возникновения тяжелой группы трех шумных согласных в индоиранском,etymology,,deepseek,0.9
PRES_aa8c66a571,2006,Zograf Readings,«Ādau vāda āsīt»: о переводах Библии на санскрит. В программе возможны изменения и дополнения,translation_reception,,deepseek,0.9
PRES_aaee698889,2006,Zograf Readings,Жизнеописание праведного царя Ашоки в индийских и тайских источниках,buddhist_studies,,deepseek,0.9
PRES_ac20c3981b,2006,Zograf Readings,Индийские философские тексты: композиция как часть содержания,philosophy_epistemology,,deepseek,0.9
PRES_b1d123ee06,2006,Zograf Readings,Тема деревни в «Саттасаи»,literary_studies,,deepseek,0.9
PRES_bb69fb252f,2006,Zograf Readings,О соотношении санскритского и тибетского текстов «Гимна Превосходящему богов» Шанкарасвамина,tibetology_himalaya,,deepseek,0.9
PRES_bdb9ecf419,2006,Zograf Readings,Механизмы передачи сакрального текста в школах раннего буддизма (К постановке проблемы),buddhist_studies,,deepseek,0.9
PRES_d5cc6c0374,2006,Zograf Readings,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,modern_literature,,deepseek,0.9
PRES_dfef1a443f,2006,Zograf Readings,Представления об обществе и власти в «Бхагавата-пуране»,epic_ramayana_mahabharata,,deepseek,0.9
PRES_f771f5827d,2006,Zograf Readings,Завершающие строфы «Махабхараты»: лексика и семантика,epic_ramayana_mahabharata,,deepseek,0.9
PRES_fa7c38b2f3,2006,Zograf Readings,«Энциклопедия Абхидхармы» Васубандху как произведение санскритской литературы,buddhist_studies,,deepseek,0.9
PRES_fcd64d09ac,2006,Zograf Readings,Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā),epic_ramayana_mahabharata,,deepseek,0.9
PRES_10c2c66c17,2007,Zograf Readings,(СПбГУ). Древнеиндийские диалекты в ранних фонетических трактатах,sanskrit_grammar_panini,,deepseek,0.9
PRES_57404d8de8,2007,Zograf Readings,Некоторые проблемы становления вишишта-адвайты,,,deepseek,0.8
PRES_198427c45a,2007,Zograf Readings,«Гимн Таре» Сарваджнямитры и его тибетские переводы,tibetology_himalaya|buddhist_studies,,deepseek,0.9
PRES_1be5fd6c7a,2007,Zograf Readings,«Мадхан-кам» – народная драма Северной Бенгалии (с демонстрацией видеоматериалов),bengal,,deepseek,0.9
PRES_2b5692727a,2007,Zograf Readings,«Рассказ о рани Кетаки» Инш-алла Хана в контексте развития ранней прозы на хинди и урду,hindi_urdu_new_indo_aryan,,deepseek,0.9
PRES_3fd8e2489c,2007,Zograf Readings,Кинематографический текст в современной индийской культуре,modern_society_politics,,deepseek_strict_scale_audit,0.9
PRES_43e4e4e60d,2007,Zograf Readings,Плач в составе древней махакавьи,,,deepseek,0.9
PRES_4bb24c3c11,2007,Zograf Readings,К вопросу о статусе «естественного описания» в индийской поэтике,,,deepseek,0.9
PRES_55fff640ca,2007,Zograf Readings,К вопросу о средствах передвижения в Ригведе,vedic_studies,,deepseek,0.9
PRES_57ccd5c672,2007,Zograf Readings,Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей). 3. Т. Г .Скороходова (Пенза). Интерпретация традиционного индийского текста либеральными мыслителями Бенгальского Возрождения,dravidology_south_india,,deepseek,0.9
PRES_632589d9f1,2007,Zograf Readings,От смерти к новому рождению. Учение о промежуточном существовании в «Абхидхармакоше» Васубандху,buddhist_studies,,deepseek,0.9
PRES_649f8342d7,2007,Zograf Readings,Сезонный и суточный циклы в санскритской драме (структура санскритской драмы),,,deepseek,0.9
PRES_65a7d6e51a,2007,Zograf Readings,Философ Нагарджуна – персонаж пракритского романа «Лилаваи»,buddhist_studies,,deepseek,0.9
PRES_693b5d83a6,2007,Zograf Readings,Индийские памятники героям в сравнительном освещении (К вопросу о материальном соответствии поэтической формуле «непреходящая слава»),comparative_analysis,,deepseek_strict_scale_audit,0.9
PRES_7e16512005,2007,Zograf Readings,О быках и людях (Образ «Стада» в скотоводческом эпосе Южной Индии),dravidology_south_india,,deepseek,0.9
PRES_df3611adf0,2007,Zograf Readings,Джьотиша и Аюрведа: астрологическая семантика в классической индийской медицине,yoga_ayurveda,,deepseek,0.9
PRES_8c102cb0c2,2007,Zograf Readings,Теоретические аспекты учения тантрической школы кула (согласно «Куларнава-тантре»),,,deepseek,0.9
PRES_8e0d2df4b1,2007,Zograf Readings,Миф о Махишасурамардани в Девибхагавата- и Калика-пуранах,epic_ramayana_mahabharata,,deepseek,0.9
PRES_932ae951cd,2007,Zograf Readings,Санскритское письмо как последовательная фонетическая транскрипция,,,deepseek,0.8
PRES_9ade78ff58,2007,Zograf Readings,«Очерки Цейлона и Индии» И. П. Минаева как источник по изучению культурной истории Индии,colonial_encounters|travel_history,,deepseek,0.9
PRES_a3301e22aa,2007,Zograf Readings,Образ Чайтаньи в традиционных бенгальских текстах,bengal|bhakti_vaishnava,,deepseek,0.9
PRES_a40d40eed0,2007,Zograf Readings,Лингвофилософское в «Пара-тримшика-виварана» Абхинавагупты,philosophy_epistemology,,deepseek,0.9
PRES_a7d32d94a9,2007,Zograf Readings,Типология храмовых сооружений в текстах пуран и «Брихатсамхите»,,,deepseek_strict_scale_audit,0.9
PRES_c190e58dae,2007,Zograf Readings,Язык как источник аргументации (на примере рассуждений о самбандхе),philosophy_epistemology,,deepseek,0.8
PRES_c2c6d7f2b6,2007,Zograf Readings,К вопросу об эндогамии касты,,,deepseek,0.7
PRES_7052e31e46,2007,Zograf Readings,Описания военной техники в индийском сочинении XI века «Шри Калачакра тантра раджа»,,,deepseek,0.9
PRES_cb85e06342,2007,Zograf Readings,В чем непосредственность непосредственного восприятия в буддийской эпистемологии?,buddhist_studies|philosophy_epistemology,,deepseek,0.9
PRES_e564be93e3,2007,Zograf Readings,«Великие» и «малые» в надписях Ашоки,manuscripts_epigraphy,,deepseek,0.9
PRES_f24e720def,2007,Zograf Readings,(Москва). Тема марудам в старой тамильской поэзии,dravidology_south_india,,deepseek,0.9
PRES_0404e32168,2008,Zograf Readings,«Сахар в молоке»: Ауто-представления об «индийском» и «персидском» в современной религиозной культуре парсов,,,deepseek,0.8
PRES_0c496dfec3,2008,Zograf Readings,Об эволюции образа Рудры-Шивы в священных текстах шрути,vedic_studies,,deepseek_strict_scale_audit,0.9
