person_id,display_name,layer,degree,betweenness,zograf_talks,roerich_talks,total_talks,series_attended,is_series_bridge
PERS_11da326d,Тавастшерна Сергей Сергеевич,event,242,0.036219,16,12,28,both,yes
PERS_40862f5e,Корнеева Наталья Афанасьевна,event,239,0.03173,15,14,29,both,yes
PERS_c52dfaa0,Цветкова Светлана Олеговна,event,234,0.029951,15,12,27,both,yes
PERS_f074f69f,Александрова Наталия Владимировна,event,228,0.02737,12,15,27,both,yes
PERS_12125da9,Лысенко Виктория Георгиевна,event,226,0.026823,19,6,25,both,yes
PERS_d98da899,Рыжакова Светлана Игоревна,event,233,0.024368,22,5,27,both,yes
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,event,208,0.020596,8,8,16,both,yes
PERS_829c1de5,Васильков Ярослав Владимирович,event,210,0.015601,19,1,20,both,yes
PERS_1fa7cc0c,Дубянский Александр Михайлович,event,175,0.012754,10,11,21,both,yes
PERS_f2fef030,Мехакян Арег Гайкович,event,163,0.012322,5,15,20,both,yes
PERS_41d6aa73,Воробьева Дарья Николаевна,event,174,0.011294,5,9,14,both,yes
PERS_9a855a7b,Альбедиль Маргарита Федоровна,event,190,0.009898,19,0,19,zograf_only,no
PERS_3e105f43,Игнатьев Андрей Александрович,event,186,0.009884,18,0,18,zograf_only,no
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,event,172,0.008979,9,1,10,both,yes
PERS_1a097e52,Парибок Андрей Всеволодович,event,188,0.008949,17,0,17,zograf_only,no
PERS_56508328,Десницкая Евгения Алексеевна,event,187,0.008461,16,0,16,zograf_only,no
PERS_3357f25b,Скороходова Татьяна Григорьевна,event,186,0.008119,18,0,18,zograf_only,no
PERS_003adcfe,Псху Рузана Владимировна,event,187,0.008077,19,0,19,zograf_only,no
PERS_3c202afd,Крапивина Раиса Николаевна,event,155,0.00804,5,2,7,both,yes
PERS_0665f215,Шохин Владимир Кириллович,event,143,0.007359,3,2,5,both,yes
PERS_260a598a,Пахомов Сергей Владимирович,event,168,0.007166,16,0,16,zograf_only,no
PERS_e31ca12d,Вечерина Ольга Павловна,event,161,0.00716,9,7,16,both,yes
PERS_8516d1e4,Гасунс Марцис Юрьевич,event,149,0.006567,6,2,8,both,yes
PERS_fb25c80f,Ермакова Татьяна Викторовна,event,177,0.006545,15,0,15,zograf_only,no
PERS_61202bf3,Алиханова Юлия Марковна,event,127,0.006382,7,8,15,both,yes
PERS_72506535,Крылова Анастасия Сергеевна,event,164,0.00636,8,3,11,both,yes
PERS_c48611e0,Островская Елена Петровна,event,169,0.006221,16,0,16,zograf_only,no
PERS_05d56645,Бабин Александр Николаевич,event,156,0.00615,7,6,13,both,yes
PERS_6e211759,Иванов Владимир Павлович,event,144,0.005724,5,1,6,both,yes
PERS_ced3d7b4,Молина Анна Валерьевна,event,128,0.005401,2,2,4,both,yes
PERS_f5b8b340,Вигасин Алексей Алексеевич,event,127,0.005292,3,4,7,both,yes
PERS_9f398436,Куликов Леонид Игоревич,event,150,0.005128,5,3,8,both,yes
PERS_efc88709,Канаева Наталия Алексеевна,event,134,0.004908,3,3,6,both,yes
PERS_bc97fb65,Краснодембская Нина Георгиевна,event,158,0.004865,15,0,15,zograf_only,no
PERS_88d163c1,Видунас Витис,event,144,0.004845,15,0,15,zograf_only,no
PERS_cfb92c5f,Уланский Евгений Андреевич,event,128,0.004761,4,3,7,both,yes
PERS_f19cd8a1,Котин Игорь Юрьевич,event,158,0.004756,12,0,12,zograf_only,no
PERS_9ad66151,Лелюхин Дмитрий Николаевич,event,116,0.004708,6,5,11,both,yes
PERS_91b473b1,Челнокова Анна Витальевна,event,155,0.004299,10,0,10,zograf_only,no
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,event,148,0.004075,9,0,9,zograf_only,no
PERS_5228da95,Вертоградова Виктория Викторовна,event,107,0.003942,1,16,17,both,yes
PERS_d3c5382c,Попова Ирина Фёдоровна,event,155,0.003898,11,0,11,zograf_only,no
PERS_7542d270,Демченко Максим Борисович,event,156,0.003773,11,0,11,zograf_only,no
PERS_8e117242,Юдицкая Екатерина Алексеевна,event,127,0.003694,3,9,12,both,yes
