person_id,display_name,zograf_talks,roerich_talks,total_talks,balance,event_degree,event_betweenness,session_degree,collaboration_degree
PERS_11da326d,Тавастшерна Сергей Сергеевич,16,12,28,0.143,242,0.036219,99,0
PERS_40862f5e,Корнеева Наталья Афанасьевна,15,14,29,0.034,239,0.03173,90,0
PERS_c52dfaa0,Цветкова Светлана Олеговна,15,12,27,0.111,234,0.029951,99,0
PERS_f074f69f,Александрова Наталия Владимировна,12,15,27,-0.111,228,0.02737,84,0
PERS_12125da9,Лысенко Виктория Георгиевна,19,6,25,0.52,226,0.026823,96,0
PERS_d98da899,Рыжакова Светлана Игоревна,22,5,27,0.63,233,0.024368,101,0
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,8,8,16,0.0,208,0.020596,70,0
PERS_829c1de5,Васильков Ярослав Владимирович,19,1,20,0.9,210,0.015601,97,0
PERS_1fa7cc0c,Дубянский Александр Михайлович,10,11,21,-0.048,175,0.012754,72,0
PERS_f2fef030,Мехакян Арег Гайкович,5,15,20,-0.5,163,0.012322,61,0
PERS_41d6aa73,Воробьева Дарья Николаевна,5,9,14,-0.286,174,0.011294,48,0
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,9,1,10,0.8,172,0.008979,41,1
PERS_3c202afd,Крапивина Раиса Николаевна,5,2,7,0.429,155,0.00804,38,0
PERS_0665f215,Шохин Владимир Кириллович,3,2,5,0.2,143,0.007359,24,0
PERS_e31ca12d,Вечерина Ольга Павловна,9,7,16,0.125,161,0.00716,68,1
PERS_8516d1e4,Гасунс Марцис Юрьевич,6,2,8,0.5,149,0.006567,34,0
PERS_61202bf3,Алиханова Юлия Марковна,7,8,15,-0.067,127,0.006382,54,0
PERS_72506535,Крылова Анастасия Сергеевна,8,3,11,0.455,164,0.00636,47,1
PERS_05d56645,Бабин Александр Николаевич,7,6,13,0.077,156,0.00615,39,0
PERS_6e211759,Иванов Владимир Павлович,5,1,6,0.667,144,0.005724,25,1
PERS_ced3d7b4,Молина Анна Валерьевна,2,2,4,0.0,128,0.005401,18,0
PERS_f5b8b340,Вигасин Алексей Алексеевич,3,4,7,-0.143,127,0.005292,37,0
PERS_9f398436,Куликов Леонид Игоревич,5,3,8,0.25,150,0.005128,32,0
PERS_efc88709,Канаева Наталия Алексеевна,3,3,6,0.0,134,0.004908,47,0
PERS_cfb92c5f,Уланский Евгений Андреевич,4,3,7,0.143,128,0.004761,23,0
PERS_9ad66151,Лелюхин Дмитрий Николаевич,6,5,11,0.091,116,0.004708,69,0
PERS_5228da95,Вертоградова Виктория Викторовна,1,16,17,-0.882,107,0.003942,42,0
PERS_8e117242,Юдицкая Екатерина Алексеевна,3,9,12,-0.5,127,0.003694,38,0
PERS_58b39545,Ренковская Евгения Алексеевна,6,2,8,0.5,141,0.003594,29,1
PERS_4fff9d16,Минаева Маргарита Денисовна,1,2,3,-0.333,106,0.003517,15,1
PERS_3b196639,Гордийчук Николай Валентинович,5,5,10,0.0,130,0.003363,30,0
PERS_50d73711,Смирнитская Анна Александровна,7,2,9,0.556,139,0.003219,36,0
PERS_92868e4f,Жутаев Дар Игоревич,3,12,15,-0.6,101,0.002965,53,0
PERS_ebb6d156,Ложкина Анастасия Витальевна,3,6,9,-0.333,114,0.002899,37,0
PERS_36dabb79,Гурия Анастасия Георгиевна,1,9,10,-0.8,97,0.00284,40,0
PERS_0e0a154e,Титлин Лев Игоревич,3,4,7,-0.143,111,0.002527,28,0
PERS_e72d4c09,Огнева Елена Дмитриевна,1,12,13,-0.846,99,0.002356,37,0
PERS_587b08ec,Леонов Михаил Васильевич,2,2,4,0.0,101,0.002269,15,0
PERS_1c6fcce5,Кузина Елизавета Олеговна,2,5,7,-0.429,101,0.001807,23,0
PERS_cdbd7a15,Кулланда Сергей Всеволодович,1,4,5,-0.6,66,0.000938,22,0
PERS_6ae5c779,Фивейская Анастасия Васильевна,2,1,3,0.333,94,0.000855,11,0
