presentation_id,series,year,event_id,session_id,title,first_speaker,all_speakers,source_url,source_snippet_hash,stable_key_candidate
PRES_5ebfd88676,Zograf Readings,2004,E2004,SESS_056dca54cd,Богини и деревья желаний в индуизме Центральных Гималаев,Рыжакова Светлана Игоревна,Рыжакова Светлана Игоревна,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,0ab24c1273b4904f,8081324387d60e58
PRES_bc466ed694,Zograf Readings,2004,E2004,SESS_056dca54cd,Буддизм в творчестве Джаяшанкара Прасада,Г. В. Стрелкова,Г. В. Стрелкова,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,a11aaba3a0a90e7b,03990b64877efff5
PRES_aa8ed5a4fa,Zograf Readings,2004,E2004,SESS_d6624d51cf,Деви-гита из Девибхагавата-пураны,Игнатьев Андрей Александрович,Игнатьев Андрей Александрович,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,a03f64b3f72fd9cc,a7a02047132b3fbf
PRES_e8e50f7d4e,Zograf Readings,2004,E2004,SESS_1430a202e9,Концепция спхоты в «Спхотасиддхи» Манданамишры,Е.В.Слинько,Е.В.Слинько,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,fc91addb550c0f6e,649014bd1aaf9305
PRES_120973096b,Zograf Readings,2004,E2004,SESS_1430a202e9,Литературные реминисценции в «Гаудавахо» Вакпатираджи,М. А. Русанов,М. А. Русанов,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,0e8659862eb83f5e,eb3fd57627971e93
PRES_5a8166329b,Zograf Readings,2004,E2004,SESS_056dca54cd,О «священной географии» в творчестве Тирунянасамбандара (шиваитский поэтический комплекс «Деварам»),М.Б.Загорулько,М.Б.Загорулько,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,4eb71fcab371dcd5,5797f2699da52735
PRES_263b2915d4,Zograf Readings,2004,E2004,SESS_056dca54cd,О взаимоотношении религиозных конфессий в средневековом Тамилнаде,Дубянский Александр Михайлович,Дубянский Александр Михайлович,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,ef2e3d1333cb3969,3c20295b0b21efee
PRES_7ce3a86c44,Zograf Readings,2004,E2004,SESS_1430a202e9,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции,Д. Н. Лелюхин,Д. Н. Лелюхин,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,6ec5f2456e61c14b,13211ca75810d33c
PRES_0bfeb36e60,Zograf Readings,2004,E2004,SESS_1430a202e9,Психология акта самопожертвования в изображении драматургов 7-го века,Ю. М. Алиханова,Ю. М. Алиханова,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,68b5d0364ba37329,100c366c9cc0b991
PRES_0f3adec92c,Zograf Readings,2004,E2004,SESS_056dca54cd,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,Т. А. Дубянская,Т. А. Дубянская,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,86c15aeca0456c65,8f444271864125a0
PRES_eee72363c5,Zograf Readings,2004,E2004,SESS_1430a202e9,Шанкара как критик категорий вайшешики,Лысенко Виктория Георгиевна,Лысенко Виктория Георгиевна,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,5d1a28626f7f2200,f2e19a188cbda956
PRES_7031d30425,Zograf Readings,2006,E2006,SESS_6aa07ffa06,«Ādau vāda āsīt»: о переводах Библии на санскрит,Тавастшерна Сергей Сергеевич,Тавастшерна Сергей Сергеевич,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,b0bf5ab917a4f0be,47a411e6cae547f7
PRES_7c4283fb55,Zograf Readings,2006,E2006,SESS_6aa07ffa06,Безымянный герой (о романах Хазарипрасада Двиведи),Г. В. Стрелкова,Г. В. Стрелкова,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,90d2cfc31627948b,4f2e12fa0fdd192e
PRES_ef8b4c2eeb,Zograf Readings,2006,E2006,SESS_6aa07ffa06,Бхартрихари и Дхармакирти о возможности рефлексивного акта познания,Десницкая Евгения Алексеевна,Десницкая Евгения Алексеевна,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,9a9101a3fd73af26,484841e9e14d4303
PRES_e39ef506fa,Zograf Readings,2006,E2006,SESS_35f03ec82f,Вытеснение согласного во избежание возникновения тяжелой группы трех шумных согласных в индоиранском,М. Н. Боголюбов,М. Н. Боголюбов,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,7ba7f5009a9d32c6,6223c9e450f5b926
PRES_e142dfc9e9,Zograf Readings,2006,E2006,SESS_35f03ec82f,Завершающие строфы «Махабхараты»: лексика и семантика,Невелева Светлана Леонидовна,Невелева Светлана Леонидовна,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,8ff91e40e17d1276,b21053337e894fbb
PRES_7ba5d38278,Zograf Readings,2006,E2006,SESS_8f797d71d7,Изображение и текст: древнеиндийские рельефы и буддийские вербальные тексты,Вертоградова Виктория Викторовна,Вертоградова Виктория Викторовна,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,3d7e3cc471ca582d,ac8fd4fad8d1d79d
PRES_10471c708d,Zograf Readings,2006,E2006,SESS_6aa07ffa06,Индийские философские тексты: композиция как часть содержания,Парибок Андрей Всеволодович,Парибок Андрей Всеволодович,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,1d6841cd0109b13a,76d3bacc14f37a9f
