meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
bhakti_vaishnava,PRES_2a08c0cb86,p/aktualnye-problemy-izucheniya-bkhagavadgity.html,state:III,1,matched,,,Epic & prolongements,III,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,актуальный; бхагавадгита,religion_and_philosophy,Religion & Philosophy,Актуальные проблемы изучения «Бхагавадгиты»,2004
tibetology_himalaya,PRES_3dfb43981f,p/um-i-znanie-tibetskii-uchebnik-po-teorii-poznaniya.html,,0,unmatched,,,,,PERS_3c202afd,s/rada-krapivina.html,Krapivina Raisa Nikolaevna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,знание; познание; теория; тибет; учебник,religion_and_philosophy,Religion & Philosophy,«Ум и знание» - тибетский учебник по теории познания,2004
,PRES_3faf9b7b24,p/syuzhet-o-trite-etnoistoricheskaya-osnova.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_9a855a7b,s/albedil-margarita.html,Albedil Margarita Fedorovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,основа; сюжет; тереть; этноисторический,literature_and_poetry,Literature & Poetry,Сюжет о Трите: этноисторическая основа,2004
dravidology_south_india,PRES_440de90864,p/mif-ob-agaste-v-srednevekovoi-literature-telugu.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_2c40b9b1,s/gurov-nikita.html,Gurov Nikita Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,агастие; литература; миф; средневековый; телугу,literature_and_poetry,Literature & Poetry,Миф об Агастье в средневековой литературе телугу,2004
yoga_ayurveda,PRES_4dc8f2c386,p/ob-astrologicheskoi-germenevtike-v-meditsinskikh-tekstakh-ayurveda.html,state:I; register:bhasya,2,matched,Bhāṣya,bhasya,Vedic,I,PERS_bff5de3e,s/beinoryus-audryus.html,Audrius Beinorius,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,астрологический; аюрведа; герменевтика; медицинский; текст,religion_and_philosophy,Religion & Philosophy,Об астрологической герменевтике в медицинских текстах (Аюрведа),2004
hindi_urdu_new_indo_aryan,PRES_5461e391b0,p/syuzhet-povesti-o-nasikete-sadala-mishry-v-kontekste-istorii-prozy-khindi.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_28317057,s/dubyanskaya-tatyana.html,Dubyanskaya Tatyana Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,история; контекст; мишра; насикета; повесть; проза; садать; сюжет; хинди,literature_and_poetry,Literature & Poetry,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,2004
,PRES_5ec00edd5f,p/literaturnye-reministsentsii-v-gaudavakho-vakpatiradzhi.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_23215083,s/rusanov-maksim.html,Rusanov Maxim Albertovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,вакпатирадж; гаудавахо; литература; реминисценция,literature_and_poetry,Literature & Poetry,Литературные реминисценции в «Гаудавахо» Вакпатираджи,2004
,PRES_630760bcac,p/psikhologiya-akta-samopozhertvovaniya-v-izobrazhenii-dramaturgov-7-go-veka.html,state:IV; register:natya; register:kavya,3,matched,Kāvya; Nāṭya,kavya; natya,Classical,IV,PERS_61202bf3,s/yulia-alikhanova.html,Alikhanova Yulia Markovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,акт; век; драматург; изображение; психология; самопожертвование,literature_and_poetry,Literature & Poetry,Психология акта самопожертвования в изображении драматургов 7-го века,2004
buddhist_studies,PRES_646225a03b,p/oproverzhenie-atomizma-v-traktate-vasubandkhu-vidzhnyaptimatratasiddkhi-dokazatelstvo-edinstvenn.html,,0,unmatched,,,,,PERS_0a42bfb2,s/khomutinnikova.html,N. V. Homutinnikova,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,атомизм; васубандх; виджняптиматратасиддх; доказательство; единственность; опровержение; сознание; трактат,religion_and_philosophy,Religion & Philosophy,Опровержение атомизма в трактате Васубандху Виджняптиматратасиддхи («Доказательство единственности сознания»),2004
sanskrit_grammar_panini,PRES_6c8531953d,p/kontseptsiya-spkhoty-v-spkhotasiddkhi-mandanamishry.html,,0,unmatched,,,,,PERS_bdaaf440,s/slinko-elena.html,Slinko Elena Viktorovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,концепция; манданамишра; спхота; спхотасиддх,religion_and_philosophy,Religion & Philosophy,Концепция спхоты в «Спхотасиддхи» Манданамишры,2004
