meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
epic_ramayana_mahabharata,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_ba537782,s/petrova.html,M. I. Petrova,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,время; махабхарат; представление; фигура; царь,literature_and_poetry,Literature & Poetry,Фигура царя и представления о времени в «Махабхарате»,2004
epic_ramayana_mahabharata,PRES_c567f22f17,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_e5a5ac24,s/neveleva-svetlana.html,Neveleva Svetlana Leonidovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,завершать; книга; лексика; махабхарат; эпизод,literature_and_poetry,Literature & Poetry,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),2004
sanskrit_grammar_panini,PRES_49eb37c334,p/orfoepicheskaya-praktika-i-drevneindiiskaya-fonetika.html,register:epic; register:bhasya,2,matched,Bhāṣya; Epic,bhasya; epic,,,PERS_88d163c1,s/vidunas-vitis.html,Vytis Vidunas,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,древнеиндийский; орфоэпический; практика; фонетика,linguistics_and_philology,Linguistics & Philology,Орфоэпическая практика и древнеиндийская фонетика,2006
epic_ramayana_mahabharata,PRES_f771f5827d,p/zavershayushchie-strofy-makhabkharaty-leksika-i-semantika.html,state:III; state:IV; register:epic; register:bhasya; register:kavya,5,matched,Bhāṣya; Epic; Kāvya,bhasya; epic; kavya,Classical; Epic & prolongements,III; IV,PERS_e5a5ac24,s/neveleva-svetlana.html,Neveleva Svetlana Leonidovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,завершать; лексика; махабхарат; семантика; строфа,literature_and_poetry,Literature & Poetry,Завершающие строфы «Махабхараты»: лексика и семантика,2006
epic_ramayana_mahabharata,PRES_fcd64d09ac,p/otryakhivayushchiisya-nyryalshchik-o-spetsificheskom-folklornom-motive-v-epicheskikh-i-puraniche.html,state:III; state:IV; register:epic; register:purana; register:katha; register:kavya,6,matched,Epic; Kathā; Kāvya; Purāṇa,epic; katha; kavya; purana,Classical; Epic & prolongements,III; IV,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,вепрь; версия; мотив; ныряльщик; отряхиваться; пуранический; сказание; специфический; фольклорный; эпический,literature_and_poetry,Literature & Poetry,Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā),2006
dravidology_south_india,PRES_7e16512005,p/o-bykakh-i-lyudyakh-obraz-stada-v-skotovodcheskom-epose-yuzhnoi-indii.html,state:IV; register:epic; register:kavya,3,matched,Epic; Kāvya,epic; kavya,Classical,IV,PERS_2c40b9b1,s/gurov-nikita.html,Gurov Nikita Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,бык; образ; скотоводческий; стадо; человек; эпос; южная_индия,literature_and_poetry,Literature & Poetry,О быках и людях (Образ «Стада» в скотоводческом эпосе Южной Индии),2007
epic_ramayana_mahabharata,PRES_293775e85d,p/o-proiskhozhdenii-kulturnykh-arkhaizmov-v-pozdnem-sloe-soderzhaniya-makhabkharaty-na-primere-tem.html,state:III; register:epic,2,matched,Epic,epic,Epic & prolongements,III,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2074&option=com_content&task=view,архаизм; братство; воинский; культурный; махабхарат; поздний; происхождение; слой; содержание,history_and_culture,"History, Culture & Society",О происхождении культурных архаизмов в позднем слое содержания «Махабхараты» (на примере темы воинских братств),2008
epic_ramayana_mahabharata,PRES_9e65f5de1e,p/drugaya-savitri-skazanie-o-savitri-v-andkhramakhabkharate.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_2c40b9b1,s/gurov-nikita.html,Gurov Nikita Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2074&option=com_content&task=view,андхрамахабхарат; другой; савитереть; сказание,literature_and_poetry,Literature & Poetry,«Другая Савитри»: Сказание о Савитри в «Андхрамахабхарате»,2008
epic_ramayana_mahabharata,PRES_c23e6409da,p/o-yazyke-i-stile-epicheskikh-rishi.html,state:IV; register:epic; register:kavya,3,matched,Epic; Kāvya,epic; kavya,Classical,IV,PERS_e5a5ac24,s/neveleva-svetlana.html,Neveleva Svetlana Leonidovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2074&option=com_content&task=view,риш; стиль; эпический; язык,literature_and_poetry,Literature & Poetry,О языке и стиле эпических риши,2008
epic_ramayana_mahabharata; manuscripts_epigraphy,PRES_4fc95cdd1b,p/makhabkharata-i-shastry-v-rannei-indiiskoi-epigrafike.html,state:III; state:IV; register:epic; register:epig,4,matched,Epic; Epigraphic,epic; epig,Classical; Epic & prolongements,III; IV,PERS_9ad66151,s/lelyukhin-dmitrii.html,Lelyukhin Dmitry Nikolaevich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2009,индия; махабхарат; ранний; шастр; эпиграфика,history_and_culture,"History, Culture & Society",Махабхарата и шастры в ранней индийской эпиграфике,2009
