meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
,PRES_3faf9b7b24,p/syuzhet-o-trite-etnoistoricheskaya-osnova.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_9a855a7b,s/albedil-margarita.html,Albedil Margarita Fedorovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,основа; сюжет; тереть; этноисторический,literature_and_poetry,Literature & Poetry,Сюжет о Трите: этноисторическая основа,2004
hindi_urdu_new_indo_aryan,PRES_5461e391b0,p/syuzhet-povesti-o-nasikete-sadala-mishry-v-kontekste-istorii-prozy-khindi.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_28317057,s/dubyanskaya-tatyana.html,Dubyanskaya Tatyana Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,история; контекст; мишра; насикета; повесть; проза; садать; сюжет; хинди,literature_and_poetry,Literature & Poetry,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,2004
modern_literature,PRES_d5cc6c0374,p/k-voprosu-o-syuzhetnykh-i-stilisticheskikh-istokakh-rannikh-priklyuchencheskikh-romanov-na-khind.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_28317057,s/dubyanskaya-tatyana.html,Dubyanskaya Tatyana Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,исток; приключенческий; ранний; роман; стилистический; сюжетный; хинди,literature_and_poetry,Literature & Poetry,К вопросу о сюжетных и стилистических истоках ранних приключенческих романов на хинди,2006
epic_ramayana_mahabharata,PRES_fcd64d09ac,p/otryakhivayushchiisya-nyryalshchik-o-spetsificheskom-folklornom-motive-v-epicheskikh-i-puraniche.html,state:III; state:IV; register:epic; register:purana; register:katha; register:kavya,6,matched,Epic; Kathā; Kāvya; Purāṇa,epic; katha; kavya; purana,Classical; Epic & prolongements,III; IV,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,вепрь; версия; мотив; ныряльщик; отряхиваться; пуранический; сказание; специфический; фольклорный; эпический,literature_and_poetry,Literature & Poetry,Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā),2006
hindi_urdu_new_indo_aryan,PRES_2b5692727a,p/rasskaz-o-rani-ketaki-insh-alla-khana-v-kontekste-razvitiya-rannei-prozy-na-khindi-i-urdu.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_28317057,s/dubyanskaya-tatyana.html,Dubyanskaya Tatyana Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,инш-алла; кетаки; контекст; проза; развитие; ранний; рань; рассказ; урду; хан; хинди,literature_and_poetry,Literature & Poetry,«Рассказ о рани Кетаки» Инш-алла Хана в контексте развития ранней прозы на хинди и урду,2007
epic_ramayana_mahabharata,PRES_7323c9c9b1,p/eshche-raz-o-syuzhete-epicheskoi-shakuntaly.html,state:IV; register:epic; register:katha; register:kavya,4,matched,Epic; Kathā; Kāvya,epic; katha; kavya,Classical,IV,PERS_61202bf3,s/yulia-alikhanova.html,Alikhanova Yulia Markovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2306&option=com_content&task=view,сюжет; шакунталый; эпический,literature_and_poetry,Literature & Poetry,Еще раз о сюжете эпической «Шакунталы»,2009
ethnography_performance,PRES_7efa09f3b2,p/skaziteli-muzykanty-i-tantsory-k-voprosu-o-proiskhozhdenii-i-kastovoi-dkharme-tak-nazyvaemykh-ka.html,state:IV; register:katha,2,matched,Kathā,katha,Classical,IV,PERS_d98da899,s/svetlana-ryzhakova.html,Ryzhakova Svetlana Igorevna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2306&option=com_content&task=view,дхарма; кастовый; катхак; музыкант; называть; происхождение; раджастхан; сказитель; так; танцор,history_and_culture,"History, Culture & Society","Сказители, музыканты и танцоры. К вопросу о происхождении и кастовой дхарме так называемых катхаков Раджастхана",2009
epic_ramayana_mahabharata,PRES_10ebf2bc49,p/syuzhet-o-poboishche-palitsami-v-mausalaparve-i-v-dzhatake-o-gkhata-pandite.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_50c46233,s/maretina-kseniya.html,Maretina Ksenia Александровна,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view,гхата-пандит; джатака; маусалапарва; палица; побоище; сюжет,literature_and_poetry,Literature & Poetry,Сюжет о побоище палицами в «Маусалапарве» и в «Джатаке о Гхата-пандите»,2010
dravidology_south_india,PRES_3bd08e341f,p/syuzhet-o-voploshchenii-vishnu-v-folklornom-tekste-telugu-matsyavataram.html,register:katha,1,matched,Kathā,katha,,,PERS_800ac07e,s/neivirt.html,A. A. Nejvirt,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2609&option=com_content&task=view,вишну; воплощение; матсьяватар; сюжет; текст; телугу; фольклорный,religion_and_philosophy,Religion & Philosophy,Сюжет о воплощении Вишну в фольклорном тексте телугу (Матсьяватарам),2010
comparative_analysis,PRES_58b20ea2d8,p/velikobritaniya-syuzhety-religioznogo-obrashcheniya-v-paliiskoi-i-srednevekovoi-irlandskoi-liter.html,state:IV; state:V; register:katha; register:kavya,4,matched,Kathā; Kāvya,katha; kavya,Buddhist / Jaina; Classical,IV; V,PERS_3c7d41ac,s/fomin-maksim.html,Maxim Fomin,Roerich Readings,https://ancient.ivran.ru/novosti?year=2010,великобритания; ирландский; литература; нарративный; обращение; пали; религия; средневековый; сюжет; традиция,literature_and_poetry,Literature & Poetry,(Великобритания). Сюжеты религиозного обращения в палийской и средневековой ирландской литературе. Нарративная традиция,2010
comparative_analysis,PRES_36278778ba,p/mifologii-severnykh-munda-kak-istochnik-dlya-rekonstruktsii-syuzheta-sozdaniya-cheloveka-u-nasel.html,register:katha,1,matched,Kathā,katha,,,PERS_c31236d2,s/berezkin-yurii.html,Berezkin Yuri Evgenievich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view,бронза; евразийский; источник; мифология; мунда; население; реконструкция; северный; создание; степь; сюжет; человек; эпоха,history_and_culture,"History, Culture & Society",Мифологии северных мунда как источник для реконструкции сюжета создания человека у населения евразийских степей в эпоху бронзы C,2011
museum_collections; nepal_newar_kathmandu,PRES_9389ab2ec7,p/nevarskii-povestvovatelnyi-svitok-v-sobranii-mae-ran-kollektsiya-i-p-minaeva-predvaritelnoe-soob.html,register:katha,1,matched,Kathā,katha,,,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,коллекция; маэ_ран; минаев; неварский; повествовательный; предварительный; свиток; собрание; сообщение,art_and_material_culture,Art & Material Culture,Неварский «повествовательный свиток» в собрании МАЭ РАН (коллекция И. П. Минаева). Предварительное сообщение,2012
buddhist_studies,PRES_7393356a70,p/rannie-kitaiskie-versii-biografii-buddy-syuzhet-podnosheniya-risovoi-kashi.html,state:V; register:katha; register:bauddha,3,matched,Bauddha; Kathā,bauddha; katha,Buddhist / Jaina,V,PERS_f074f69f,s/natalia-alexandrova.html,Alexandrova Natalia Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,биография; будда; версия; каша; китайский; подношение; ранний; рисовый; сюжет,religion_and_philosophy,Religion & Philosophy,Ранние китайские версии биографии Будды: сюжет подношения рисовой каши,2014
buddhist_studies; nepal_newar_kathmandu; visual_material_culture,PRES_7f7a003e02,p/nevarskii-povestvovatelnyi-svitok-na-temy-lalitavistary-odomashnivanie-klassicheskoi-buddiiskoi.html,state:V; register:sutra; register:katha; register:bauddha,4,matched,Bauddha; Kathā; Sūtra,bauddha; katha; sutra,Buddhist / Jaina,V,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,буддизм; классический; лалитавистара; неварский; одомашнивание; повествовательный; свиток; сутра,art_and_material_culture,Art & Material Culture,Неварский «повествовательный свиток» на темы «Лалитавистары»: «одомашнивание» классической буддийской сутры,2014
,PRES_1f1bea1183,p/rasskazy-o-masterstve-v-drevneindiiskoi-gorodskoi-literature.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_23215083,s/rusanov-maksim.html,Rusanov Maxim Albertovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,городской; древнеиндийский; литература; мастерство; рассказ,literature_and_poetry,Literature & Poetry,Рассказы о мастерстве в древнеиндийской городской литературе,2015
modern_literature,PRES_2aa82261d1,p/nauchno-fantasticheskie-rasskazy-khumayuna-akhmeda.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_8df3730a,s/donchenko-sergei.html,Donchenko Sergey Sergeevich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,ахмед; научно-фантастический; рассказ; хумаюна,literature_and_poetry,Literature & Poetry,Научно-фантастические рассказы Хумаюна Ахмеда,2015
pali_early_buddhism,PRES_3115290bfc,p/problemy-interpretatsii-kontseptsii-vosmi-oproverzhenii-v-katkhavatkhu.html,state:IV; register:katha,2,matched,Kathā,katha,Classical,IV,PERS_ebb6d156,s/anastasia-lozhkina.html,Lozhkina Anastasia Vitalyevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,восемь; катхаватх; концепция; опровержение,religion_and_philosophy,Religion & Philosophy,Проблемы интерпретации концепции восьми опровержений в «Катхаватху»,2015
buddhist_studies,PRES_3759903dc9,p/fragment-diskussii-o-pudgale-v-katkhavattkhu-i-1-pudgala-i-skandkhi.html,state:IV; register:katha,2,matched,Kathā,katha,Classical,IV,PERS_ebb6d156,s/anastasia-lozhkina.html,Lozhkina Anastasia Vitalyevna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,дискуссия; катхаваттх; пудгала; скандх; фрагмент,religion_and_philosophy,Religion & Philosophy,Фрагмент дискуссии о пудгале в «Катхаваттху» I.1: пудгала и скандхи,2015
buddhist_studies; translation_reception,PRES_5bb9175b5b,p/transformatsii-syuzhetov-o-prosvetlenii-i-pervoi-propovedi-buddy-v-svete-rannikh-kitaiskikh-pere.html,state:V; register:sutra; register:katha; register:bauddha,4,matched,Bauddha; Kathā; Sūtra,bauddha; katha; sutra,Buddhist / Jaina,V,PERS_f074f69f,s/natalia-alexandrova.html,Alexandrova Natalia Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,будда; китайский; первый; перевод; проповедь; просветление; ранний; свет; сутра; сюжет; трансформация,religion_and_philosophy,Religion & Philosophy,Трансформации сюжетов о просветлении и первой проповеди Будды в свете ранних китайских переводов сутр (II—III вв.),2015
epic_ramayana_mahabharata,PRES_d430246a1f,p/epos-katama-radzhu-katkha-osnovnye-osobennosti-syuzheta.html,state:IV; register:epic; register:katha; register:kavya,4,matched,Epic; Kathā; Kāvya,epic; katha; kavya,Classical,IV,PERS_800ac07e,s/neivirt.html,A. A. Nejvirt,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,катама; катх; основной; раджа; сюжет; эпос,literature_and_poetry,Literature & Poetry,Эпос «Катама Раджу Катха» — основные особенности сюжета,2015
epic_ramayana_mahabharata,PRES_e6c1d002d9,p/rozhdenie-geroya-ili-sakralnogo-personazha-v-indiiskoi-povestvovatelnoi-traditsii-k-interpretats.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_8e117242,s/ekaterina-yuditskaya.html,Yuditskaya Ekaterina Alekseevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,герой; индия; композиция; майя; персонаж; повествовательный; рождение; сакральный; сон; традиция,literature_and_poetry,Literature & Poetry,Рождение героя или сакрального персонажа в индийской повествовательной традиции (к интерпретации композиции «Сон Майи»),2015
visual_material_culture,PRES_19d3632a7e,p/iskusstvo-masterov-potua-novye-syuzhety-v-traditsionnom-ispolnenii.html,register:katha,1,matched,Kathā,katha,,,PERS_8df3730a,s/donchenko-sergei.html,Donchenko Sergey Sergeevich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,искусство; исполнение; мастер-потуа; новый; сюжет; традиционный,art_and_material_culture,Art & Material Culture,Искусство мастеров-потуа: новые сюжеты в традиционном исполнении,2016
visual_material_culture,PRES_3f0186a62b,p/katkhputli-narodnye-marionetki-radzhastkhana.html,state:IV; register:katha,2,matched,Kathā,katha,Classical,IV,PERS_a901d460,s/fagradyan-marina.html,Marina Fagradyan,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,катхпутля; марионетка; народный; раджастхан,history_and_culture,"History, Culture & Society",Катхпутли: народные марионетки Раджастхана,2016
bhakti_vaishnava,PRES_6b4df0d231,p/voskhozhdenie-na-kailasu-istoriya-shaiva-bkhaktov-sundarara-i-cheramana-perumalya-rasskazannaya.html,state:III; register:purana; register:katha,3,matched,Kathā; Purāṇa,katha; purana,Epic & prolongements,III,PERS_e31ca12d,s/olga-vecherina.html,Vecherina Olga Pavlovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2016,брихадишвара; восхождение; история; кайласа; перияпуран; перумалить; рассказать; секкижара; сундарара; танджор; фреска; храм; черамана; шайва-бхакт,religion_and_philosophy,Religion & Philosophy,"Восхождение на Кайласу. История шайва-бхактов Сундарара и Черамана Перумаля, рассказанная в «Перияпуранам» Секкижара и на фреске храма Брихадишвары в Танджоре",2016
buddhist_studies; pali_early_buddhism,PRES_00c3fc1661,p/vopros-o-bozhestvennosti-buddy-v-katkhavattkhu-21-5-21-6.html,state:IV; state:V; register:katha; register:bauddha,4,matched,Bauddha; Kathā,bauddha; katha,Buddhist / Jaina; Classical,IV; V,PERS_ebb6d156,s/anastasia-lozhkina.html,Lozhkina Anastasia Vitalyevna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=5510&option=com_content&task=view,божественность; будда; катхаваттх,religion_and_philosophy,Religion & Philosophy,Вопрос о божественности Будды в «Катхаваттху» 21.5—21.6,2017
buddhist_studies,PRES_7a25d6758f,p/syuzhet-o-budde-v-rannikh-buddiiskikh-sakralnykh-tekstakh.html,state:V; register:katha; register:bauddha,3,matched,Bauddha; Kathā,bauddha; katha,Buddhist / Jaina,V,PERS_92868e4f,s/dmitry-zhutaev.html,Zhutaev Dar Igorevich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2017,будда; буддизм; ранний; сакральный; сюжет; текст,religion_and_philosophy,Religion & Philosophy,Сюжет о Будде в ранних буддийских сакральных текстах,2017
pali_early_buddhism,PRES_a81b81e251,p/ispolzovanie-vtorichnogo-teksta-tsitirovanie-kak-sredstvo-vedeniya-diskussii-v-voprose-o-subekte.html,state:IV; register:katha,2,matched,Kathā,katha,Classical,IV,PERS_ebb6d156,s/anastasia-lozhkina.html,Lozhkina Anastasia Vitalyevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2017,ведение; вторичный; дискуссия; использование; катхаваттх; пудгала; средство; субъект; текст; цитирование,religion_and_philosophy,Religion & Philosophy,Использование вторичного текста (цитирование) как средство ведения дискуссии в «Вопросе о субъекте (пудгале)» в «Катхаваттху 1.1»,2017
pali_early_buddhism,PRES_cf0485137b,p/uchenichestvo-kak-syuzhet-rannebuddiiskoi-literatury.html,state:V; register:katha; register:bauddha,3,matched,Bauddha; Kathā,bauddha; katha,Buddhist / Jaina,V,PERS_f074f69f,s/natalia-alexandrova.html,Alexandrova Natalia Vladimirovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2017,литература; раннебуддийский; сюжет; ученичество,religion_and_philosophy,Religion & Philosophy,Ученичество как сюжет раннебуддийской литературы,2017
