meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
,PRES_3faf9b7b24,p/syuzhet-o-trite-etnoistoricheskaya-osnova.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_9a855a7b,s/albedil-margarita.html,Albedil Margarita Fedorovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,основа; сюжет; тереть; этноисторический,literature_and_poetry,Literature & Poetry,Сюжет о Трите: этноисторическая основа,2004
dravidology_south_india,PRES_440de90864,p/mif-ob-agaste-v-srednevekovoi-literature-telugu.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_2c40b9b1,s/gurov-nikita.html,Gurov Nikita Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,агастие; литература; миф; средневековый; телугу,literature_and_poetry,Literature & Poetry,Миф об Агастье в средневековой литературе телугу,2004
hindi_urdu_new_indo_aryan,PRES_5461e391b0,p/syuzhet-povesti-o-nasikete-sadala-mishry-v-kontekste-istorii-prozy-khindi.html,state:IV; register:katha; register:kavya,3,matched,Kathā; Kāvya,katha; kavya,Classical,IV,PERS_28317057,s/dubyanskaya-tatyana.html,Dubyanskaya Tatyana Alexandrovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,история; контекст; мишра; насикета; повесть; проза; садать; сюжет; хинди,literature_and_poetry,Literature & Poetry,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,2004
,PRES_5ec00edd5f,p/literaturnye-reministsentsii-v-gaudavakho-vakpatiradzhi.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_23215083,s/rusanov-maksim.html,Rusanov Maxim Albertovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,вакпатирадж; гаудавахо; литература; реминисценция,literature_and_poetry,Literature & Poetry,Литературные реминисценции в «Гаудавахо» Вакпатираджи,2004
,PRES_630760bcac,p/psikhologiya-akta-samopozhertvovaniya-v-izobrazhenii-dramaturgov-7-go-veka.html,state:IV; register:natya; register:kavya,3,matched,Kāvya; Nāṭya,kavya; natya,Classical,IV,PERS_61202bf3,s/yulia-alikhanova.html,Alikhanova Yulia Markovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,акт; век; драматург; изображение; психология; самопожертвование,literature_and_poetry,Literature & Poetry,Психология акта самопожертвования в изображении драматургов 7-го века,2004
literary_studies,PRES_8a6d651579,p/o-zhanre-vyaioga-v-sanskritskoi-teorii-dramy.html,state:IV; register:natya; register:kavya,3,matched,Kāvya; Nāṭya,kavya; natya,Classical,IV,PERS_b4cdbfb8,s/erman-vladimir.html,Erman Vladimir Gansovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,вьяйог; драма; жанр; санскрит; теория,literature_and_poetry,Literature & Poetry,О жанре вьяйога в санскритской теории драмы,2004
epic_ramayana_mahabharata,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_ba537782,s/petrova.html,M. I. Petrova,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,время; махабхарат; представление; фигура; царь,literature_and_poetry,Literature & Poetry,Фигура царя и представления о времени в «Махабхарате»,2004
,PRES_97ad954200,p/luk-oruzhie.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_96b8b195,s/bogolyubov-mikhail.html,Bogolyubov Mikhail Nikolaevich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,лук; оружие,literature_and_poetry,Literature & Poetry,Лук (оружие),2004
bengal; translation_reception,PRES_a8e1a30833,p/perevod-g-s-lebedevym-poemy-bkharat-chondro-raya-biddeshundor-po-rukopisi-khranyashcheisya-v-rgi.html,state:IV; register:kavya,2,matched,Kāvya,kavya,Classical,IV,PERS_7bbed51a; PERS_dd7de77e,s/brosalina-elena.html; s/sladkov-andrei.html,Brosalina Elena Kirillovna; Sladkov Andrey Leonidovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,биддешундор; бхарат; лебедев; перевод; поэма; предварительный; рай; ргиа; рукопись; сообщение; храниться; чондро,literature_and_poetry,Literature & Poetry,"Перевод Г.С.Лебедевым поэмы Бхарат Чондро Рая «Биддешундор» (по рукописи, хранящейся в РГИА). Предварительное сообщение",2004
vedic_studies,PRES_ba501c2543,p/erotika-v-rigvede-muzhskoe-i-zhenskoe-nachalo.html,state:I; state:IV; register:rgveda; register:bhasya; register:kavya,5,matched,Bhāṣya; Kāvya; Ṛgveda,bhasya; kavya; rgveda,Classical; Vedic,I; IV,PERS_5cb1449b,s/khomichenkene-aleta.html,Aleta Chomichenkiene,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,женский; мужской; начало; ригведа; эротика,literature_and_poetry,Literature & Poetry,Эротика в Ригведе: мужское и женское начало,2004
