meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
,PRES_73205188c4,p/ochishchenie-ot-terniev-v-artkhashastre-i-dkharmashastrakh.html,state:III; state:IV; register:smrti,3,matched,Smṛti,smrti,Classical; Epic & prolongements,III; IV,PERS_aa964a12,s/samozvantsev-andrei.html,Samozvantsev Andrey Mikhailovich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2008,артхашастр; дхармашастр; очищение; терний,history_and_culture,"History, Culture & Society",«Очищение от терниев» в «Артхашастре» и дхармашастрах,2008
,PRES_eabb2c0db9,p/ordalii-v-dkharmashastrakh.html,state:III; state:IV; register:smrti,3,matched,Smṛti,smrti,Classical; Epic & prolongements,III; IV,PERS_40862f5e,s/natalia-korneeva.html,Korneeva Natalia Afanasyevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2008,дхармашастр; ордалия,history_and_culture,"History, Culture & Society",Ордалии в дхармашастрах,2008
vedic_studies,PRES_3ec7076b0a,p/sootnoshenie-chistaya-zemlya-nechistaya-zemlya-chistyi-narod-nechistyi-narod-po-materialam-manus.html,state:III; state:IV; register:smrti,3,matched,Smṛti,smrti,Classical; Epic & prolongements,III; IV,PERS_9374fd12,s/vyrshchikov-evgenii.html,Vyrshchikov Evgeny Gennadievich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2009,артхашастр; земля; каутилья; манусмрити; народ; нечистый; соотношение; чистый,religion_and_philosophy,Religion & Philosophy,"Соотношение «чистая земля» – «нечистая земля», «чистый народ – «нечистый народ» по материалам «Манусмрити» и «Артхашастры» Каутильи",2009
ritual_studies,PRES_9cec165a1d,p/o-rituale-pomazaniya-tsarya-na-tsarstvo-v-yadzhnyavalkya-smriti.html,state:III; register:smrti,2,matched,Smṛti,smrti,Epic & prolongements,III,PERS_aa964a12,s/samozvantsev-andrei.html,Samozvantsev Andrey Mikhailovich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2009,помазание; ритуал; царство; царь; яджнявалкие-смрити,religion_and_philosophy,Religion & Philosophy,О ритуале помазания царя на царство в «Яджнявалкья-смрити»,2009
philosophy_epistemology,PRES_8bd27d8f20,p/dve-paradigmy-monizma-v-interpretatsii-bkhagavadgity-shankara-i-ramanudzha.html,state:III; register:smrti; register:bhasya,3,matched,Bhāṣya; Smṛti,bhasya; smrti,Epic & prolongements,III,PERS_0c451d76,s/lobanov-sergei.html,Lobanov Sergey Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,бхагавадгита; два; монизм; парадигма; раманудж; шанкара,religion_and_philosophy,Religion & Philosophy,Две парадигмы монизма в интерпретации «Бхагавадгиты»: Шанкара и Рамануджа,2012
vaishnava,PRES_20a3d34c80,p/problemy-perevoda-shribkhashi-ramanudzhi.html,register:smrti; register:bhasya,2,matched,Bhāṣya; Smṛti,bhasya; smrti,,,PERS_003adcfe,s/pskhu-ruzana.html,Pskhu Ruzana Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4023&option=com_content&task=view,перевод; раманудж; шрибхаший,religion_and_philosophy,Religion & Philosophy,Проблемы перевода «Шрибхашьи» Рамануджи,2015
manuscripts_epigraphy; nepal_newar_kathmandu,PRES_fa1f4db445,p/neizvestnyi-illyustrirovannyi-manuskript-iz-nepala-iz-sobraniya-kabineta-yu-n-rerikha-instituta.html,register:smrti,1,matched,Smṛti,smrti,,,PERS_92868e4f,s/dmitry-zhutaev.html,Zhutaev Dar Igorevich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2015,иллюстрировать; институт_востоковедения_ран; кабинет; манускрипт; неизвестный; непал; собрание; юрий_рерих,art_and_material_culture,Art & Material Culture,Неизвестный иллюстрированный манускрипт из Непала из собрания кабинета Ю.Н. Рериха Института востоковедения РАН,2015
epic_ramayana_mahabharata,PRES_2b4a64bbcc,p/zhenskie-obrazy-drevneindiiskogo-eposa-i-pozdneishego-folklora-na-fone-norm-dkharmashastry.html,state:III; state:IV; register:epic; register:smrti; register:kavya,5,matched,Epic; Kāvya; Smṛti,epic; kavya; smrti,Classical; Epic & prolongements,III; IV,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view,древнеиндийский; дхармашастр; женский; норма; образ; поздний; фольклор; фон; эпос,literature_and_poetry,Literature & Poetry,Женские образы древнеиндийского эпоса и позднейшего фольклора на фоне норм дхармашастры,2018
philosophy_epistemology; vaishnava,PRES_6d5d70424b,p/gadya-ramanudzhi-venets-ili-krest-issledovatelya-filosofii-vishishta-advaity.html,register:smrti,1,matched,Smṛti,smrti,,,PERS_003adcfe,s/pskhu-ruzana.html,Pskhu Ruzana Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view,венец; вишишт-адвайта; гадьяа; исследователь; крест; раманудж; философия,religion_and_philosophy,Religion & Philosophy,«Гадья» Рамануджи: венец или крест исследователя философии вишишта-адвайты?,2019
bhakti_vaishnava; translation_reception,PRES_e3a92610f5,p/k-posmertnomu-izdaniyu-polnogo-perevoda-v-s-sementsova-gitabkhashi-ramanudzhi-na-russkom-yazyke.html,state:III; register:smrti; register:bhasya,3,matched,Bhāṣya; Smṛti,bhasya; smrti,Epic & prolongements,III,PERS_003adcfe,s/pskhu-ruzana.html,Pskhu Ruzana Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,гитабхаший; издание; перевод; полный; посмертный; раманудж; русский; семенцов; язык,religion_and_philosophy,Religion & Philosophy,К (посмертному) изданию полного перевода (В. С. Семенцова) «Гитабхашьи» Рамануджи на русском языке,2020
manuscripts_epigraphy; ritual_studies,PRES_ec58f38bb5,p/traditsii-i-ritualy-pochitaniya-manuskriptov-v-pisaniyakh-shaiva.html,register:smrti,1,matched,Smṛti,smrti,,,PERS_a1484b38,s/kavalevskaya-anna.html,Anna Kavalevskaya,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view,манускрипт; писание; почитание; ритуал; традиция; шайва,religion_and_philosophy,Religion & Philosophy,Традиции и ритуалы почитания манускриптов в писаниях шайва,2020
manuscripts_epigraphy; tibetology_himalaya,PRES_a12fd2f1ff,p/astrologicheskie-manuskripty-na-tankri-iz-kollektsii-kkhubrama-kkhushdilya-khimachal-pradesh-oso.html,register:smrti,1,matched,Smṛti,smrti,,,PERS_58b39545; PERS_72506535,s/anastasia-krylova.html; s/evgenia-renkovskaya.html,Krylova Anastasia Sergeevna; Renkovskaya Evgeniya Alekseevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2021,астрологический; датировка; коллекция; кхубрам; кхушдиля; манускрипт; танкри; текст; химачал-прадеш,religion_and_philosophy,Religion & Philosophy,Астрологические манускрипты на танкри из коллекции Кхубрама Кхушдиля (Химачал-Прадеш): особенности текстов и датировка,2021
philosophy_epistemology; vaishnava,PRES_af185dfb85,p/k-analizu-ustroistva-shribkhashya-ramanudzhi-soderzhanie-kompozitsiya-stil.html,register:smrti; register:bhasya,2,matched,Bhāṣya; Smṛti,bhasya; smrti,,,PERS_003adcfe,s/pskhu-ruzana.html,Pskhu Ruzana Vladimirovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view,композиция; раманудж; содержание; стиль; устройство; шрибхаший,religion_and_philosophy,Religion & Philosophy,"К анализу устройства «Шрибхашья» Рамануджи: содержание, композиция, стиль",2022
