first_year,last_year,presentation_count,renou_axis,renou_code,renou_label,scholar_count,series
2004,2026,297,register,kavya,Kāvya,93,Roerich Readings; Zograf Readings
2004,2026,151,register,bauddha,Bauddha,56,Roerich Readings; Zograf Readings
2004,2026,55,register,epic,Epic,33,Roerich Readings; Zograf Readings
2004,2026,50,register,katha,Kathā,31,Roerich Readings; Zograf Readings
2004,2025,47,register,tantra,Tantra,19,Roerich Readings; Zograf Readings
2004,2025,39,register,natya,Nāṭya,12,Roerich Readings; Zograf Readings
2004,2025,38,register,purana,Purāṇa,10,Roerich Readings; Zograf Readings
2004,2026,25,register,bhasya,Bhāṣya,20,Roerich Readings; Zograf Readings
2012,2025,25,register,sutra,Sūtra,14,Roerich Readings; Zograf Readings
2006,2026,20,register,vyakarana,Vyākaraṇa,13,Roerich Readings; Zograf Readings
2004,2025,17,register,rgveda,Ṛgveda,10,Roerich Readings; Zograf Readings
2007,2023,15,register,epig,Epigraphic,4,Roerich Readings; Zograf Readings
2006,2026,10,register,upanisad,Upaniṣad,8,Roerich Readings; Zograf Readings
2013,2025,9,register,brahmana,Brāhmaṇa,8,Roerich Readings; Zograf Readings
2009,2025,9,register,jaina,Jaina,5,Roerich Readings; Zograf Readings
2008,2018,4,register,smrti,Smṛti,3,Roerich Readings; Zograf Readings
2008,2021,3,register,atharva,Atharvaveda,3,Roerich Readings; Zograf Readings
2016,2025,2,register,hors_inde,Outside India,3,Roerich Readings
2018,2018,1,register,karika,Kārikā,1,Roerich Readings
