meso_codes,presentation_id,public_path,renou_evidence,renou_match_count,renou_match_status,renou_register_labels,renou_registers,renou_state_labels,renou_states,scholar_ids,scholar_urls,scholars,series,source_url,tags,theme_code,theme_en,title,year
bhakti_vaishnava,PRES_2a08c0cb86,p/aktualnye-problemy-izucheniya-bkhagavadgity.html,state:III,1,matched,,,Epic & prolongements,III,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,актуальный; бхагавадгита,religion_and_philosophy,Religion & Philosophy,Актуальные проблемы изучения «Бхагавадгиты»,2004
,PRES_6e17572f1f,p/problema-klassifikatsii-induistskikh-tantricheskikh-shkol.html,state:III; register:tantra,2,matched,Tantra,tantra,Epic & prolongements,III,PERS_260a598a,s/pakhomov-sergei.html,Pakhomov Sergey Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,индуистский; классификация; тантрический; школа,religion_and_philosophy,Religion & Philosophy,Проблема классификации индуистских тантрических школ,2004
bhakti_vaishnava,PRES_8ee46835ab,p/moksha-v-bkhagavata-purane.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_ba81468a,s/kokova-yuliya.html,Kokova Yulia Georgievna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,бхагавата-пурана; мокша,religion_and_philosophy,Religion & Philosophy,Мокша в Бхагавата-пуране,2004
epic_ramayana_mahabharata,PRES_92c5268a51,p/figura-tsarya-i-predstavleniya-o-vremeni-v-makhabkharate.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_ba537782,s/petrova.html,M. I. Petrova,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,время; махабхарат; представление; фигура; царь,literature_and_poetry,Literature & Poetry,Фигура царя и представления о времени в «Махабхарате»,2004
epic_ramayana_mahabharata,PRES_c567f22f17,p/leksika-epizoda-i-ego-znachenie-na-materiale-zavershayushchikh-knig-makhabkharaty.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_e5a5ac24,s/neveleva-svetlana.html,Neveleva Svetlana Leonidovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,завершать; книга; лексика; махабхарат; эпизод,literature_and_poetry,Literature & Poetry,Лексика эпизода и его значение (на материале завершающих книг «Махабхараты»),2004
bhakti_vaishnava,PRES_ceb3b3ba00,p/devi-gita-iz-devibkhagavata-purany.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_3e105f43,s/ignatev-andrei.html,Ignatyev Andrey Alexandrovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view,деви-гит; девибхагават-пурана,religion_and_philosophy,Religion & Philosophy,Деви-гита из Девибхагавата-пураны,2004
vedic_studies,PRES_748beb327e,p/mesto-devibkhagavata-purany-v-protsesse-evolyutsii-shaktizma.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_3e105f43,s/ignatev-andrei.html,Ignatyev Andrey Alexandrovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,девибхагават-пурана; процесс; шактизм; эволюция,religion_and_philosophy,Religion & Philosophy,Место «Девибхагавата-пураны» в процессе эволюции шактизма,2006
epic_ramayana_mahabharata,PRES_dfef1a443f,p/predstavleniya-ob-obshchestve-i-vlasti-v-bkhagavata-purane.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_ba81468a,s/kokova-yuliya.html,Kokova Yulia Georgievna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,бхагавата-пурана; власть; общество; представление,history_and_culture,"History, Culture & Society",Представления об обществе и власти в «Бхагавата-пуране»,2006
epic_ramayana_mahabharata,PRES_f771f5827d,p/zavershayushchie-strofy-makhabkharaty-leksika-i-semantika.html,state:III; state:IV; register:epic; register:kavya,4,matched,Epic; Kāvya,epic; kavya,Classical; Epic & prolongements,III; IV,PERS_e5a5ac24,s/neveleva-svetlana.html,Neveleva Svetlana Leonidovna,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,завершать; лексика; махабхарат; семантика; строфа,literature_and_poetry,Literature & Poetry,Завершающие строфы «Махабхараты»: лексика и семантика,2006
epic_ramayana_mahabharata,PRES_fcd64d09ac,p/otryakhivayushchiisya-nyryalshchik-o-spetsificheskom-folklornom-motive-v-epicheskikh-i-puraniche.html,state:III; state:IV; register:epic; register:purana; register:katha; register:kavya,6,matched,Epic; Kathā; Kāvya; Purāṇa,epic; katha; kavya; purana,Classical; Epic & prolongements,III; IV,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view,вепрь; версия; мотив; ныряльщик; отряхиваться; пуранический; сказание; специфический; фольклорный; эпический,literature_and_poetry,Literature & Poetry,Отряхивающийся ныряльщик: о специфическом фольклорном мотиве в эпических и пуранических версиях «Сказания о Вепре» (Varāha-kathā),2006
buddhist_studies,PRES_7052e31e46,p/opisaniya-voennoi-tekhniki-v-indiiskom-sochinenii-xi-veka-shri-kalachakra-tantra-radzha.html,state:III; register:tantra,2,matched,Tantra,tantra,Epic & prolongements,III,PERS_3d22e8d4,s/strelkov-andrei.html,Strelkov Andrey Mikhailovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,век; военный; индия; калачакра; описание; радж; сочинение; тантра; техника,history_and_culture,"History, Culture & Society",Описания военной техники в индийском сочинении XI века «Шри Калачакра тантра раджа»,2007
,PRES_8c102cb0c2,p/teoreticheskie-aspekty-ucheniya-tantricheskoi-shkoly-kula-soglasno-kularnava-tantre.html,state:III; register:tantra,2,matched,Tantra,tantra,Epic & prolongements,III,PERS_260a598a,s/pakhomov-sergei.html,Pakhomov Sergey Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,кула; куларнава-тантра; согласно; тантрический; теоретический; учение; школа,religion_and_philosophy,Religion & Philosophy,Теоретические аспекты учения тантрической школы кула (согласно «Куларнава-тантре»),2007
epic_ramayana_mahabharata,PRES_8e0d2df4b1,p/mif-o-makhishasuramardani-v-devibkhagavata-i-kalika-puranakh.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_3e105f43,s/ignatev-andrei.html,Ignatyev Andrey Alexandrovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,девибхагават; калика-пуран; махишасурамардань; миф,religion_and_philosophy,Religion & Philosophy,Миф о Махишасурамардани в Девибхагавата- и Калика-пуранах,2007
,PRES_a7d32d94a9,p/tipologiya-khramovykh-sooruzhenii-v-tekstakh-puran-i-brikhatsamkhite.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_71e9dee1,s/yaskunas-valdas.html,Valdas Jaskunas,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view,брихатсамхит; пураны; сооружение; текст; типология; храмовый,art_and_material_culture,Art & Material Culture,Типология храмовых сооружений в текстах пуран и «Брихатсамхите»,2007
epic_ramayana_mahabharata,PRES_293775e85d,p/o-proiskhozhdenii-kulturnykh-arkhaizmov-v-pozdnem-sloe-soderzhaniya-makhabkharaty-na-primere-tem.html,state:III; register:epic,2,matched,Epic,epic,Epic & prolongements,III,PERS_829c1de5,s/vasilkov-yaroslav.html,Vasilkov Yaroslav Vladimirovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2074&option=com_content&task=view,архаизм; братство; воинский; культурный; махабхарат; поздний; происхождение; слой; содержание,history_and_culture,"History, Culture & Society",О происхождении культурных архаизмов в позднем слое содержания «Махабхараты» (на примере темы воинских братств),2008
ritual_studies,PRES_448f6392bc,p/stroitelnyi-ritual-i-ego-rol-v-tekstakh-vastuvidi-po-materialam-puran.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_6578b52d,s/tyulina-elena.html,Tyulina Elena Vladimirovna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2008,вастувидие; пураны; ритуал; строительный; текст,religion_and_philosophy,Religion & Philosophy,Строительный ритуал и его роль в текстах вастувидьи (по материалам пуран),2008
,PRES_73205188c4,p/ochishchenie-ot-terniev-v-artkhashastre-i-dkharmashastrakh.html,state:III; register:smrti,2,matched,Smṛti,smrti,Epic & prolongements,III,PERS_aa964a12,s/samozvantsev-andrei.html,Samozvantsev Andrey Mikhailovich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2008,артхашастр; дхармашастр; очищение; терний,history_and_culture,"History, Culture & Society",«Очищение от терниев» в «Артхашастре» и дхармашастрах,2008
,PRES_eabb2c0db9,p/ordalii-v-dkharmashastrakh.html,state:III; register:smrti,2,matched,Smṛti,smrti,Epic & prolongements,III,PERS_40862f5e,s/natalia-korneeva.html,Korneeva Natalia Afanasyevna,Roerich Readings,https://ancient.ivran.ru/novosti?year=2008,дхармашастр; ордалия,history_and_culture,"History, Culture & Society",Ордалии в дхармашастрах,2008
ritual_studies,PRES_f4396724ea,p/o-neodolimaya-boginya-poklonenie-da-budet-tebe-o-ritualnoi-chasti-kalika-purany.html,state:III; register:purana,2,matched,Purāṇa,purana,Epic & prolongements,III,PERS_3e105f43,s/ignatev-andrei.html,Ignatyev Andrey Alexandrovich,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2074&option=com_content&task=view,богиня; калика-пурана; неодолимый; поклонение; ритуальный; часть,religion_and_philosophy,Religion & Philosophy,"«О Неодолимая Богиня, поклонение да будет тебе!» (О ритуальной части Калика-пураны)",2008
,PRES_ff28a9ff47,p/kontsept-ishvary-v-bkhagavadgite.html,state:III,1,matched,,,Epic & prolongements,III,PERS_5d38cbae,s/anikeeva.html,E. N. Anikeeva,Zograf Readings,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2074&option=com_content&task=view,бхагавадгита; ишвара; концепт,religion_and_philosophy,Religion & Philosophy,Концепт Ишвары в «Бхагавадгите»,2008
epic_ramayana_mahabharata; manuscripts_epigraphy,PRES_4fc95cdd1b,p/makhabkharata-i-shastry-v-rannei-indiiskoi-epigrafike.html,state:III; state:IV; register:epic; register:epig,4,matched,Epic; Epigraphic,epic; epig,Classical; Epic & prolongements,III; IV,PERS_9ad66151,s/lelyukhin-dmitrii.html,Lelyukhin Dmitry Nikolaevich,Roerich Readings,https://ancient.ivran.ru/novosti?year=2009,индия; махабхарат; ранний; шастр; эпиграфика,history_and_culture,"History, Culture & Society",Махабхарата и шастры в ранней индийской эпиграфике,2009
