matched_percent,matched_presentations,presentation_count,renou_registers,renou_states,year
64.29,18,28,bauddha; bhasya; epic; katha; kavya; natya; purana; rgveda; tantra,I; III; IV; V,2004
57.14,16,28,bauddha; bhasya; epic; katha; kavya; purana; upanisad; vyakarana,I; II; III; IV; V,2006
58.62,17,29,bauddha; epic; epig; katha; kavya; natya; purana; rgveda; tantra,I; III; IV; V,2007
60.0,27,45,atharva; bauddha; epic; epig; kavya; natya; purana; rgveda; smrti; upanisad; vyakarana,I; II; III; IV; V,2008
56.86,29,51,bauddha; bhasya; epic; epig; jaina; katha; kavya; purana; smrti; tantra,I; II; III; IV; V,2009
49.12,28,57,bauddha; epic; katha; kavya; natya; purana; tantra; upanisad,I; III; IV; V,2010
67.65,23,34,bauddha; bhasya; epic; epig; katha; kavya; natya; purana; rgveda; tantra,I; III; IV; V,2011
57.97,40,69,bauddha; bhasya; epic; epig; katha; kavya; natya; purana; rgveda; sutra; tantra; upanisad,I; III; IV; V,2012
51.79,29,56,bauddha; bhasya; brahmana; epic; epig; jaina; kavya; purana; sutra; tantra; vyakarana,I; II; III; IV; V,2013
44.74,17,38,bauddha; brahmana; epic; epig; katha; kavya; natya; purana; rgveda; sutra; vyakarana,I; II; III; IV; V,2014
57.89,44,76,bauddha; brahmana; epic; epig; katha; kavya; natya; purana; rgveda; sutra; tantra; vyakarana,I; II; III; IV; V,2015
61.04,47,77,bauddha; bhasya; epic; hors_inde; katha; kavya; natya; purana; sutra; tantra,I; III; IV; V,2016
59.26,48,81,bauddha; bhasya; epic; jaina; katha; kavya; natya; purana; sutra; tantra; upanisad,I; III; IV; V,2017
54.22,45,83,bauddha; bhasya; epic; jaina; karika; katha; kavya; natya; purana; smrti; sutra; tantra,I; III; IV; V,2018
47.62,40,84,atharva; bauddha; epic; jaina; katha; kavya; natya; rgveda; sutra; tantra; vyakarana,I; II; III; IV; V,2019
47.3,35,74,bauddha; bhasya; epic; epig; katha; kavya; natya; purana; rgveda; sutra; tantra; vyakarana,I; II; III; IV; V,2020
55.56,45,81,atharva; bauddha; bhasya; epic; epig; katha; kavya; natya; purana; sutra; tantra; vyakarana,I; II; III; IV; V,2021
44.59,33,74,bauddha; bhasya; brahmana; katha; kavya; natya; purana; sutra; tantra; vyakarana,I; II; III; IV; V,2022
43.33,26,60,bauddha; bhasya; brahmana; epic; epig; kavya; natya; purana; sutra; tantra,I; III; IV; V,2023
49.4,41,83,bauddha; bhasya; brahmana; epic; jaina; katha; kavya; natya; purana; rgveda; sutra; tantra,I; III; IV; V,2024
53.68,51,95,bauddha; bhasya; brahmana; epic; hors_inde; jaina; katha; kavya; natya; purana; rgveda; sutra; tantra; upanisad; vyakarana,I; II; III; IV; V,2025
38.98,23,59,bauddha; bhasya; epic; katha; kavya; upanisad; vyakarana,I; II; III; IV; V,2026
