presentation_id,year,series,title,existing_theme_code,l1_baseline,l1_conf,l3_baseline,l3_conf,review_status,notes
PRES_e5697a4aaf,2024,Zograf Readings,Кула и кауладхарма: центральная универсалия индуистского тантризма.,unspecified,,0.0,,0.0,todo,
PRES_259ddc64ac,2023,Roerich Readings,Обсценная брань и её следы в РВ,linguistics_and_philology,,0.0,,0.0,todo,
PRES_213b0b1de9,2021,Roerich Readings,Пятнистый охотничий зверь индоевропейцев и «Атхарваведа»,linguistics_and_philology,,0.0,,0.0,todo,
PRES_6274f89872,2019,Roerich Readings,Вербальный панегирик индийского монаршего портрета эпохи Моголов,art_and_material_culture,,0.0,,0.0,todo,
PRES_d4c9705130,2017,Zograf Readings,Мифология «Йогини-тантры»,unspecified,,0.0,,0.0,todo,
PRES_5e9099b3a9,2017,Zograf Readings,К вопросу о периодизации истории индийской философии,unspecified,,0.0,,0.0,todo,
PRES_ce3d88067d,2017,Zograf Readings,Тальварная рукоять и ее символика,unspecified,,0.0,,0.0,todo,
PRES_ce3d88067d,2017,Zograf Readings,Тальварная рукоять и ее символика,unspecified,,0.0,,0.0,todo,
PRES_93091ebf3a,2017,Roerich Readings,Почему Дигнага называет определение восприятия Васубандху асара (лишенным сути)? Медленное чтение «Прамана-самуччая-вритти» (,religion_and_philosophy,,0.0,,0.0,todo,
PRES_5d7b43404c,2016,Zograf Readings,Словарь «Амаракоша» как отражение индийской картины мира,unspecified,,0.0,,0.0,todo,
PRES_5f6213bffd,2016,Zograf Readings,Ведийские истоки перспективизма Бхартрихари,unspecified,,0.0,,0.0,todo,
PRES_a2448dc96a,2016,Zograf Readings,"Пауль Дойссен (1845—1919): веданта, европейская философия и философская компаративистика",unspecified,,0.0,,0.0,todo,
PRES_eb575eaa4d,2015,Zograf Readings,Был ли Яма пессимистом? Значение частицы gha и ее индоевропейские параллели (К интерпретации стиха Ригведа,linguistics_and_philology,,0.0,,0.0,todo,
PRES_996d42296f,2014,Zograf Readings,К вопросу о письменной фиксации Ригведы,unspecified,,0.0,,0.0,todo,
PRES_7f7a003e02,2014,Zograf Readings,Неварский «повествовательный свиток» на темы «Лалитавистары»: «одомашнивание» классической буддийской сутры,unspecified,,0.0,,0.0,todo,
PRES_ade026eba7,2013,Zograf Readings,Современное искусство адиваси: некоторые особенности музейной репрезентации в Индии и Европе,unspecified,,0.0,,0.0,todo,
PRES_81b825e701,2012,Zograf Readings,Агамический текст как способ самоопределения ведической традиции (на примере «Шива сутры»),unspecified,,0.0,,0.0,todo,
PRES_e9a0b599c0,2010,Zograf Readings,Царица в дворцовом парке,unspecified,,0.0,,0.0,todo,
PRES_f118abdc31,2010,Zograf Readings,Дискуссия о четырех блаженствах: об одной стратегии для интерпретации истинной природы реальности в посвящении Хеваджра-тантры,unspecified,,0.0,,0.0,todo,
PRES_10ebf2bc49,2010,Zograf Readings,Сюжет о побоище палицами в «Маусалапарве» и в «Джатаке о Гхата-пандите»,unspecified,,0.0,,0.0,todo,
PRES_bacd314111,2009,Zograf Readings,Южный поход личчхавов,unspecified,,0.0,,0.0,todo,
PRES_22f1e1b64f,2009,Zograf Readings,Абхидхарма и абхивиная: взгляд со стороны двух раннебуддийских традиций,unspecified,,0.0,,0.0,todo,
PRES_66d6492705,2009,Zograf Readings,Посвящение в знание мудрости в Гухьясамаджатантре (на основе Abhishekanirukti),unspecified,,0.0,,0.0,todo,
PRES_f457799a1b,2009,Roerich Readings,Об одной возможной буддийской параллели к новозаветному пассажу МФ,religion_and_philosophy,,0.0,,0.0,todo,
PRES_ec14752a3b,2008,Zograf Readings,О символике ладьи в «Ригведе»,unspecified,,0.0,,0.0,todo,
PRES_f4396724ea,2008,Zograf Readings,"«О Неодолимая Богиня, поклонение да будет тебе!» (О ритуальной части Калика-пураны)",unspecified,,0.0,,0.0,todo,
PRES_3634d6f11f,2008,Zograf Readings,Так что же такое карма?,unspecified,,0.0,,0.0,todo,
PRES_7052e31e46,2007,Zograf Readings,Описания военной техники в индийском сочинении XI века «Шри Калачакра тантра раджа»,unspecified,,0.0,,0.0,todo,
PRES_df3611adf0,2007,Zograf Readings,Джьотиша и Аюрведа: астрологическая семантика в классической индийской медицине,unspecified,,0.0,,0.0,todo,
PRES_57404d8de8,2007,Zograf Readings,Некоторые проблемы становления вишишта-адвайты,unspecified,,0.0,,0.0,todo,
PRES_117aeb7260,2006,Zograf Readings,Тема уточняется,unspecified,unspecified,0.5,unspecified,0.5,todo,"Тема уточняется - неопределенный заголовок, минимальная информация."
PRES_9550fd0f6b,2009,Zograf Readings,Индийский текст индийской диаспоры,unspecified,unspecified,0.8,unspecified,0.8,todo,"Формулировка 'Индийский текст индийской диаспоры' неясна и может относиться к одному тексту или явлению, но не обещает обобщения целой традиции или региона. Сомнение в пользу L1."
PRES_8c55a738df,2014,Zograf Readings,О стереотипизации адиваси в популярной культуре Индии,unspecified,unspecified,0.85,text,0.85,todo,Стереотипизация адиваси в популярной культуре — частный случай.
PRES_a58cb0ccf6,2026,Zograf Readings,Метод кодировки чисел в трудах индийского математика Арьябхаты,unspecified,unspecified,0.9,text,0.9,todo,"Конкретный метод и автор, частный кейс."
PRES_8978f20a55,2025,Zograf Readings,Kaṇita Caturam 108: тамильский числовой квадрат из храма Натараджи в Чидамбараме,unspecified,unspecified,0.9,artefact,0.9,todo,"Конкретный числовой квадрат из конкретного храма, частный кейс."
PRES_bf18beecbb,2024,Roerich Readings,Вступительное слово от организаторов конференции,unspecified,unspecified,0.9,unspecified,0.9,todo,"Вступительное слово — организационное, не исследовательское."
PRES_33bcacf231,2020,Roerich Readings,Смена парадигмы? Числовые «коды» в структуре индийских математических сочинений древности и средневековья,unspecified,unspecified,0.9,text,0.9,todo,"Заголовок обещает обобщение о смене парадигмы в структуре математических сочинений, что является обобщением класса явлений. L2."
PRES_43bdc7ab3f,2018,Roerich Readings,Индийские нумерационные системы. По материалам трактата Махавирачарьи «Собрание основных положений науки о вычислениях» (сер. IX в.),unspecified,unspecified,0.9,text,0.9,todo,"Описание индийских нумерационных систем по одному трактату, частный кейс."
PRES_74cd40949e,2016,Zograf Readings,Понятие фундаментальности в индологии,unspecified,unspecified,0.9,unspecified,0.9,todo,"Заголовок 'Понятие фундаментальности в индологии' явно заявляет общеметодологическую рамку, что соответствует L3."
PRES_03e4f6f86b,2016,Roerich Readings,Из воспоминаний о детстве на Онеге,unspecified,unspecified,0.9,archive,0.9,todo,"Воспоминания о детстве, частный кейс."
PRES_3e5e8e70ba,2015,Zograf Readings,Обращение к участникам конференции,unspecified,unspecified,0.9,unspecified,0.9,todo,"Обращение к участникам, не является научным докладом."
PRES_3fd8e2489c,2007,Zograf Readings,Кинематографический текст в современной индийской культуре,unspecified,unspecified,0.9,image,0.9,todo,Заголовок 'Кинематографический текст в современной индийской культуре' обещает обобщение о целой традиции (современная индийская культура). L2 подтвержден.
PRES_266f877d3f,2026,Zograf Readings,Перевод в практике преподавания хинди в средней школе,history_and_culture,history_and_culture,0.9,unspecified,0.9,todo,"Практика перевода в преподавании, уровень кейса."
PRES_7522e9718b,2024,Roerich Readings,Многообразие культурных традиций и влияний в средневековой Индии: от династий до социальных изменений,history_and_culture,history_and_culture,0.9,unspecified,0.9,todo,"Заголовок 'Многообразие культурных традиций и влияний в средневековой Индии' описывает обзор одной традиции (средневековая Индия) без внешней сравнительной рамки. Это L2, а не L3."
PRES_9c6f0c2111,2024,Roerich Readings,Буддизм в Восточном Туркестане,religion_and_philosophy,religion_and_philosophy,0.9,unspecified,0.9,todo,"Заголовок 'Буддизм в Восточном Туркестане' описывает региональный процесс, что соответствует L2."
PRES_25c542e83e,2014,Zograf Readings,Религия как инструмент внутренней политики Индии,history_and_culture,history_and_culture,0.9,unspecified,0.9,todo,"Заголовок обещает обобщение о религии как инструменте внутренней политики Индии, что охватывает уровень страны. Это L2."
