PersonID,DisplayName,TotalTalks,ZografTalks,RoerichTalks,FirstYearSeen,LastYearSeen,SeriesAttended
PERS_40862f5e,Корнеева Наталья Афанасьевна,29,15,14,2008,2026,Zograf+Roerich
PERS_11da326d,Тавастшерна Сергей Сергеевич,29,17,12,2004,2026,Zograf+Roerich
PERS_f074f69f,Александрова Наталия Владимировна,27,12,15,2008,2026,Zograf+Roerich
PERS_d98da899,Рыжакова Светлана Игоревна,27,22,5,2004,2026,Zograf+Roerich
PERS_c52dfaa0,Цветкова Светлана Олеговна,27,15,12,2007,2026,Zograf+Roerich
PERS_12125da9,Лысенко Виктория Георгиевна,25,19,6,2004,2025,Zograf+Roerich
PERS_1fa7cc0c,Дубянский Александр Михайлович,21,10,11,2004,2020,Zograf+Roerich
PERS_829c1de5,Васильков Ярослав Владимирович,20,19,1,2004,2026,Zograf+Roerich
PERS_f2fef030,Мехакян Арег Гайкович,20,5,15,2007,2025,Zograf+Roerich
PERS_9a855a7b,Альбедиль Маргарита Федоровна,19,19,0,2004,2026,Zograf
PERS_003adcfe,Псху Рузана Владимировна,19,19,0,2007,2026,Zograf
PERS_3e105f43,Игнатьев Андрей Александрович,18,18,0,2004,2026,Zograf
PERS_3357f25b,Скороходова Татьяна Григорьевна,18,18,0,2006,2026,Zograf
PERS_5228da95,Вертоградова Виктория Викторовна,17,1,16,2006,2024,Zograf+Roerich
PERS_1a097e52,Парибок Андрей Всеволодович,17,17,0,2006,2026,Zograf
PERS_e31ca12d,Вечерина Ольга Павловна,16,9,7,2014,2023,Zograf+Roerich
PERS_9374fd12,Вырщиков Евгений Геннадьевич,16,0,16,2008,2025,Roerich
PERS_56508328,Десницкая Евгения Алексеевна,16,16,0,2006,2026,Zograf
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,16,8,8,2008,2026,Zograf+Roerich
PERS_c48611e0,Островская Елена Петровна,16,16,0,2006,2025,Zograf
PERS_260a598a,Пахомов Сергей Владимирович,16,16,0,2004,2025,Zograf
PERS_6578b52d,Тюлина Елена Владимировна,16,0,16,2008,2025,Roerich
PERS_61202bf3,Алиханова Юлия Марковна,15,7,8,2004,2019,Zograf+Roerich
PERS_88d163c1,Видунас Витис,15,15,0,2004,2019,Zograf
PERS_da862dde,Дробышев Юлий Игорьевич,15,0,15,2008,2025,Roerich
PERS_fb25c80f,Ермакова Татьяна Викторовна,15,15,0,2007,2026,Zograf
PERS_92868e4f,Жутаев Дар Игоревич,15,3,12,2006,2019,Zograf+Roerich
PERS_bc97fb65,Краснодембская Нина Георгиевна,15,15,0,2008,2024,Zograf
PERS_e9545a0b,Шустова Алла Михайловна,15,0,15,2009,2025,Roerich
PERS_41d6aa73,Воробьева Дарья Николаевна,14,5,9,2013,2025,Zograf+Roerich
PERS_2fd442aa,Офертас Станислав Чеславович,14,0,14,2008,2025,Roerich
PERS_05d56645,Бабин Александр Николаевич,13,7,6,2017,2025,Zograf+Roerich
PERS_e72d4c09,Огнева Елена Дмитриевна,13,1,12,2008,2022,Zograf+Roerich
PERS_c5677a3f,Зорин Алексей Валерьевич,12,12,0,2006,2021,Zograf
PERS_b8bade8d,Шрестха Кришна Пракаш,12,0,12,2008,2020,Roerich
PERS_8e117242,Юдицкая Екатерина Алексеевна,12,3,9,2010,2022,Zograf+Roerich
PERS_dd7de77e,Бросалина Елена Кирилловна,11,11,0,2004,2019,Zograf
PERS_a0264ac5,Бурмистров Сергей Леонидович,11,11,0,2013,2026,Zograf
PERS_7542d270,Демченко Максим Борисович,11,11,0,2016,2026,Zograf
PERS_f19cd8a1,Котин Игорь Юрьевич,11,11,0,2009,2026,Zograf
PERS_72506535,Крылова Анастасия Сергеевна,11,8,3,2016,2026,Zograf+Roerich
PERS_9ad66151,Лелюхин Дмитрий Николаевич,11,6,5,2004,2014,Zograf+Roerich
PERS_3b196639,Гордийчук Николай Валентинович,10,5,5,2016,2023,Zograf+Roerich
PERS_36dabb79,Гурия Анастасия Георгиевна,10,1,9,2007,2024,Zograf+Roerich
PERS_5ed752d9,Китинов Баатр Учаевич,10,0,10,2016,2025,Roerich
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,10,9,1,2016,2026,Zograf+Roerich
PERS_0c451d76,Лобанов Сергей Владимирович,10,10,0,2012,2026,Zograf
PERS_23215083,Русанов Максим Альбертович,10,10,0,2004,2019,Zograf
