video_id,video_url,video_title,year,title_hint,speaker_hint,similarity,status,presentation_id_snapshot
NmFjM156E1Q,https://www.youtube.com/watch?v=NmFjM156E1Q,"Институт Восточных Рукописей РАН. 1-ый день, 10:30 – 14:00 (XL Зографские чтения)",2023,,(auto-skipped: session_recording),0.0,skip,
ZMgc9ikKEUo,https://www.youtube.com/watch?v=ZMgc9ikKEUo,А.А. Игнатьев (Калининград). Четыре народа в «Йогини-тантре». (XL Зографские чтения),2023,,(auto-skipped: session_recording),0.0,skip,
gPaPetQ5JPM,https://www.youtube.com/watch?v=gPaPetQ5JPM,О.А. Волошина (Москва). Санскритские очки европейской лингвистики XIX века (XL Зографские чтения),2023,,(auto-skipped: session_recording),0.0,skip,
E6QLEL20gqk,https://www.youtube.com/watch?v=E6QLEL20gqk,М. Ю. Гасунс (Краснодар). Двести лет санскритской лексикографии (1819-2019) (XL Зографские чтения),2023,,(auto-skipped: session_recording),0.0,skip,
FDFwugkv3yM,https://www.youtube.com/watch?v=FDFwugkv3yM,"О.Н. Ерченков (Ленинградская обл.). ""Унмада нирукта"". ""Безумная этимология"" (XL Зографские чтения)",2023,,(auto-skipped: session_recording),0.0,skip,
MEehOskuV8M,https://www.youtube.com/watch?v=MEehOskuV8M,XLI Зографские чтения (12 мая 2020 г.),2023,,(auto-skipped: session_recording),0.0,skip,
v7lYYYV4VKo,https://www.youtube.com/watch?v=v7lYYYV4VKo,Private video,2023,,(auto-skipped: private),0.0,skip,
5-icaeTCSnw,https://www.youtube.com/watch?v=5-icaeTCSnw,XLI Зографские чтения (14 мая 2020 г.),2023,,(auto-skipped: session_recording),0.0,skip,
PXk9JZF5EdA,https://www.youtube.com/watch?v=PXk9JZF5EdA,"XLI Зографские чтения (13 мая 2020 г.), ч. 2",2023,,(auto-skipped: session_recording),0.0,skip,
-TWByfAUjZI,https://www.youtube.com/watch?v=-TWByfAUjZI,"XLI Зографские чтения (13 мая 2020 г.), ч. 1",2023,,(auto-skipped: session_recording),0.0,skip,
dURX8wgHSbE,https://www.youtube.com/watch?v=dURX8wgHSbE,XLI Зографские чтения (15 мая 2020 г.),2023,,(auto-skipped: session_recording),0.0,skip,
LyBXlD_tbw0,https://www.youtube.com/watch?v=LyBXlD_tbw0,Инклюзивная беседа на XLI Зографских чтениях,2023,,(auto-skipped: session_recording),0.0,skip,
GnlEx7DLpHk,https://www.youtube.com/watch?v=GnlEx7DLpHk,Private video,2023,,(auto-skipped: private),0.0,skip,
2migXKaeofg,https://www.youtube.com/watch?v=2migXKaeofg,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 17 мая 2024 г. Часть 2",2024,,(auto-skipped: session_recording),0.0,skip,
vaPIpO-E6o0,https://www.youtube.com/watch?v=vaPIpO-E6o0,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 17 мая 2024 г. Часть 1",2024,,(auto-skipped: session_recording),0.0,skip,
U2MCvDyccVU,https://www.youtube.com/watch?v=U2MCvDyccVU,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 16 мая 2024 г. Часть 3",2024,,(auto-skipped: session_recording),0.0,skip,
ROZ7hZT1Y7Y,https://www.youtube.com/watch?v=ROZ7hZT1Y7Y,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 16 мая 2024 г. Часть 2",2024,,(auto-skipped: session_recording),0.0,skip,
88vk9fmRm98,https://www.youtube.com/watch?v=88vk9fmRm98,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 16 мая 2024 г. Часть 1",2024,,(auto-skipped: session_recording),0.0,skip,
o9uqq5CohPo,https://www.youtube.com/watch?v=o9uqq5CohPo,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 15 мая 2024 г.",2024,,(auto-skipped: session_recording),0.0,skip,
jtqPBJS3dSA,https://www.youtube.com/watch?v=jtqPBJS3dSA,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 14 мая 2024 г., часть 2",2024,,(auto-skipped: session_recording),0.0,skip,
p1TznVqkI9g,https://www.youtube.com/watch?v=p1TznVqkI9g,"XLV ЗОГРАФСКИЕ ЧТЕНИЯ, 14 мая 2024 г., часть 1",2024,,(auto-skipped: session_recording),0.0,skip,
sau83nBl4X0,https://www.youtube.com/watch?v=sau83nBl4X0,"XLVI ЗОГРАФСКИЕ ЧТЕНИЯ, 20 мая 2025 г. Тавастшерна С. С. В защиту Вишну Шипивишты",2025,,(auto-skipped: session_recording),0.0,skip,
subBu85HvxM,https://www.youtube.com/watch?v=subBu85HvxM,Deleted video,2025,,(auto-skipped: deleted),0.0,skip,
bpiYDgcqS6g,https://www.youtube.com/watch?v=bpiYDgcqS6g,Deleted video,2025,,(auto-skipped: deleted),0.0,skip,
sZWe9RmAiLU,https://www.youtube.com/watch?v=sZWe9RmAiLU,"XLIV Зографские чтения, 26.05.2023, 15:00 – 18:00",2026,«Сказание о Лиле» в «Йога-,Игнатьев Андрей Александрович,0.222,needs_review,PRES_314a7a57
1Jl4JItHMH0,https://www.youtube.com/watch?v=1Jl4JItHMH0,"XLIV Зографские чтения, 26.05.2023, 11:00 – 14:00",2026,Голод в Бенгалии 1943,Анисимова Дарья Дмитриевна,0.233,needs_review,PRES_3e9f241d
3hq15luxhKk,https://www.youtube.com/watch?v=3hq15luxhKk,"XLIV Зографские чтения, 23:05.2023, 16:30 – 18:00",2026,Миф о Потопе и тыкве у племен,Ренковская Евгения Алексеевна,0.235,needs_review,PRES_2ea69403
vIQ_-uAmIGg,https://www.youtube.com/watch?v=vIQ_-uAmIGg,"XLIV Зографские чтения, 24.05.2023, 11:30 – 15:00",2026,Миф о Потопе и тыкве у племен,Ренковская Евгения Алексеевна,0.235,needs_review,PRES_2ea69403
BwRm1sFPofQ,https://www.youtube.com/watch?v=BwRm1sFPofQ,"XLIV Зографские чтения, 25.05.2023, 11:00 – 13:00",2026,Миф о Потопе и тыкве у племен,Ренковская Евгения Алексеевна,0.235,needs_review,PRES_2ea69403
yaDLFU1Bh5k,https://www.youtube.com/watch?v=yaDLFU1Bh5k,"XLIV Зографские чтения, 25.05.2023, 14:00 – 17:15",2026,Миф о Потопе и тыкве у племен,Ренковская Евгения Алексеевна,0.235,needs_review,PRES_2ea69403
xP0rwyZjkek,https://www.youtube.com/watch?v=xP0rwyZjkek,"XLIV Зографские чтения, 24.05.2023, Малютин Иван Иванович (Санкт-Петербург).",2013,О формульности надписей на санскрите,Д. Н. Лелюхин,0.357,needs_review,PRES_7327d449
TewlV-eXvTY,https://www.youtube.com/watch?v=TewlV-eXvTY,Корнеева Н.А. (Москва) Мадхупарка при жертвоприношениях сомы в ритуале Атитхьешти (ātithyeṣṭi).,2018,Два новых сборника «индийских текстов» Далджита Награ,Котин Игорь Юрьевич,0.362,needs_review,PRES_0b9004e3
5kfhxcnZuOw,https://www.youtube.com/watch?v=5kfhxcnZuOw,"Краснодембская Н.Г., Соболева Е.С. (СПб) Российская экспедиция в Ассам 1911-1912 гг.",2022,"""Нисхождение",Соболева Дарья Валерьевна,0.365,needs_review,PRES_655f2275
