day,date,person_display,full_name,role,order,affil_2026,is_online,category,history_count,history_sample,title
1,2026-05-26,Десницкая Евгения Алексеевна,Десницкая Евгения Алексеевна,speaker,1,Санкт-Петербург,0,A,10,СПб. (2025 Zograf Readings) | Санкт-Петербург (2023 Zograf Readings) | СПб (2022 Zograf Readings),Эпическая санкхья в
1,2026-05-26,Бурмистров Сергей Леонидович,Бурмистров Сергей Леонидович,speaker,1,Санкт-Петербург,0,B,8,СПб. (2025 Zograf Readings) | Санкт-Петербург (2023 Zograf Readings) | СПб (2022 Zograf Readings),Теория познания в
1,2026-05-26,Крапивина Раиса Николаевна,Крапивина Рада Нельсовна,speaker,1,Санкт-Петербург,0,A,3,СПб (2025 Zograf Readings) | ИВР РАН (2021 Roerich Readings) | Санкт-Петербург (2011 Zograf Readings),Абхисамаяаланкара:
1,2026-05-26,Иванов Владимир Павлович,Иванов Владимир Павлович,speaker,1,Санкт-Петербург,0,B,3,СПб (2025 Zograf Readings) | СПб (2022 Zograf Readings) | СПб (2012 Zograf Readings),Зачем спорили хэшан
1,2026-05-26,Комиссаров Дмитрий Алексеевич,Комиссаров Дмитрий Андреевич,speaker,1,Москва,0,A,4,"Москва (2025 Zograf Readings) | ИКВИА НИУ ВШЭ, Москва (2025 Roerich Readings) | Москва (2021 Zograf Readings)",
1,2026-05-26,Шохин Владимир Кириллович,Шохин Владимир Кириллович,speaker,1,Москва,0,A,4,"Москва (2025 Zograf Readings) | ИФ РАН, Москва (2025 Roerich Readings) | ИФ РАН (2024 Roerich Readings)",Дхармакирти о существовании
1,2026-05-26,Александрова Наталия Владимировна,Александрова Наталия Владимировна,speaker,1,Москва,0,A,19,"Москва (2025 Zograf Readings) | ИВ РАН, ИКВИА НИУ ВШЭ, Москва (2025 Roerich Readings) | Москва (2024 Zograf Readings)",Предание в тексте и
1,2026-05-26,Оранская Татьяна Иосифовна,,speaker,1,Санкт-Петербург,0,B,5,"СПб (2025 Zograf Readings) | Санкт-Петербург (2023 Zograf Readings) | Гамбург, Германия (2020 Zograf Readings)",Заметки о роли индийской
1,2026-05-26,Демченко Максим Борисович,,speaker,1,Москва,0,B,7,Москва (2025 Zograf Readings) | Москва (2023 Zograf Readings) | Москва (2022 Zograf Readings),«Шри Рамананда-чаритам»
1,2026-05-26,Минаева Маргарита Денисовна,Минаева Мария Дмитриевна,coauthor,2,Москва,0,A,2,"ИКВИА НИУ ВШЭ, Москва (2025 Roerich Readings) | ИКВИА НИУ ВШЭ (2024 Roerich Readings)",
1,2026-05-26,Ермакова Татьяна Викторовна,Ермакова Татьяна Викторовна,speaker,1,Санкт-Петербург,0,A,7,СПб (2025 Zograf Readings) | Санкт-Петербург (2021 Zograf Readings) | Санкт-Петербург (2020 Zograf Readings),А.А. Сталь-Гольштейн
1,2026-05-26,Касым Софья Васильевна,,speaker,1,Санкт-Петербург,0,D,0,,По следам Петербуржца в
1,2026-05-26,Застрожнова Евгения Григорьевна,,speaker,1,Санкт-Петербург,0,D,0,,Александр
1,2026-05-26,Мотылёва Вера Леонидовна,,speaker,1,Москва,0,D,0,,Седукова Надежда Александровна
1,2026-05-26,Возчиков Дмитрий Викторович,,speaker,1,Екатеринбург,0,D,0,,«Они из секты Пифагора»:
1,2026-05-26,Лекарева Ева Павловна,,speaker,1,Санкт-Петербург,0,B,1,СПб. (2025 Zograf Readings),Вера Александровна Новикова
1,2026-05-26,Васильков Ярослав Владимирович,Васильков Ярослав Владимирович,speaker,1,Санкт-Петербург - Фронт-Ройал,0,A,11,СПб - Фронт-Ройал (2025 Zograf Readings) | СПб (2022 Zograf Readings) | Санкт-Петербург (2021 Zograf Readings),
2,2026-05-27,Лидова Наталья Ростиславовна,Лидова Наталья Ростиславовна,speaker,1,Москва,0,A,12,"Москва (2025 Zograf Readings) | ИМЛИ РАН, Москва (2025 Roerich Readings) | ИМЛИ РАН, онлайн (2024 Roerich Readings)",Паришишты как исторический
2,2026-05-27,Куликов Леонид Игоревич,,speaker,1,Гент,1,A,6,"Гент (2025 Zograf Readings) | НИУ ВШЭ, онлайн (2023 Roerich Readings) | Гент/Лувен-ля-Нёв (2022 Zograf Readings)",Kumāra: этимология и мифология
2,2026-05-27,Волошина Оксана Анатольевна,,speaker,1,Москва,0,B,7,Москва (2025 Zograf Readings) | Москва (2022 Zograf Readings) | Москва (2021 Zograf Readings),Синтез сложных слов tatpuruṣa и
2,2026-05-27,Егорова Мария Александровна,,speaker,1,Москва,0,B,1,Москва (2025 Zograf Readings),Имперфект в древнеиндийском
2,2026-05-27,Молина Анна Вениаминовна,Молина Анна Валерьевна,speaker,1,Москва,0,A,2,"ИМЛИ РАН, Москва (2025 Roerich Readings) | ИКВИА НИУ ВШЭ, ИМЛИ РАН (2024 Roerich Readings)",Сита и Агни в «Рамаяне» Вальмики
2,2026-05-27,Цветкова Светлана Олеговна,Цветкова Софья Олеговна,speaker,1,Санкт-Петербург,0,A,20,"СПбГУ, Санкт-Петербург (2025 Roerich Readings) | СПбГУ (2024 Roerich Readings) | СПбГУ (2022 Zograf Readings)",Средневековая
2,2026-05-27,Тавастшерна Сергей Сергеевич,Тавастшерна Сергей Сергеевич,speaker,1,Санкт-Петербург,0,A,18,"СПб (2025 Zograf Readings) | СПбГУ, Санкт-Петербург (2025 Roerich Readings) | СПбГУ (2024 Roerich Readings)",Чему и как учит
