person_id,display_name,total,zograf,roerich,balance,first_year,last_year,affiliation_groups,has_ikvia_hse,top_l1,raw_affiliations
PERS_f074f69f,Александрова Наталия Владимировна,27,12,15,-0.111,2008,2026,ИКВИА/ВШЭ; ИВ РАН; РГГУ,yes,religion:22; literature:3; art_archaeology:2,"Москва | Не указана | ИВ РАН | РГГУ | ИВ РАН, ИКВИА НИУ ВШЭ | ИВ РАН, ИКВИА НИУ ВШЭ, Москва"
PERS_41d6aa73,Воробьева Дарья Николаевна,14,5,9,-0.286,2013,2025,ИКВИА/ВШЭ,yes,art_archaeology:14,"Не указана | СПб | Москва | ГИИ | ГИИ, НИУ ВШЭ, РГХПУ им. С.Г. Строганова, Москва"
PERS_05d56645,Бабин Александр Николаевич,12,6,6,0.0,2017,2025,ИКВИА/ВШЭ,yes,art_archaeology:9; history:2; religion:1,Не указана | Москва | ГИИ | ГМВ | ВШЭ
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,10,9,1,0.8,2016,2026,ИКВИА/ВШЭ,yes,religion:8; literature:2,"Не указана | Москва | ИКВИА НИУ ВШЭ, Москва"
PERS_9f398436,Куликов Леонид Игоревич,8,5,3,0.25,2015,2026,ИКВИА/ВШЭ,yes,linguistics:6; literature:2,"Не указана | Гент, Бельгия | Гент/Лувен-ля-Нёв | Гент | ВШЭ, Гентский университет | НИУ ВШЭ, онлайн"
PERS_efc88709,Канаева Наталия Алексеевна,6,3,3,0.0,2013,2025,ИКВИА/ВШЭ,yes,philosophy:6,"Москва | ВШЭ | Школа философии и культурологии НИУ ВШЭ, Москва"
PERS_ced3d7b4,Молина Анна Вениаминовна,4,2,2,0.0,2024,2026,ИКВИА/ВШЭ; ИМЛИ РАН,yes,literature:4,"Москва | ИКВИА НИУ ВШЭ, ИМЛИ РАН | ИМЛИ РАН, Москва"
PERS_4fff9d16,Минаева Маргарита Денисовна,3,1,2,-0.333,2024,2026,ИКВИА/ВШЭ,yes,literature:3,"Москва | ИКВИА НИУ ВШЭ | ИКВИА НИУ ВШЭ, Москва"
PERS_40862f5e,Корнеева Наталья Афанасьевна,29,15,14,0.034,2008,2026,независимый исследователь,no,religion:25; history:2; philosophy:1,Не указана | Москва | Наталья Афонасьевна НИ | НИ | ни | независимый исследователь
PERS_11da326d,Тавастшерна Сергей Сергеевич,29,17,12,0.172,2004,2026,СПбГУ,no,linguistics:13; literature:10; philosophy:3,"Не указана | СПб | Санкт-Петербург | СПбГУ | СПбГУ, Восточный факультет | СПбГУ, Санкт-Петербург"
PERS_c52dfaa0,Цветкова Светлана Олеговна,27,15,12,0.111,2007,2026,СПбГУ,no,literature:23; religion:4,"СПбГУ | Не указана | Санкт-Петербург | СПб | Восточный ф-т СПбГУ | СПбГУ, Санкт-Петербург"
PERS_d98da899,Рыжакова Светлана Игоревна,26,21,5,0.615,2004,2026,ИЭА РАН,no,ethnography:12; art_archaeology:9; religion:4,Москва | Не указана | Ин-т этнологии и антропологии РАН | ИЭА РАН
PERS_12125da9,Лысенко Виктория Георгиевна,25,19,6,0.52,2004,2025,ИФ РАН,no,philosophy:23; linguistics:2,"Москва | Не указана | Институт философии РАН | ИФ РАН | ИФ РАН, Москва"
PERS_1fa7cc0c,Дубянский Александр Михайлович,21,10,11,-0.048,2004,2020,ИСАА МГУ,no,literature:20; history:1,Москва | Не указана | ИСАА | ИСАА МГУ
PERS_829c1de5,Васильков Ярослав Владимирович,20,19,1,0.9,2004,2026,МАЭ РАН,no,history:5; literature:5; religion:5,Не указана | СПб | МАЭ РАН | Санкт-Петербург | СПб - Фронт-Ройал | Санкт-Петербург - Фронт-Ройал
PERS_f2fef030,Мехакян Арег Гайкович,20,5,15,-0.5,2007,2025,ИВ РАН,no,religion:10; philosophy:8; linguistics:1,"Москва | Не указана | Ереван | МЦР | МРЦ | ИВ РАН | ГММ А.Н. Скрябина | ГММ А.Н. Скрябина, онлайн | ММС, Москва"
PERS_5228da95,В. В. Вертоградова,17,1,16,-0.882,2006,2024,ИВ РАН,no,history:6; religion:4; art_archaeology:3,Москва | Не указана | ИВ РАН
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,16,8,8,0.0,2008,2026,ИМЛИ РАН,no,literature:9; religion:4; philosophy:2,"Не указана | Москва | ИМЛИ | ИМЛИ РАН | ИМЛИ РАН, онлайн | ИМЛИ РАН, Москва"
PERS_e31ca12d,Вечерина Ольга Павловна,15,8,7,0.067,2014,2023,РУДН,no,religion:13; literature:1; art_archaeology:1,"Москва | Не указана | Moscow, RUDN-University | МГППУ | РУДН"
PERS_92868e4f,Д. И. Жутаев,15,3,12,-0.6,2006,2019,ИВ РАН,no,religion:13; literature:1; art_archaeology:1,Москва | Не указана | ИВ РАН
PERS_61202bf3,Ю. М. Алиханова,15,7,8,-0.067,2004,2019,ИСАА МГУ,no,literature:14; religion:1,Москва | Не указана | ИСАА | ИСАА МГУ
PERS_e72d4c09,Е. Д. Огнева,13,1,12,-0.846,2008,2022,ИВ РАН,no,religion:6; art_archaeology:5; history:1,"Киев — Луцк | Не указана | Институт востоковедения, Киев | ИВ НАН Украины"
PERS_8e117242,Е. А. Юдицкая,12,3,9,-0.5,2010,2022,ИВ РАН; ИСАА МГУ,no,literature:9; philosophy:2; linguistics:1,Москва | Не указана | МГУ | ИВ РАН
PERS_9ad66151,Д. Н. Лелюхин,11,6,5,0.091,2004,2014,ИВ РАН,no,history:9; philosophy:1; linguistics:1,Москва | Не указана | ИВ РАН
PERS_36dabb79,А. Г. Гурия,10,1,9,-0.8,2007,2024,ИСАА МГУ,no,literature:10,"Москва | Не указана | ИСАА МГУ | ИСАА | ИСАА МГУ, онлайн"
PERS_3b196639,Гордийчук Николай Валентинович,10,5,5,0.0,2016,2023,ИВ РАН; РГГУ,no,literature:7; religion:2; history:1,Москва | РГГУ | ГАУГН | ИВ РАН
PERS_72506535,Крылова Анастасия Сергеевна,10,7,3,0.4,2019,2026,ИВ РАН,no,linguistics:8; religion:1; literature:1,Москва | ИВ РАН
PERS_ebb6d156,А. В.  Ложкина,9,3,6,-0.333,2013,2019,ИФ РАН; ИСАА МГУ,no,philosophy:6; religion:3,Не указана | Москва | МГУ | ИФ РАН
PERS_50d73711,Смирнитская Анна Александровна,9,7,2,0.556,2017,2025,ИВ РАН,no,linguistics:9,Не указана | Москва | ИВ РАН
PERS_8516d1e4,Гасунс Марцис Юрьевич,8,6,2,0.5,2006,2024,независимый исследователь,no,linguistics:6; literature:1; history:1,Москва | Краснодар | Обнинск | НИ | ни
PERS_58b39545,Ренковская Евгения Алексеевна,8,6,2,0.5,2019,2026,ИВ РАН; ИЯз/ИЯ РАН,no,religion:3; ethnography:2; linguistics:2,"Москва | ИЯз РАН, ИВ РАН"
PERS_f5b8b340,Вигасин Алексей Алексеевич,7,3,4,-0.143,2006,2025,ИСАА МГУ,no,history:5; linguistics:1; religion:1,Москва | Не указана | ИСАА | ИСАА МГУ
PERS_3c202afd,Крапивина Раиса Николаевна,7,5,2,0.429,2004,2026,ИВР РАН,no,religion:4; philosophy:3,Не указана | Санкт-Петербург | СПб | ИВР РАН
PERS_1c6fcce5,Кузина Елизавета Олеговна,7,2,5,-0.429,2016,2022,РУДН,no,art_archaeology:2; religion:2; literature:1,Москва | ГИИ | РУДН
PERS_0e0a154e,Титлин Лев Игоревич,7,3,4,-0.143,2012,2022,ИФ РАН,no,philosophy:7,Москва | ИФ РАН
PERS_cfb92c5f,Уланский Евгений Александрович,7,4,3,0.143,2019,2025,ИСАА МГУ; независимый исследователь,no,linguistics:6; philosophy:1,"Москва | ИСАА МГУ | независимый исследователь, Москва"
PERS_6e211759,Иванов Владимир Павлович,6,5,1,0.667,2012,2026,не нормализовано/только город,no,philosophy:4; religion:1; history:1,СПб | Санкт-Петербург | Не указана
PERS_0665f215,Шохин Владимир Кириллович,5,3,2,0.2,2020,2026,ИФ РАН,no,philosophy:3; religion:2,"Москва | ИФ РАН | ИФ РАН, Москва"
PERS_587b08ec,Леонов Максим Владимирович,4,2,2,0.0,2019,2024,независимый исследователь,no,literature:4,Москва | НИ | ни
PERS_6ae5c779,Фивейская А. В.,3,2,1,0.333,2020,2024,ИСАА МГУ,no,literature:3,Москва | ИСАА МГУ
