person_id,display_name,betweenness,graph_degree,events_attended,total_participations,zograf,roerich,balance,series_attended
PERS_11da326d,Тавастшерна Сергей Сергеевич,0.043285,199,19,20,8,12,-0.2,both
PERS_c52dfaa0,Цветкова Светлана Олеговна,0.042687,199,21,22,10,12,-0.091,both
PERS_d98da899,Рыжакова Светлана Игоревна,0.038919,196,19,19,15,4,0.579,both
PERS_f074f69f,Александрова Наталия Владимировна,0.034401,190,20,20,9,11,-0.1,both
PERS_12125da9,Лысенко Виктория Георгиевна,0.033015,180,16,16,12,4,0.5,both
PERS_40862f5e,Корнеева Наталья Афанасьевна,0.030751,182,15,15,10,5,0.333,both
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,0.028482,175,13,13,6,7,-0.077,both
PERS_1a097e52,Парибок Андрей Всеволодович,0.017035,163,13,13,13,0,1.0,zograf_only
PERS_1fa7cc0c,Дубянский Александр Михайлович,0.017005,143,13,14,7,7,0.0,both
PERS_3e105f43,Игнатьев Андрей Александрович,0.01542,147,12,12,12,0,1.0,zograf_only
PERS_56508328,Десницкая Евгения Алексеевна,0.014533,158,11,11,11,0,1.0,zograf_only
PERS_829c1de5,Васильков Ярослав Владимирович,0.013853,157,12,12,12,0,1.0,zograf_only
PERS_0665f215,Шохин Владимир Кириллович,0.011625,135,5,5,3,2,0.2,both
PERS_41d6aa73,Воробьева Дарья Николаевна,0.011192,133,10,10,2,8,-0.6,both
PERS_003adcfe,Псху Рузана Владимировна,0.010749,153,12,12,12,0,1.0,zograf_only
PERS_e31ca12d,Вечерина Ольга Павловна,0.010466,138,13,13,6,7,-0.077,both
PERS_8516d1e4,Гасунс Марцис Юрьевич,0.009714,120,6,6,4,2,0.333,both
PERS_cfb92c5f,Уланский Евгений Александрович,0.008905,123,7,7,4,3,0.143,both
PERS_61202bf3,Ю. М. Алиханова,0.008783,103,11,11,5,6,-0.091,both
PERS_93e2effb,Комиссаров Дмитрий Алексеевич,0.008198,131,5,5,4,1,0.6,both
PERS_9a855a7b,Альбедиль Маргарита Федоровна,0.00785,143,10,10,10,0,1.0,zograf_only
PERS_fb25c80f,Ермакова Татьяна Викторовна,0.007706,143,8,8,8,0,1.0,zograf_only
PERS_5228da95,В. В. Вертоградова,0.007664,97,12,13,1,12,-0.846,both
PERS_05d56645,Бабин Александр Николаевич,0.007601,122,10,10,4,6,-0.2,both
PERS_f2fef030,Мехакян Арег Гайкович,0.007592,114,9,9,2,7,-0.556,both
PERS_3357f25b,Скороходова Татьяна Григорьевна,0.007241,140,9,9,9,0,1.0,zograf_only
PERS_f5b8b340,Вигасин Алексей Алексеевич,0.007184,103,5,5,3,2,0.2,both
PERS_efc88709,Канаева Наталия Алексеевна,0.007159,121,6,6,3,3,0.0,both
PERS_260a598a,Пахомов Сергей Владимирович,0.007096,132,9,9,9,0,1.0,zograf_only
PERS_9f398436,Куликов Леонид Игоревич,0.00684,128,7,7,4,3,0.143,both
PERS_c48611e0,Островская Елена Петровна,0.006488,129,10,10,10,0,1.0,zograf_only
PERS_5d34c947,Волошина Оксана Анатольевна,0.006109,138,8,8,8,0,1.0,zograf_only
PERS_72506535,Крылова Анастасия Сергеевна,0.006065,126,7,7,4,3,0.143,both
PERS_9ad66151,Д. Н. Лелюхин,0.006065,88,6,6,5,1,0.667,both
PERS_3b196639,Гордийчук Николай Валентинович,0.005894,119,9,9,4,5,-0.111,both
PERS_a0264ac5,Бурмистров Сергей Леонидович,0.005655,133,9,9,9,0,1.0,zograf_only
PERS_7542d270,Демченко Максим Борисович,0.005374,131,8,8,8,0,1.0,zograf_only
PERS_4fff9d16,Минаева Маргарита Денисовна,0.005188,98,3,3,1,2,-0.333,both
PERS_ced3d7b4,Молина Анна Вениаминовна,0.005188,98,3,3,1,2,-0.333,both
PERS_f19cd8a1,Котин Игорь Юрьевич,0.005172,121,6,6,6,0,1.0,zograf_only
PERS_0e0a154e,Титлин Лев Игоревич,0.005149,107,7,7,3,4,-0.143,both
PERS_50d73711,Смирнитская Анна Александровна,0.005118,124,7,7,5,2,0.429,both
PERS_8e117242,Е. А. Юдицкая,0.005106,110,9,9,3,6,-0.333,both
PERS_58b39545,Ренковская Евгения Алексеевна,0.004882,123,5,5,4,1,0.6,both
PERS_3c202afd,Крапивина Раиса Николаевна,0.004836,113,4,4,3,1,0.5,both
PERS_6578b52d,Е. В. Тюлина,0.004806,93,12,12,0,12,-1.0,roerich_only
PERS_9374fd12,Е. Г. Вырщиков,0.004806,93,12,12,0,12,-1.0,roerich_only
PERS_e9545a0b,А. М. Шустова,0.004806,93,12,12,0,12,-1.0,roerich_only
PERS_c5677a3f,А. В. Зорин,0.004588,100,7,7,7,0,1.0,zograf_only
PERS_db046be0,Сабирова Римма Наилевна,0.004438,129,7,7,7,0,1.0,zograf_only
PERS_92868e4f,Д. И. Жутаев,0.004434,78,8,10,2,8,-0.6,both
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,0.004405,119,6,6,6,0,1.0,zograf_only
PERS_f8ab5755,Оранская Татьяна Иосифовна,0.004392,119,6,6,6,0,1.0,zograf_only
PERS_bc97fb65,Краснодембская Нина Георгиевна,0.004201,104,6,6,6,0,1.0,zograf_only
PERS_e72d4c09,Е. Д. Огнева,0.003963,88,9,9,1,8,-0.778,both
PERS_287fe378,Рыбакова Анна Геннадьевна,0.003596,122,6,6,6,0,1.0,zograf_only
PERS_da862dde,Ю. И. Дробышев,0.003477,86,11,11,0,11,-1.0,roerich_only
PERS_36dabb79,А. Г. Гурия,0.003412,82,8,8,1,7,-0.75,both
PERS_1c6fcce5,Кузина Елизавета Олеговна,0.003369,97,7,7,2,5,-0.429,both
PERS_91b473b1,Челнокова Анна Витальевна,0.003151,110,5,5,5,0,1.0,zograf_only
PERS_dd7de77e,Е. К. Бросалина,0.002959,89,5,5,5,0,1.0,zograf_only
PERS_5ed752d9,Б. У. Китинов,0.002864,82,9,9,0,9,-1.0,roerich_only
PERS_23215083,М. А. Русанов,0.002794,88,6,6,6,0,1.0,zograf_only
PERS_2fd442aa,С. Ч. Офертас,0.002726,81,9,9,0,9,-1.0,roerich_only
PERS_ea44fd14,А. Г. Люлина,0.002564,80,9,9,0,9,-1.0,roerich_only
PERS_0c451d76,Лобанов Сергей Владимирович,0.002535,108,5,5,5,0,1.0,zograf_only
PERS_ebb6d156,А. В. Ложкина,0.002402,80,6,6,1,5,-0.667,both
PERS_c6bbcef3,Битинайте Елена Алексеевна,0.002142,106,5,5,5,0,1.0,zograf_only
PERS_df6e2007,А. А. Мехакян,0.002135,68,6,6,1,5,-0.667,both
PERS_6e211759,Иванов Владимир Павлович,0.002119,102,4,4,4,0,1.0,zograf_only
PERS_2a2e5602,Коровина Евгения Владимировна,0.002114,110,4,4,4,0,1.0,zograf_only
PERS_6441d568,Соболева Елена Станиславовна,0.001843,103,3,3,3,0,1.0,zograf_only
PERS_cb52ebc2,Лемешкина Ксения Вячеславовна,0.001843,103,3,3,3,0,1.0,zograf_only
PERS_3d3b302d,Соболева Дарья Валерьевна,0.001837,88,3,3,3,0,1.0,zograf_only
PERS_ba81468a,Ю. Г. Кокова,0.001795,72,3,3,3,0,1.0,zograf_only
PERS_22d87263,Костина Екатерина Александровна,0.001767,93,5,5,5,0,1.0,zograf_only
PERS_7eb0dc30,Зимина Татьяна Александровна,0.001755,94,5,5,5,0,1.0,zograf_only
PERS_92f293f8,П. В. Хрущева,0.001651,81,5,5,5,0,1.0,zograf_only
PERS_8108c314,Ерченков Олег Николаевич,0.0016,90,4,4,4,0,1.0,zograf_only
PERS_b881461b,Яковлева Мария Николаевна,0.001341,98,3,3,3,0,1.0,zograf_only
PERS_06ee047f,Ю. И. Елихина,0.001338,66,4,4,0,4,-1.0,roerich_only
PERS_f940c5b3,Г. В. Стрелкова,0.001265,51,3,3,3,0,1.0,zograf_only
PERS_7f908d49,Стрельцова Лилия Александровна,0.001254,91,4,4,4,0,1.0,zograf_only
PERS_5e2a5a5c,Столярова Екатерина Владимировна,0.001184,93,4,4,4,0,1.0,zograf_only
PERS_cdbd7a15,C. В. Кулланда,0.001134,51,2,2,1,1,0.0,both
PERS_b2c121e9,Е. Н. Успенская,0.000984,53,3,3,3,0,1.0,zograf_only
PERS_5d324297,К. П. Шрестха,0.000823,61,7,9,0,9,-1.0,roerich_only
PERS_d2559ba1,Е. С. Лепехова,0.000763,60,6,6,0,6,-1.0,roerich_only
PERS_01aafd44,Сафина Наталья Алексеевна,0.000752,79,3,3,3,0,1.0,zograf_only
PERS_28317057,Т. А. Дубянская,0.00068,40,3,3,3,0,1.0,zograf_only
PERS_3c7d41ac,М.С. Фомин,0.000679,57,4,4,0,4,-1.0,roerich_only
PERS_d218805b,В. Ю. Крюкова,0.000673,71,3,3,3,0,1.0,zograf_only
PERS_8df3730a,Донченко Сергей Сергеевич,0.000646,83,3,3,3,0,1.0,zograf_only
PERS_bcaec2d8,Дружинин Владимир Юрьевич,0.000593,75,3,3,3,0,1.0,zograf_only
PERS_50c46233,Маретина Ксения Александровна,0.000581,72,2,2,2,0,1.0,zograf_only
PERS_e5a5ac24,С. Л. Невелева,0.000545,44,2,2,2,0,1.0,zograf_only
PERS_6ae5c779,Фивейская А. В.,0.000515,62,2,2,1,1,0.0,both
PERS_45a76880,Д. А. Кораблин,0.000431,49,4,4,0,4,-1.0,roerich_only
PERS_0fd718a7,К. М. Воздиган,0.000424,57,3,3,3,0,1.0,zograf_only
PERS_310b2911,Толчельников Иван Евгеньевич,0.000408,79,2,2,2,0,1.0,zograf_only
PERS_35c57654,Егорова Мария Александровна,0.000408,79,2,2,2,0,1.0,zograf_only
