person_id,display_name,session_betweenness,session_graph_degree,multi_person_sessions,total_participations,zograf,roerich,balance,series_attended
PERS_d98da899,Рыжакова Светлана Игоревна,0.112779,81,19,19,15,4,0.579,both
PERS_12125da9,Лысенко Виктория Георгиевна,0.067057,68,16,16,12,4,0.5,both
PERS_c52dfaa0,Цветкова Светлана Олеговна,0.06507,77,22,22,10,12,-0.091,both
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,0.061304,42,6,6,6,0,1.0,zograf_only
PERS_11da326d,Тавастшерна Сергей Сергеевич,0.047773,69,20,20,8,12,-0.2,both
PERS_f074f69f,Александрова Наталия Владимировна,0.047444,66,19,20,9,11,-0.1,both
PERS_829c1de5,Васильков Ярослав Владимирович,0.046632,63,12,12,12,0,1.0,zograf_only
PERS_40862f5e,Корнеева Наталья Афанасьевна,0.043552,62,15,15,10,5,0.333,both
PERS_da862dde,Ю. И. Дробышев,0.040475,27,11,11,0,11,-1.0,roerich_only
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,0.038265,49,12,13,6,7,-0.077,both
PERS_003adcfe,Псху Рузана Владимировна,0.032859,47,12,12,12,0,1.0,zograf_only
PERS_1a097e52,Парибок Андрей Всеволодович,0.029024,50,12,13,13,0,1.0,zograf_only
PERS_3357f25b,Скороходова Татьяна Григорьевна,0.027427,52,9,9,9,0,1.0,zograf_only
PERS_e9545a0b,А. М. Шустова,0.026962,33,12,12,0,12,-1.0,roerich_only
PERS_f2fef030,Мехакян Арег Гайкович,0.026698,41,14,15,3,12,-0.6,both
PERS_fb25c80f,Ермакова Татьяна Викторовна,0.021259,35,8,8,8,0,1.0,zograf_only
PERS_91b473b1,Челнокова Анна Витальевна,0.021169,39,5,5,5,0,1.0,zograf_only
PERS_6578b52d,Е. В. Тюлина,0.019522,33,12,12,0,12,-1.0,roerich_only
PERS_5228da95,В. В. Вертоградова,0.01926,38,13,13,1,12,-0.846,both
PERS_8df81b6d,Лужинская Полина Александровна,0.018097,6,2,2,2,0,1.0,zograf_only
PERS_56508328,Десницкая Евгения Алексеевна,0.017842,37,11,11,11,0,1.0,zograf_only
PERS_e31ca12d,Вечерина Ольга Павловна,0.017815,48,13,13,6,7,-0.077,both
PERS_efc88709,Канаева Наталия Алексеевна,0.016918,41,6,6,3,3,0.0,both
PERS_1fa7cc0c,Дубянский Александр Михайлович,0.016768,40,14,14,7,7,0.0,both
PERS_9a855a7b,Альбедиль Маргарита Федоровна,0.0163,52,10,10,10,0,1.0,zograf_only
PERS_3e105f43,Игнатьев Андрей Александрович,0.01598,35,10,12,12,0,1.0,zograf_only
PERS_c5677a3f,А. В. Зорин,0.015532,48,7,7,7,0,1.0,zograf_only
PERS_db046be0,Сабирова Римма Наилевна,0.014036,26,6,7,7,0,1.0,zograf_only
PERS_f19cd8a1,Котин Игорь Юрьевич,0.013815,38,6,6,6,0,1.0,zograf_only
PERS_8e117242,Е. А. Юдицкая,0.013559,31,10,10,3,7,-0.4,both
PERS_41d6aa73,Воробьева Дарья Николаевна,0.013532,35,10,10,2,8,-0.6,both
PERS_cfb92c5f,Уланский Евгений Александрович,0.013397,23,7,7,4,3,0.143,both
PERS_7f908d49,Стрельцова Лилия Александровна,0.013033,35,4,4,4,0,1.0,zograf_only
PERS_e72d4c09,Е. Д. Огнева,0.012819,30,9,9,1,8,-0.778,both
PERS_72506535,Крылова Анастасия Сергеевна,0.011908,27,7,7,4,3,0.143,both
PERS_7542d270,Демченко Максим Борисович,0.011769,31,8,8,8,0,1.0,zograf_only
PERS_260a598a,Пахомов Сергей Владимирович,0.011691,23,9,9,9,0,1.0,zograf_only
PERS_c48611e0,Островская Елена Петровна,0.011273,43,9,10,10,0,1.0,zograf_only
PERS_36dabb79,А. Г. Гурия,0.011145,27,8,8,1,7,-0.75,both
PERS_92868e4f,Д. И. Жутаев,0.010934,31,10,10,2,8,-0.6,both
PERS_5ed752d9,Б. У. Китинов,0.010633,23,9,9,0,9,-1.0,roerich_only
PERS_8516d1e4,Гасунс Марцис Юрьевич,0.010228,23,6,6,4,2,0.333,both
PERS_0e0a154e,Титлин Лев Игоревич,0.010196,27,7,7,3,4,-0.143,both
PERS_0c451d76,Лобанов Сергей Владимирович,0.010104,31,5,5,5,0,1.0,zograf_only
PERS_9374fd12,Е. Г. Вырщиков,0.010095,30,12,12,0,12,-1.0,roerich_only
PERS_61202bf3,Ю. М. Алиханова,0.009768,32,11,11,5,6,-0.091,both
PERS_9ad66151,Д. Н. Лелюхин,0.009483,45,6,6,5,1,0.667,both
PERS_92f293f8,П. В. Хрущева,0.00948,39,5,5,5,0,1.0,zograf_only
PERS_0665f215,Шохин Владимир Кириллович,0.009309,23,5,5,3,2,0.2,both
PERS_ea44fd14,А. Г. Люлина,0.0091,23,9,9,0,9,-1.0,roerich_only
PERS_9f398436,Куликов Леонид Игоревич,0.008845,26,7,7,4,3,0.143,both
PERS_05d56645,Бабин Александр Николаевич,0.008835,26,9,10,4,6,-0.2,both
PERS_50d73711,Смирнитская Анна Александровна,0.008237,25,7,7,5,2,0.429,both
PERS_a0264ac5,Бурмистров Сергей Леонидович,0.008204,40,8,9,9,0,1.0,zograf_only
PERS_3b196639,Гордийчук Николай Валентинович,0.007975,25,9,9,4,5,-0.111,both
PERS_2a2e5602,Коровина Евгения Владимировна,0.007232,23,4,4,4,0,1.0,zograf_only
PERS_22d87263,Костина Екатерина Александровна,0.007223,44,5,5,5,0,1.0,zograf_only
PERS_ba81468a,Ю. Г. Кокова,0.007028,31,3,3,3,0,1.0,zograf_only
PERS_69750b7c,В. Н. Мазурина,0.00681,39,3,3,3,0,1.0,zograf_only
PERS_b881461b,Яковлева Мария Николаевна,0.006532,19,3,3,3,0,1.0,zograf_only
PERS_5d34c947,Волошина Оксана Анатольевна,0.006195,38,8,8,8,0,1.0,zograf_only
PERS_5d324297,К. П. Шрестха,0.006129,25,9,9,0,9,-1.0,roerich_only
PERS_f5b8b340,Вигасин Алексей Алексеевич,0.00586,25,5,5,3,2,0.2,both
PERS_dd7de77e,Е. К. Бросалина,0.005819,38,5,5,5,0,1.0,zograf_only
PERS_8108c314,Ерченков Олег Николаевич,0.00575,14,4,4,4,0,1.0,zograf_only
PERS_3c202afd,Крапивина Раиса Николаевна,0.005675,17,4,4,3,1,0.5,both
PERS_7eb0dc30,Зимина Татьяна Александровна,0.005281,43,5,5,5,0,1.0,zograf_only
PERS_06ee047f,Ю. И. Елихина,0.004564,18,4,4,0,4,-1.0,roerich_only
PERS_2fd442aa,С. Ч. Офертас,0.004443,25,9,9,0,9,-1.0,roerich_only
PERS_bc97fb65,Краснодембская Нина Георгиевна,0.004442,30,5,6,6,0,1.0,zograf_only
PERS_554c138a,Г. Г. Хмуркин,0.004241,16,4,4,0,4,-1.0,roerich_only
PERS_23215083,М. Н. Русанов,0.004227,26,7,7,7,0,1.0,zograf_only
PERS_8df3730a,Донченко Сергей Сергеевич,0.004181,33,3,3,3,0,1.0,zograf_only
PERS_bcaec2d8,Дружинин Владимир Юрьевич,0.003854,11,3,3,3,0,1.0,zograf_only
PERS_1c6fcce5,Кузина Елизавета Олеговна,0.003756,22,7,7,2,5,-0.429,both
PERS_d2559ba1,Е. С. Лепехова,0.003721,19,6,6,0,6,-1.0,roerich_only
PERS_58b39545,Ренковская Евгения Алексеевна,0.003195,21,5,5,4,1,0.6,both
PERS_01aafd44,Сафина Наталья Алексеевна,0.003039,13,3,3,3,0,1.0,zograf_only
PERS_287fe378,Рыбакова Анна Геннадьевна,0.002815,18,6,6,6,0,1.0,zograf_only
PERS_f8ab5755,Оранская Татьяна Иосифовна,0.002789,23,6,6,6,0,1.0,zograf_only
PERS_ebb6d156,А. В. Ложкина,0.002762,18,6,6,1,5,-0.667,both
