term,zograf_df,roerich_df,zograf_title_share_pct,roerich_title_share_pct,log_odds_zograf_minus_roerich,z_score,distinctive_for
рерих,0,29,0.0,8.17,-4.5816,-3.213,Roerich
древний,4,14,0.74,3.94,-1.6218,-3.005,Roerich
пали,2,11,0.37,3.1,-1.9727,-2.827,Roerich
изображение,2,9,0.37,2.54,-1.7759,-2.498,Roerich
культ,3,10,0.56,2.82,-1.5405,-2.496,Roerich
пураны,0,11,0.0,3.1,-3.5859,-2.482,Roerich
традиция,22,28,4.07,7.89,-0.6958,-2.467,Roerich
китайский,2,8,0.37,2.25,-1.6618,-2.31,Roerich
средневековый,8,14,1.48,3.94,-0.9783,-2.265,Roerich
монгольский,0,7,0.0,1.97,-3.1469,-2.155,Roerich
трактат,2,7,0.37,1.97,-1.5338,-2.1,Roerich
учение,15,2,2.78,0.56,1.4281,2.095,Zograf
бхакти,3,8,0.56,2.25,-1.3235,-2.084,Roerich
храм,3,8,0.56,2.25,-1.3235,-2.084,Roerich
современный,17,3,3.15,0.85,1.214,2.073,Zograf
бенгальский,14,0,2.59,0.0,2.9746,2.068,Zograf
культура,6,11,1.11,3.1,-1.0098,-2.058,Roerich
кабинет,0,6,0.0,1.69,-3.0009,-2.045,Roerich
миф,12,1,2.22,0.28,1.7209,1.992,Zograf
тибет,12,16,2.22,4.51,-0.7202,-1.921,Roerich
вастувидья,0,5,0.0,1.41,-2.831,-1.917,Roerich
могольский,0,5,0.0,1.41,-2.831,-1.917,Roerich
происхождение,0,5,0.0,1.41,-2.831,-1.917,Roerich
танка,0,5,0.0,1.41,-2.831,-1.917,Roerich
диалект,1,5,0.19,1.41,-1.7306,-1.879,Roerich
параллель,2,6,0.37,1.69,-1.3878,-1.865,Roerich
сакральный,2,6,0.37,1.69,-1.3878,-1.865,Roerich
будда,6,10,1.11,2.82,-0.9159,-1.835,Roerich
хинди,10,0,1.85,0.0,2.6442,1.827,Zograf
роман,10,1,1.85,0.28,1.5428,1.767,Zograf
джайнский,0,4,0.0,1.13,-2.6275,-1.763,Roerich
джатака,0,4,0.0,1.13,-2.6275,-1.763,Roerich
имперский,0,4,0.0,1.13,-2.6275,-1.763,Roerich
онлайн,0,4,0.0,1.13,-2.6275,-1.763,Roerich
смена,0,4,0.0,1.13,-2.6275,-1.763,Roerich
текстовый,0,4,0.0,1.13,-2.6275,-1.763,Roerich
япония,0,4,0.0,1.13,-2.6275,-1.763,Roerich
японский,0,4,0.0,1.13,-2.6275,-1.763,Roerich
азия,1,4,0.19,1.13,-1.527,-1.62,Roerich
между,1,4,0.19,1.13,-1.527,-1.62,Roerich
область,1,4,0.19,1.13,-1.527,-1.62,Roerich
эпоха,1,4,0.19,1.13,-1.527,-1.62,Roerich
канон,6,9,1.11,2.54,-0.8129,-1.597,Roerich
начало,2,5,0.37,1.41,-1.2179,-1.597,Roerich
индуистский,7,0,1.3,0.0,2.3021,1.576,Zograf
панини,7,0,1.3,0.0,2.3021,1.576,Zograf
шанкара,7,0,1.3,0.0,2.3021,1.576,Zograf
антология,0,3,0.0,0.85,-2.3734,-1.57,Roerich
архитектура,0,3,0.0,0.85,-2.3734,-1.57,Roerich
буддист,0,3,0.0,0.85,-2.3734,-1.57,Roerich
война,0,3,0.0,0.85,-2.3734,-1.57,Roerich
воплощение,0,3,0.0,0.85,-2.3734,-1.57,Roerich
гималайский,0,3,0.0,0.85,-2.3734,-1.57,Roerich
доклад,0,3,0.0,0.85,-2.3734,-1.57,Roerich
замечание,0,3,0.0,0.85,-2.3734,-1.57,Roerich
код,0,3,0.0,0.85,-2.3734,-1.57,Roerich
летопись,0,3,0.0,0.85,-2.3734,-1.57,Roerich
монастырь,0,3,0.0,0.85,-2.3734,-1.57,Roerich
несколько,0,3,0.0,0.85,-2.3734,-1.57,Roerich
пасть,0,3,0.0,0.85,-2.3734,-1.57,Roerich
период,0,3,0.0,0.85,-2.3734,-1.57,Roerich
праджняпарамит,0,3,0.0,0.85,-2.3734,-1.57,Roerich
пространство,0,3,0.0,0.85,-2.3734,-1.57,Roerich
стилистика,0,3,0.0,0.85,-2.3734,-1.57,Roerich
стих,0,3,0.0,0.85,-2.3734,-1.57,Roerich
субъект,0,3,0.0,0.85,-2.3734,-1.57,Roerich
чтение,0,3,0.0,0.85,-2.3734,-1.57,Roerich
юрий,0,3,0.0,0.85,-2.3734,-1.57,Roerich
гимн,6,0,1.11,0.0,2.1571,1.47,Zograf
тантра,10,2,1.85,0.56,1.0291,1.462,Zograf
ран,9,11,1.67,3.1,-0.6247,-1.425,Roerich
язык,20,20,3.7,5.63,-0.4392,-1.406,Roerich
бхагавадгита,5,0,0.93,0.0,1.9882,1.346,Zograf
версия,5,0,0.93,0.0,1.9882,1.346,Zograf
вивекананда,5,0,0.93,0.0,1.9882,1.346,Zograf
ивр,5,0,0.93,0.0,1.9882,1.346,Zograf
ланка,5,0,0.93,0.0,1.9882,1.346,Zograf
царь,5,0,0.93,0.0,1.9882,1.346,Zograf
санкт-петербург,7,1,1.3,0.28,1.2007,1.342,Zograf
текст,39,34,7.22,9.58,-0.3093,-1.327,Roerich
коллекция,5,7,0.93,1.97,-0.7397,-1.318,Roerich
