term_a,term_b,display_pair,cooccurrence_titles,pmi,term_a_df,term_b_df
индия,традиция,традиция Индии,12,0.532,119,53
индия,философия,философия Индии,12,0.919,119,36
индия,текст,индийские тексты,10,0.016,119,74
древний,индия,Древняя Индия,10,1.487,17,119
драма,санскрит,санскритская драма,9,2.316,15,53
буддизм,текст,буддийские тексты,8,0.398,65,74
индия,история,история Индии,8,0.696,119,30
древнеиндийский,текст,древнеиндийский текст,7,1.261,24,74
поэзия,тамильский,тамильская поэзия,7,1.921,34,27
буддизм,индия,буддизм Индии,7,-0.211,65,119
индия,средневековый,средневековая Индия,7,0.873,119,22
индия,традиционный,традиционная Индия,7,1.191,119,16
москва,санкт-петербург,Москва и Санкт-Петербург,7,3.955,15,8
индия,санскрит,Индия и санскрит,6,-0.161,119,53
буддизм,ранний,ранний буддизм,6,1.775,65,14
индия,источник,источники по Индии,6,0.765,119,21
текст,традиционный,традиционный текст,6,1.512,74,16
индия,язык,Индия язык,6,0.072,119,42
индия,культура,культура Индии,6,0.976,119,17
индия,современный,современная Индия,6,0.765,119,21
канон,пали,палийский канон,6,3.108,15,16
ранний,текст,ранний текст,5,1.463,14,74
будда,текст,Будда текст,5,1.212,18,74
ведийский,текст,ведийский текст,5,1.158,19,74
исток,традиция,исток традиция,5,2.038,11,53
коллекция,маэ_ран,коллекция МАЭ РАН,5,3.895,13,7
индия,искусство,Индия искусство,5,1.43,119,9
ведийский,традиция,ведийский традиция,5,1.492,19,53
традиция,эпический,традиция эпический,5,2.49,53,7
собрание,юрий_рерих,собрание Юрий Рерих,5,2.589,16,21
иконография,шива,иконография Шива,5,4.024,8,10
пали,санскрит,пали санскрит,5,1.663,16,53
бхакти,поэзия,бхакти поэзия,5,2.395,12,34
индия,исток,Индия исток,5,1.229,119,11
буддизм,философия,буддизм философия,5,0.648,65,36
классический,санскрит,классический санскрит,5,2.357,8,53
древнеиндийский,санскрит,древнеиндийский санскрит,4,1.035,24,53
буддизм,изображение,буддизм изображение,4,1.611,65,11
санскрит,текст,санскрит текст,4,-0.091,53,74
текст,тибет,текст Тибет,4,0.547,74,28
текст,философия,текст философия,4,0.296,74,36
индия,описание,Индия описание,4,1.458,119,7
история,источник,история источник,4,1.737,30,21
бенгальский,традиционный,бенгальский традиционный,4,2.702,15,16
образ,текст,образ текст,4,0.512,29,74
традиция,философия,традиция философия,4,0.629,53,36
игра,индия,игра Индия,4,1.325,8,119
ритуальный,текст,ритуальный текст,4,1.24,14,74
индия,поэзия,Индия поэзия,4,-0.122,119,34
буддизм,тибет,буддизм Тибет,4,0.677,65,28
индия,литература,Индия литература,4,-0.03,119,31
индия,тибет,Индия Тибет,4,0.072,119,28
текст,традиция,текст традиция,4,-0.091,74,53
древнеиндийский,традиция,древнеиндийский традиция,4,1.035,24,53
будда,традиция,Будда традиция,4,1.322,18,53
маэ_ран,минаев,МАЭ РАН Минаев,4,4.158,7,8
маэ_ран,собрание,МАЭ РАН собрание,4,3.465,7,16
образ,поэзия,образ поэзия,4,1.289,29,34
индия,классификация,Индия классификация,4,1.458,119,7
хинди,язык,хинди язык,4,1.88,13,42
будда,сюжет,Будда сюжет,4,2.46,18,17
ранний,сюжет,ранний сюжет,4,2.711,14,17
канон,формирование,канон формирование,4,3.396,15,8
ив_ран,москва,ИВ РАН Москва,4,3.396,8,15
образ,традиция,образ традиция,4,0.846,29,53
буддизм,история,буддизм история,4,0.608,65,30
перевод,текст,перевод текст,4,0.935,19,74
тибет,язык,Тибет язык,4,1.113,28,42
индия,мир,Индия мир,4,0.839,119,13
индия,образ,Индия образ,4,0.037,119,29
священный,текст,священный текст,4,1.8,8,74
перевод,язык,перевод язык,4,1.501,19,42
буддизм,сюжет,буддизм сюжет,4,1.176,65,17
тибет,юрий_рерих,Тибет Юрий Рерих,4,1.806,28,21
литература,санскрит,литература санскрит,4,0.779,31,53
практика,традиция,практика традиция,4,1.648,13,53
бхакти,средневековый,бхакти средневековый,4,2.607,12,22
древнеиндийский,эпос,древнеиндийский эпос,4,2.702,24,10
