scope,l1,count,share_pct
strict_l1_all,ALL,57,100.0
strict_l1_all,ethnography,57,100.0
zograf_friday_all,ALL,192,100.0
zograf_friday_all,religion,47,24.48
zograf_friday_all,art_archaeology,32,16.67
zograf_friday_all,ethnography,32,16.67
zograf_friday_all,history,31,16.15
zograf_friday_all,literature,27,14.06
zograf_friday_all,philosophy,12,6.25
zograf_friday_all,linguistics,9,4.69
zograf_friday_all,other,2,1.04
zograf_friday_strict_ethnography,ALL,32,100.0
zograf_friday_strict_ethnography,ethnography,32,100.0
