microseries,label,presentation_id,year,series,l1,l2,title,matched_terms
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_409770d89b,2006,Zograf Readings,philosophy,colonial,Интерпретация идей Упанишад у Раммохона Роя и Дебендронатха Тагора,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_1be5fd6c7a,2007,Zograf Readings,ethnography,modern,«Мадхан-кам» – народная драма Северной Бенгалии (с демонстрацией видеоматериалов),бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_57ccd5c672,2007,Zograf Readings,literature,colonial,Дидактические шатаки в литературе телугу (К характеристике жанровых особенностей). 3. Т. Г .Скороходова (Пенза). Интерпретация традиционного индийского текста либеральными мыслителями Бенгальского Возрождения,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_a3301e22aa,2007,Zograf Readings,religion,medieval,Образ Чайтаньи в традиционных бенгальских текстах,бенгальский|чайтанья|re:бенгал|re:чайтан
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_a9e0852a8d,2008,Zograf Readings,philosophy,colonial,Традиция в интерпретации мыслителей Бенгальского Возрождения,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_d5a74ed7f6,2008,Zograf Readings,literature,colonial,Народный театр «джатра» и его роль в формировании новой бенгальской литературы,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_beb45aac0a,2009,Zograf Readings,literature,medieval,«Рамаяна» Криттибаса Оджхи в культуре Бенгалии XV-XVI веков,бенгалия|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_f5b1c223f2,2009,Zograf Readings,history,colonial,Особенности интерпретации традиционных текстов мыслителями Бенгальского Возрождения,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_0139c59bb9,2010,Zograf Readings,religion,modern,Концепция совершенного человека в творчестве народных певцов – баулов,баул|re:баул
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_eaf7163393,2011,Zograf Readings,literature,modern,Рабиндранат Тагор: уровни поэтического высказывания,тагор|re:тагор
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_fb8b7f76bc,2011,Zograf Readings,philosophy,modern,Другой в традиции индуизма и философии Бенгальского Возрождения: Опыт сопоставления,бенгальский|re:бенгал
bengal_bhakti_modernity,"Бенгалия, бхакти и современность",PRES_1e1cbc95e7,2012,Roerich Readings,literature,modern,Бог и человек в поэзии Тагора. От «Иша-упанишады» до «Писем о России»,тагор|re:тагор
