presentation_id,year,period,series,calendar_date,weekday,l1,l2,title,tokens,unique_tokens,bigrams,theme_match
PRES_2a08c0cb86,2004,2004-2010,Zograf Readings,2004-05-25,Tuesday,philosophy,classical,Актуальные проблемы изучения «Бхагавадгиты»,актуальный|бхагавадгита,актуальный|бхагавадгита,актуальный бхагавадгита,True
PRES_3dfb43981f,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,philosophy,classical,«Ум и знание» - тибетский учебник по теории познания,знание|тибет|учебник|теория|познание,знание|познание|теория|тибет|учебник,знание тибет|тибет учебник|учебник теория|теория познание,True
PRES_3faf9b7b24,2004,2004-2010,Zograf Readings,2004-05-25,Tuesday,literature,vedic,Сюжет о Трите: этноисторическая основа,сюжет|тереть|этноисторический|основа,основа|сюжет|тереть|этноисторический,сюжет тереть|тереть этноисторический|этноисторический основа,True
PRES_440de90864,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,literature,medieval,Миф об Агастье в средневековой литературе телугу,миф|агастие|средневековый|литература|телугу,агастие|литература|миф|средневековый|телугу,миф агастие|агастие средневековый|средневековый литература|литература телугу,True
PRES_4dc8f2c386,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,religion,classical,Об астрологической герменевтике в медицинских текстах (Аюрведа),астрологический|герменевтика|медицинский|текст|аюрведа,астрологический|аюрведа|герменевтика|медицинский|текст,астрологический герменевтика|герменевтика медицинский|медицинский текст|текст аюрведа,True
PRES_5461e391b0,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,literature,medieval,Сюжет «Повести о Насикете» Садала Мишры в контексте истории прозы хинди,сюжет|повесть|насикета|садать|мишра|контекст|история|проза|хинди,история|контекст|мишра|насикета|повесть|проза|садать|сюжет|хинди,сюжет повесть|повесть насикета|насикета садать|садать мишра|мишра контекст|контекст история|история проза|проза хинди,True
PRES_5ec00edd5f,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,literature,classical,Литературные реминисценции в «Гаудавахо» Вакпатираджи,литература|реминисценция|гаудавахо|вакпатирадж,вакпатирадж|гаудавахо|литература|реминисценция,литература реминисценция|реминисценция гаудавахо|гаудавахо вакпатирадж,True
PRES_630760bcac,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,literature,classical,Психология акта самопожертвования в изображении драматургов 7-го века,психология|акт|самопожертвование|изображение|драматург|век,акт|век|драматург|изображение|психология|самопожертвование,психология акт|акт самопожертвование|самопожертвование изображение|изображение драматург|драматург век,True
PRES_646225a03b,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,philosophy,classical,Опровержение атомизма в трактате Васубандху Виджняптиматратасиддхи («Доказательство единственности сознания»),опровержение|атомизм|трактат|васубандх|виджняптиматратасиддх|доказательство|единственность|сознание,атомизм|васубандх|виджняптиматратасиддх|доказательство|единственность|опровержение|сознание|трактат,опровержение атомизм|атомизм трактат|трактат васубандх|васубандх виджняптиматратасиддх|виджняптиматратасиддх доказательство|доказательство единственность|единственность сознание,True
PRES_6c8531953d,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,philosophy,classical,Концепция спхоты в «Спхотасиддхи» Манданамишры,концепция|спхота|спхотасиддх|манданамишра,концепция|манданамишра|спхота|спхотасиддх,концепция спхота|спхота спхотасиддх|спхотасиддх манданамишра,True
PRES_6e17572f1f,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,religion,medieval,Проблема классификации индуистских тантрических школ,классификация|индуистский|тантрический|школа,индуистский|классификация|тантрический|школа,классификация индуистский|индуистский тантрический|тантрический школа,True
PRES_6e5928cac8,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,religion,medieval,Богини и деревья желаний в индуизме Центральных Гималаев,богиня|дерево|желание|индуизм|центральный|гималаи,богиня|гималаи|дерево|желание|индуизм|центральный,богиня дерево|дерево желание|желание индуизм|индуизм центральный|центральный гималаи,True
PRES_764a73ce7c,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,philosophy,classical,Проблема интерпретации специальной санскритской терминологии: термин адхьякша в индийской традиции,специальный|санскрит|терминология|термин|адхьякша|индия|традиция,адхьякша|индия|санскрит|специальный|термин|терминология|традиция,специальный санскрит|санскрит терминология|терминология термин|термин адхьякша|адхьякша индия|индия традиция,True
PRES_7f70e3b9a4,2004,2004-2010,Zograf Readings,2004-05-26,Wednesday,philosophy,classical,Шанкара как критик категорий вайшешики,шанкара|критик|категория|вайшешик,вайшешик|категория|критик|шанкара,шанкара критик|критик категория|категория вайшешик,True
