series,l1,presentations,presentations_with_video,video_coverage_pct
Roerich Readings,art_archaeology,34,0,0.0
Roerich Readings,ethnography,5,0,0.0
Roerich Readings,history,54,0,0.0
Roerich Readings,linguistics,45,0,0.0
Roerich Readings,literature,68,0,0.0
Roerich Readings,other,3,0,0.0
Roerich Readings,philosophy,43,0,0.0
Roerich Readings,religion,87,0,0.0
Roerich Readings,tibetology,11,0,0.0
Zograf Readings,art_archaeology,18,1,5.6
Zograf Readings,ethnography,21,3,14.3
Zograf Readings,history,29,4,13.8
Zograf Readings,linguistics,49,16,32.7
Zograf Readings,literature,101,16,15.8
Zograf Readings,other,4,0,0.0
Zograf Readings,philosophy,94,22,23.4
Zograf Readings,religion,91,13,14.3
Zograf Readings,tibetology,7,3,42.9
