series,year,presentations,presentations_with_video,video_coverage_pct
Roerich,2008,20,0,0.0
Roerich,2009,20,0,0.0
Roerich,2010,31,0,0.0
Roerich,2012,35,0,0.0
Roerich,2013,21,0,0.0
Roerich,2015,31,0,0.0
Roerich,2016,33,0,0.0
Roerich,2017,38,0,0.0
Roerich,2018,36,0,0.0
Roerich,2019,32,0,0.0
Roerich,2020,30,0,0.0
Roerich,2021,33,0,0.0
Roerich,2022,26,0,0.0
Roerich,2023,17,0,0.0
Roerich,2024,31,0,0.0
Roerich,2025,38,0,0.0
Zograf,2004,28,0,0.0
Zograf,2006,28,0,0.0
Zograf,2007,29,1,3.4
Zograf,2008,25,0,0.0
Zograf,2009,31,0,0.0
Zograf,2010,26,0,0.0
Zograf,2011,34,0,0.0
Zograf,2012,33,0,0.0
Zograf,2013,34,0,0.0
Zograf,2014,37,0,0.0
Zograf,2015,45,0,0.0
Zograf,2016,42,0,0.0
Zograf,2017,43,0,0.0
Zograf,2018,46,0,0.0
Zograf,2019,51,10,19.6
Zograf,2020,44,38,86.4
Zograf,2021,47,2,4.3
Zograf,2022,47,1,2.1
Zograf,2023,43,0,0.0
Zograf,2024,51,0,0.0
Zograf,2025,56,29,51.8
Zograf,2026,58,1,1.7
