Presentations: 1350; already valid: 32; to classify: 1318
[1/66] accepted 20/20; cumulative 52
[2/66] accepted 20/20; cumulative 72
[3/66] accepted 20/20; cumulative 92
[4/66] accepted 20/20; cumulative 112
[5/66] accepted 19/20; cumulative 131
[6/66] accepted 20/20; cumulative 151
[7/66] accepted 16/20; cumulative 167
[8/66] accepted 20/20; cumulative 187
[9/66] accepted 20/20; cumulative 207
[10/66] accepted 20/20; cumulative 227
[11/66] accepted 20/20; cumulative 247
[12/66] accepted 20/20; cumulative 267
[13/66] accepted 20/20; cumulative 287
[14/66] accepted 20/20; cumulative 307
[15/66] accepted 19/20; cumulative 326
[16/66] accepted 20/20; cumulative 346
[17/66] accepted 20/20; cumulative 366
[18/66] accepted 18/20; cumulative 384
[19/66] accepted 20/20; cumulative 404
[20/66] accepted 19/20; cumulative 423
[21/66] accepted 20/20; cumulative 443
[22/66] accepted 20/20; cumulative 463
[23/66] accepted 19/20; cumulative 482
[24/66] accepted 20/20; cumulative 502
[25/66] accepted 20/20; cumulative 522
[26/66] accepted 20/20; cumulative 542
[27/66] accepted 20/20; cumulative 562
[28/66] accepted 20/20; cumulative 582
[29/66] accepted 20/20; cumulative 602
[30/66] accepted 20/20; cumulative 622
[31/66] accepted 20/20; cumulative 642
[32/66] accepted 20/20; cumulative 662
[33/66] accepted 20/20; cumulative 682
[34/66] accepted 20/20; cumulative 702
[35/66] accepted 20/20; cumulative 722
[36/66] accepted 20/20; cumulative 742
[37/66] accepted 19/20; cumulative 761
[38/66] accepted 20/20; cumulative 781
[39/66] accepted 20/20; cumulative 801
[40/66] accepted 20/20; cumulative 821
[41/66] accepted 20/20; cumulative 841
[42/66] accepted 20/20; cumulative 861
[43/66] accepted 20/20; cumulative 881
[44/66] accepted 20/20; cumulative 901
[45/66] accepted 20/20; cumulative 921
[46/66] accepted 20/20; cumulative 941
[47/66] accepted 19/20; cumulative 960
[48/66] accepted 18/20; cumulative 978
[49/66] accepted 20/20; cumulative 998
[50/66] accepted 20/20; cumulative 1018
[51/66] accepted 20/20; cumulative 1038
[52/66] accepted 20/20; cumulative 1058
[53/66] accepted 20/20; cumulative 1078
[54/66] accepted 20/20; cumulative 1098
[55/66] accepted 20/20; cumulative 1118
[56/66] accepted 20/20; cumulative 1138
[57/66] accepted 20/20; cumulative 1158
[58/66] accepted 20/20; cumulative 1178
[59/66] accepted 20/20; cumulative 1198
[60/66] accepted 20/20; cumulative 1218
[61/66] accepted 20/20; cumulative 1238
[62/66] accepted 20/20; cumulative 1258
[63/66] accepted 18/20; cumulative 1276
[64/66] accepted 20/20; cumulative 1296
[65/66] accepted 20/20; cumulative 1316
[66/66] accepted 18/18; cumulative 1334
Valid classifications: 1334/1350; failed batches: 0
Token usage: {'prompt_tokens': 157731, 'completion_tokens': 165904, 'total_tokens': 323635, 'prompt_cache_hit_tokens': 85504, 'prompt_cache_miss_tokens': 72227}
