series,year,newcomers,total,newcomer_pct
Zograf,2004,11,11,100.0
Zograf,2006,20,25,80.0
Zograf,2007,10,23,43.5
Zograf,2010,4,11,36.4
Zograf,2011,14,29,48.3
Zograf,2012,12,30,40.0
Zograf,2013,8,29,27.6
Zograf,2014,8,37,21.6
Zograf,2018,16,42,38.1
Zograf,2019,9,47,19.1
Zograf,2020,18,46,39.1
Zograf,2021,5,45,11.1
Zograf,2022,4,37,10.8
Zograf,2023,2,14,14.3
Zograf,2024,0,2,0.0
Zograf,2025,11,56,19.6
Zograf,2026,19,60,31.7
Roerich,2010,1,1,100.0
Roerich,2012,29,30,96.7
Roerich,2015,11,29,37.9
Roerich,2016,7,28,25.0
Roerich,2017,4,29,13.8
Roerich,2018,2,33,6.1
Roerich,2019,3,30,10.0
Roerich,2020,5,30,16.7
Roerich,2021,7,30,23.3
Roerich,2022,0,26,0.0
Roerich,2023,2,17,11.8
Roerich,2024,9,28,32.1
Roerich,2025,14,36,38.9
