person_id,display_name,full_name_ru,n_talks,rinc_search_url,review_status,rinc_author_id,spin,profile_url,reviewer,checked_at,notes,birth_year_estimate,first_publication_year,first_publication_source
PERS_c52dfaa0,Цветкова Светлана Олеговна,Цветкова Софья Олеговна,22,https://elibrary.ru/author_items.asp?authorid=&fams=Цветкова,todo,,,,,,rejected_filter:low_works_count=2,,,
PERS_11da326d,Тавастшерна Сергей Сергеевич,Тавастшерна Сергей Сергеевич,20,https://elibrary.ru/author_items.asp?authorid=&fams=Тавастшерна,todo,,,,,,no_match,,,
PERS_f074f69f,Александрова Наталия Владимировна,Александрова Наталия Владимировна,20,https://elibrary.ru/author_items.asp?authorid=&fams=Александрова,todo,,,,,,rejected_filter:low_works_count=4,,,
PERS_d98da899,Рыжакова Светлана Игоревна,Рыжакова Светлана Игоревна,19,https://elibrary.ru/author_items.asp?authorid=&fams=Рыжакова,todo,,,,,,rejected_filter:pub_year_pre_2015=2005,,,
PERS_12125da9,Лысенко Виктория Георгиевна,Лысенко Виктория Георгиевна,16,https://elibrary.ru/author_items.asp?authorid=&fams=Лысенко,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_40862f5e,Корнеева Наталья Афанасьевна,Корнеева Наталья Афанасьевна,15,https://elibrary.ru/author_items.asp?authorid=&fams=Корнеева,todo,,,,,,no_match,,,
PERS_1fa7cc0c,Дубянский Александр Михайлович,Дубянский Александр Михайлович,14,https://elibrary.ru/author_items.asp?authorid=&fams=Дубянский,todo,,,,,,no_match,,,
PERS_1a097e52,Парибок Андрей Всеволодович,Парибок Андрей Всеволодович,13,https://elibrary.ru/author_items.asp?authorid=&fams=Парибок,todo,,,,,,,1992,2017,openalex
PERS_5228da95,В. В. Вертоградова,Вертоградова Виктория Викторовна,13,https://elibrary.ru/author_items.asp?authorid=&fams=Вертоградова,todo,,,,,,rejected_filter:low_works_count=3,,,
PERS_e1dd6b3e,Лидова Наталья Ростиславовна,Лидова Наталья Ростиславовна,13,https://elibrary.ru/author_items.asp?authorid=&fams=Лидова,todo,,,,,,no_match,,,
PERS_e31ca12d,Вечерина Ольга Павловна,Вечерина Ольга Павловна,13,https://elibrary.ru/author_items.asp?authorid=&fams=Вечерина,todo,,,,,,rejected_filter:pub_year_pre_2015=2004,,,
PERS_003adcfe,Псху Рузана Владимировна,Псху Рузана Владимировна,12,https://elibrary.ru/author_items.asp?authorid=&fams=Псху,todo,,,,,,rejected_filter:pub_year_pre_2015=2010,,,
PERS_3e105f43,Игнатьев Андрей Александрович,Игнатьев Андрей Александрович,12,https://elibrary.ru/author_items.asp?authorid=&fams=Игнатьев,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_6578b52d,Е. В. Тюлина,Тюлина Елена Владимировна,12,https://elibrary.ru/author_items.asp?authorid=&fams=Тюлина,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_829c1de5,Васильков Ярослав Владимирович,Васильков Ярослав Владимирович,12,https://elibrary.ru/author_items.asp?authorid=&fams=Васильков,todo,,,,,,rejected_filter:pub_year_pre_2015=2014,,,
PERS_9374fd12,Е. Г. Вырщиков,Вырщиков Евгений Геннадьевич,12,https://elibrary.ru/author_items.asp?authorid=&fams=Вырщиков,todo,,,,,,no_match,,,
PERS_e9545a0b,А. М. Шустова,Шустова Алла Михайловна,12,https://elibrary.ru/author_items.asp?authorid=&fams=Шустова,todo,,,,,,rejected_filter:low_works_count=2,,,
PERS_56508328,Десницкая Евгения Алексеевна,Десницкая Евгения Алексеевна,11,https://elibrary.ru/author_items.asp?authorid=&fams=Десницкая,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_61202bf3,Ю. М. Алиханова,Ю. М. Алиханова,11,https://elibrary.ru/author_items.asp?authorid=&fams=Алиханова,todo,,,,,,no_match,,,
PERS_da862dde,Ю. И. Дробышев,Дробышев Юлий Игорьевич,11,https://elibrary.ru/author_items.asp?authorid=&fams=Дробышев,todo,,,,,,rejected_filter:pub_year_pre_2015=2005,,,
PERS_05d56645,Бабин Александр Николаевич,Бабин Александр Николаевич,10,https://elibrary.ru/author_items.asp?authorid=&fams=Бабин,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_41d6aa73,Воробьева Дарья Николаевна,Воробьева Дарья Николаевна,10,https://elibrary.ru/author_items.asp?authorid=&fams=Воробьева,todo,,,,,,no_match,,,
PERS_92868e4f,Д. И. Жутаев,Жутаев Дмитрий Игоревич,10,https://elibrary.ru/author_items.asp?authorid=&fams=Жутаев,todo,,,,,,no_match,,,
PERS_9a855a7b,Альбедиль Маргарита Федоровна,Альбедиль Маргарита Федоровна,10,https://elibrary.ru/author_items.asp?authorid=&fams=Альбедиль,todo,,,,,,,1990,2015,openalex
PERS_c48611e0,Островская Елена Петровна,Островская Елена Петровна,10,https://elibrary.ru/author_items.asp?authorid=&fams=Островская,todo,,,,,,rejected_filter:pub_year_pre_2015=2010,,,
PERS_260a598a,Пахомов Сергей Владимирович,Пахомов Сергей Владимирович,9,https://elibrary.ru/author_items.asp?authorid=&fams=Пахомов,todo,,,,,,rejected_filter:pub_year_pre_2015=2008,,,
PERS_2fd442aa,С. Ч. Офертас,С. Ч. Офертас,9,https://elibrary.ru/author_items.asp?authorid=&fams=Офертас,todo,,,,,,no_match,,,
PERS_3357f25b,Скороходова Татьяна Григорьевна,Скороходова Татьяна Григорьевна,9,https://elibrary.ru/author_items.asp?authorid=&fams=Скороходова,todo,,,,,,rejected_filter:low_works_count=2,,,
PERS_3b196639,Гордийчук Николай Валентинович,Гордийчук Николай Валентинович,9,https://elibrary.ru/author_items.asp?authorid=&fams=Гордийчук,todo,,,,,,rejected_filter:low_works_count=1,,,
PERS_5d324297,К. П. Шрестха,К. П. Шрестха,9,https://elibrary.ru/author_items.asp?authorid=&fams=Шрестха,todo,,,,,,no_match,,,
PERS_5ed752d9,Б. У. Китинов,Б. У. Китинов,9,https://elibrary.ru/author_items.asp?authorid=&fams=Китинов,todo,,,,,,rejected_filter:low_works_count=1,,,
