title,issn,specialty
Acta Linguistica Petropolitana. Труды Института лингвистических исследований,2306-5737,10.01.01; 10.02.01; 10.02.03; 10.02.04; 10.02.19; 10.02.20; 10.02.22; 28.12.20; 16.10.20; 5.6.4; 5.9.4; 5.9.7; 01.02.20; 5.9.3; 5.9.5; 5.9.6; 5.9.8; 08.02.20
Modern oriental studies (перевод наименования на государственный язык Российской Федерации: Современные востоковедческие исследования),2686-9675,5.6.2; 5.6.7; 5.7.2; 5.9.6; 5.9.8; 20.07.20
Oriental Studies (Вестник КИГИ РАН) ( до 03.04.2019 наименование в Перечне «Вестник Калмыцкого института гуманитарных исследований РАН» ISSN 2075- 7794),2619-0990,10.01.03; 10.02.02; 10.02.20; 10.02.22; 28.12.20; 16.10.20; 5.6.1; 5.6.2; 5.6.3; 5.6.4; 5.9.4; 01.02.20; 5.6.5; 5.9.1; 5.9.2; 5.9.5; 5.9.6; 25.04.20
Philologia classica: Исследования по классической филологии и истории антиковедения,0202-2532,10.01.03; 10.02.20; 28.12.20; 16.10.20; 5.9.3; 5.9.7; 01.02.20; 5.9.2; 5.9.8; 21.02.20
Russian Linguistic Bulletin (перевод наименования на государственный язык Российской Федерации: Российский лингвистический бюллетень),2411-2968,10.01.02; 10.01.03; 10.02.03; 10.02.04; 26.12.20; 16.10.20; 10.02.05; 10.02.19; 10.02.20; 10.02.22; 5.9.1; 5.9.2; 5.9.3; 5.9.5; 5.9.6; 5.9.8; 01.11.20; 27.10.20
Актуальные вопросы современной филологии и журналистики / Actual Issues of Modern Philology and Journalism,2587-9510,10.01.01; 10.01.02; 10.01.10; 10.02.01; 10.02.03; 10.02.19; 26.12.20; 16.10.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 21.02.20
Актуальные проблемы филологии и педагогической лингвистики,2079-6021,10.01.01; 10.02.01; 10.02.04; 10.02.19; 10.02.20; 28.12.20; 16.10.20; 5.9.3; 01.02.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 23.09.20
Арабистика Евразии (Eurasian Arabic Studies),2619-1261,5.6.2; 5.6.7; 5.9.2; 5.9.6; 5.9.8; 31.05.20
Верхневолжский филологический вестник,2499-9679,10.01.01; 10.01.10; 10.02.01; 10.02.04; 10.02.05; 10.02.19; 24.00.01; 28.12.20; 16.10.20; 5.9.1; 5.9.5; 5.9.6; 5.9.8; 5.9.9; 5.10.1; 5.10.1; 21.02.20
"Вестник Адыгейского государственного университета, серия ""Филология и искусствоведение""",2410-3489,10.01.02; 10.02.02; 10.02.20; 17.00.02; 17.00.09; 28.12.20; 16.10.20; 5.9.3; 5.9.4; 01.02.20; 5.9.1; 5.9.8; 21.02.20
