person_id,display_name,n_talks,years,series,raw_affils,source_url
PERS_3e105f43,Игнатьев Андрей Александрович,12,"2004,2006,2007,2010,2011,2012,2013,2014,2019,2021,2023,2026",Zograf Readings / Зографские чтения,Калиниград || Калининград,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view
PERS_003adcfe,Псху Рузана Владимировна,12,"2007,2010,2012,2013,2014,2018,2019,2020,2021,2022,2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view
PERS_9a855a7b,Альбедиль Маргарита Федоровна,10,"2011,2012,2013,2014,2018,2019,2021,2022,2025,2026",Zograf Readings / Зографские чтения,СПб || СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_a0264ac5,Бурмистров Сергей Леонидович,9,"2013,2018,2019,2020,2021,2022,2023,2025,2026",Zograf Readings / Зографские чтения,СПб || СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view
PERS_3357f25b,Скороходова Татьяна Григорьевна,9,"2011,2012,2013,2014,2018,2019,2021,2025,2026",Zograf Readings / Зографские чтения,Пенза,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_5d34c947,Волошина Оксана Анатольевна,8,"2014,2018,2019,2020,2021,2022,2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view
PERS_7542d270,Демченко Максим Борисович,8,"2018,2019,2020,2021,2022,2023,2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_db046be0,Сабирова Римма Наилевна,7,"2018,2019,2020,2021,2022,2025,2026",Zograf Readings / Зографские чтения,Казань,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_df6e2007,А. А. Мехакян,6,"2007,2010,2012,2015,2016,2017",Roerich Readings / Рериховские чтения|Zograf Readings / Зографские чтения,Ереван || МРЦ || МЦР || Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1791&option=com_content&task=view
PERS_8516d1e4,Гасунс Марцис Юрьевич,6,"2006,2019,2020,2021,2024",Roerich Readings / Рериховские чтения|Zograf Readings / Зографские чтения,Краснодар || Москва || НИ || ни,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_f19cd8a1,Котин Игорь Юрьевич,6,"2011,2012,2014,2018,2022,2026",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_bc97fb65,Краснодембская Нина Георгиевна,6,"2011,2012,2014,2019,2020,2023",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_23215083,М. А. Русанов,6,"2004,2007,2013,2014,2018,2019",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,6,"2011,2013,2014,2021,2022,2026",Zograf Readings / Зографские чтения,С.-Петербург || СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_c6bbcef3,Битинайте Елена Алексеевна,5,"2018,2019,2020,2022,2025",Zograf Readings / Зографские чтения,Краснодар || Ростов-на-Дону,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_dd7de77e,Е. К. Бросалина,5,"2006,2011,2013,2018,2019",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_7eb0dc30,Зимина Татьяна Александровна,5,"2013,2014,2018,2019,2020",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view
PERS_0c451d76,Лобанов Сергей Владимирович,5,"2012,2013,2022,2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_92f293f8,П. В. Хрущева,5,"2011,2012,2013,2014,2018",Zograf Readings / Зографские чтения,Екатеринбург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=2846&option=com_content&task=view
PERS_6e211759,Иванов Владимир Павлович,4,"2012,2022,2025,2026",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_2a2e5602,Коровина Евгения Владимировна,4,"2019,2021,2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view
PERS_5e2a5a5c,Столярова Екатерина Владимировна,4,"2018,2019,2022,2025",Zograf Readings / Зографские чтения,СПб || СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_7f908d49,Стрельцова Лилия Александровна,4,"2012,2013,2019,2025",Zograf Readings / Зографские чтения,СПб || СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_d218805b,В. Ю. Крюкова,3,"2012,2019,2022",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_69750b7c,В. Н. Мазурина,3,"2013,2014,2018",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view
PERS_f940c5b3,Г. В. Стрелкова,3,"2004,2006,2012",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view
PERS_8df3730a,Донченко Сергей Сергеевич,3,"2013,2019,2025",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view
PERS_bcaec2d8,Дружинин Владимир Юрьевич,3,"2020,2021,2022",Zograf Readings / Зографские чтения,Новосибирск,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_f56c5a7e,Жукова Любовь Евгеньевна,3,"2022,2024,2025",Zograf Readings / Зографские чтения,Москва || СПб.,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view
PERS_0fd718a7,К. М. Воздиган,3,"2012,2013,2014",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_cb52ebc2,Лемешкина Ксения Вячеславовна,3,"2020,2025,2026",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_01aafd44,Сафина Наталья Алексеевна,3,"2018,2020,2021",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_6441d568,Соболева Елена Станиславовна,3,"2020,2025,2026",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=12981&option=com_content&task=view
PERS_28317057,Т. А. Дубянская,3,"2004,2006,2007",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=80&option=com_content&task=view
PERS_ba81468a,Ю. Г. Кокова,3,"2006,2014,2018",Zograf Readings / Зографские чтения,СПб,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_b881461b,Яковлева Мария Николаевна,3,"2019,2025,2026",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view
PERS_b62a9567,А. Ю. Курочкин,2,"2018,2019",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view
PERS_37d557c2,Анисимова Дарья Дмитриевна,2,"2025,2026",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_35c57654,Егорова Мария Александровна,2,"2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_9e9c9566,Лекарева Ева Павловна,2,"2025,2026",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_8df81b6d,Лужинская Полина Александровна,2,"2025,2026",Zograf Readings / Зографские чтения,СПб. || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
PERS_587b08ec,М.В. Леонов,2,"2019,2024",Roerich Readings / Рериховские чтения,НИ || ни,https://ancient.ivran.ru/novosti?year=2019
PERS_50c46233,Маретина Ксения Александровна,2,"2012,2025",Zograf Readings / Зографские чтения,СПб || СПб.,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view
PERS_b76851a7,Митруев Б. Л.,2,"2021,2022",Zograf Readings / Зографские чтения,Элиста,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view
PERS_e5a5ac24,С. Л. Невелева,2,"2006,2011",Zograf Readings / Зографские чтения,СПб || Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=1251&option=com_content&task=view
PERS_3074a8e5,Терентьев Андрей Анатольевич,2,"2013,2020",Zograf Readings / Зографские чтения,Санкт-Петербург,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view
PERS_310b2911,Толчельников Иван Евгеньевич,2,"2025,2026",Zograf Readings / Зографские чтения,Москва,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view
