series,l1,presentations,presentations_with_video,video_coverage_pct
Roerich Readings,art_archaeology,42,0,0.0
Roerich Readings,ethnography,8,0,0.0
Roerich Readings,history,91,0,0.0
Roerich Readings,linguistics,44,0,0.0
Roerich Readings,literature,89,0,0.0
Roerich Readings,other,4,0,0.0
Roerich Readings,philosophy,49,0,0.0
Roerich Readings,religion,144,0,0.0
Roerich Readings,tibetology,1,0,0.0
Zograf Readings,art_archaeology,46,1,2.2
Zograf Readings,ethnography,49,3,6.1
Zograf Readings,history,94,8,8.5
Zograf Readings,linguistics,87,14,16.1
Zograf Readings,literature,195,20,10.3
Zograf Readings,other,8,0,0.0
Zograf Readings,pedagogy_applied,2,0,0.0
Zograf Readings,philosophy,189,22,11.6
Zograf Readings,religion,205,13,6.3
Zograf Readings,tibetology,3,1,33.3
