person_id,display_name,cohort_scope,external_status,source_title,source_url,source_date,checked_at,interpretation_note
PERS_5228da95,Вертоградова Виктория Викторовна,absent_in_2026,biographical_profile_no_death_marker,Вертоградова Виктория Викторовна | Философский факультет МГУ,https://philos.msu.ru/node/264,,2026-06-01,External profile supports identity and public biographical context; absence in 2026 must not be interpreted as death.
PERS_f5b8b340,Вигасин Алексей Алексеевич,absent_in_2026,active_or_current_profile,ЭС: А.А.Вигасин | Летопись Московского университета,https://letopis.msu.ru/peoples/9793,,2026-06-01,MSU profile reports current/continuing academic role; absence in 2026 is a programme-level signal, not a biographical exit.
PERS_88d163c1,Видунас Витис,absent_after_2022,external_activity_after_2022,Vilnius University scholar Vytis Vidunas receives the 2023 India-Lithuania Friendship Award,https://www.mfa.lt/en/news/928/vilnius-university-scholar-vytis-vidunas-receives-the-2023-india-lithuania-friendship-award%3A35351,2023-07-24,2026-06-01,External activity after 2022 supports treating archive absence as geopolitical/contextual or venue-specific, not as disappearance from scholarly life.
PERS_efc88709,Канаева Наталия Алексеевна,absent_in_2026,active_or_current_profile,Канаева Наталия Алексеевна | НИУ ВШЭ,https://www.hse.ru/staff/nkanaeva/,,2026-06-01,HSE staff profile supports current academic identity; absence in 2026 requires programme-level interpretation.
PERS_ba81468a,Кокова Юлия Георгиевна,absent_after_2022,active_or_current_profile,Кокова Юлия Георгиевна | Orientalia Rossica,https://orientaliarossica.com/orientalistsregion/3,,2026-06-01,Orientalia Rossica lists her among South Asia specialists with a Saint Petersburg State University affiliation; archive absence remains venue-specific rather than biographical.
PERS_e96139bd,Коробов Владимир Борисович,absent_after_2022,biographical_profile_no_death_marker,Коробов Владимир Борисович (востоковед),https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%B1%D0%BE%D0%B2%2C_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87_%28%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D0%BE%D0%B2%D0%B5%D0%B4%29,,2026-06-01,Public profile reports birth data and no death marker; archive absence remains venue-specific and plausibly cross-border/contextual.
PERS_12125da9,Лысенко Виктория Георгиевна,absent_in_2026,active_or_current_profile,Лысенко Виктория Георгиевна | Институт философии РАН,https://iph.ras.ru/lysenko.htm,,2026-06-01,Official institutional profile supports current scholarly identity; absence in 2026 is not a biographical disappearance.
PERS_e5a5ac24,Невелева Светлана Леонидовна,absent_after_2022,biographical_profile_no_death_marker,Невелева Светлана Леонидовна | ИВР РАН personalia PDF,https://www.orientalstudies.ru/eng/images/personalia/pdf/neveleva.pdf,,2026-06-01,Public biographical source supports identity and birth data; no post-2022 programme appearance should be treated cautiously.
PERS_e72d4c09,Огнева Елена Дмитриевна,absent_after_2022,biographical_profile_no_death_marker,Огнева Елена Дмитриевна,https://ru.wikipedia.org/wiki/%D0%9E%D0%B3%D0%BD%D0%B5%D0%B2%D0%B0%2C_%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%BD%D0%B0,,2026-06-01,Public profile reports birth data and Ukrainian scholarly context; post-2022 archive absence should be separated from the 2026 programme-filter hypothesis.
PERS_c48611e0,Островская Елена Петровна,absent_in_2026,biographical_profile_no_death_marker,Островская Елена Петровна,https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F%2C_%D0%95%D0%BB%D0%B5%D0%BD%D0%B0_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BD%D0%B0,,2026-06-01,Public profile supports identity; she appears in the archive in 2025, so 2026 absence should be treated as programme-specific.
PERS_f940c5b3,Стрелкова Гюзэль Владимировна,absent_in_2026,active_or_current_profile,Стрелкова Гюзэль Владимировна | ИСТИНА,https://istina.cemi-ras.ru/workers/388343/publications/,,2026-06-01,Publication/profile trace supports current scholarly identity; absence in 2026 needs programme-level review.
PERS_3074a8e5,Терентьев Андрей Анатольевич,absent_after_2022,active_or_current_profile,Терентьев Андрей Анатольевич | Dharma.ru,https://dharma.ru/list/person/terentev-andrey-anatolevich,,2026-06-01,External profile describes continuing editorial role; post-2022 archive absence should not be treated as death or career exit.
