series,debut_year,years_since_debut,at_risk,cohort_size,survival_pct
Zograf,2004,0,29,29,100.0
Zograf,2004,1,22,29,100.0
Zograf,2004,2,22,29,95.5
Zograf,2004,3,21,29,95.5
Zograf,2004,4,21,29,95.5
Zograf,2004,5,21,29,86.4
Zograf,2004,6,19,29,86.4
Zograf,2004,7,19,29,81.8
Zograf,2004,8,18,29,77.3
Zograf,2004,9,17,29,77.3
Zograf,2004,10,17,29,72.7
Zograf,2004,11,16,29,68.2
Zograf,2004,12,15,29,68.2
Zograf,2004,13,15,29,68.2
Zograf,2004,14,15,29,63.6
Zograf,2004,15,14,29,50.0
Zograf,2004,16,11,29,45.5
Zograf,2004,17,10,29,45.5
Zograf,2004,18,10,29,45.5
Zograf,2004,19,10,29,45.5
Zograf,2004,20,10,29,36.4
Zograf,2004,21,8,29,36.4
Zograf,2004,22,6,29,36.4
Zograf,2006,0,15,15,100.0
Zograf,2006,1,12,15,100.0
Zograf,2006,2,12,15,91.7
Zograf,2006,3,11,15,91.7
Zograf,2006,4,11,15,83.3
Zograf,2006,5,10,15,75.0
Zograf,2006,6,9,15,66.7
Zograf,2006,7,8,15,66.7
Zograf,2006,8,8,15,66.7
Zograf,2006,9,8,15,66.7
Zograf,2006,10,8,15,66.7
Zograf,2006,11,8,15,66.7
Zograf,2006,12,8,15,66.7
Zograf,2006,13,8,15,66.7
Zograf,2006,14,8,15,66.7
Zograf,2006,15,8,15,58.3
Zograf,2006,16,7,15,58.3
Zograf,2006,17,7,15,58.3
Zograf,2006,18,7,15,50.0
Zograf,2006,19,6,15,50.0
Zograf,2006,20,4,15,50.0
Zograf,2007,0,10,10,100.0
Zograf,2007,1,6,10,100.0
Zograf,2007,2,6,10,100.0
Zograf,2007,3,6,10,100.0
Zograf,2007,4,6,10,100.0
Zograf,2007,5,6,10,83.3
Zograf,2007,6,5,10,83.3
Zograf,2007,7,5,10,83.3
Zograf,2007,8,5,10,83.3
Zograf,2007,9,5,10,83.3
Zograf,2007,10,5,10,83.3
Zograf,2007,11,5,10,83.3
Zograf,2007,12,5,10,83.3
Zograf,2007,13,5,10,83.3
Zograf,2007,14,5,10,66.7
Zograf,2007,15,4,10,66.7
Zograf,2007,16,4,10,66.7
Zograf,2007,17,4,10,66.7
Zograf,2007,18,4,10,66.7
Zograf,2007,19,4,10,66.7
Zograf,2008,0,7,7,100.0
Zograf,2008,1,6,7,66.7
Zograf,2008,2,4,7,66.7
Zograf,2008,3,4,7,66.7
Zograf,2008,4,4,7,66.7
Zograf,2008,5,4,7,66.7
Zograf,2008,6,4,7,66.7
Zograf,2008,7,4,7,66.7
Zograf,2008,8,4,7,66.7
Zograf,2008,9,4,7,66.7
Zograf,2008,10,4,7,66.7
Zograf,2008,11,4,7,66.7
Zograf,2008,12,4,7,66.7
Zograf,2008,13,4,7,66.7
Zograf,2008,14,4,7,66.7
Zograf,2008,15,4,7,66.7
Zograf,2008,16,4,7,50.0
Zograf,2008,17,3,7,50.0
Zograf,2008,18,3,7,50.0
Zograf,2009,0,4,4,100.0
Zograf,2009,1,4,4,100.0
Zograf,2009,2,4,4,100.0
Zograf,2009,3,4,4,100.0
Zograf,2009,4,4,4,100.0
Zograf,2009,5,4,4,100.0
Zograf,2009,6,4,4,75.0
Zograf,2009,7,3,4,75.0
Zograf,2009,8,3,4,75.0
Zograf,2009,9,3,4,75.0
Zograf,2009,10,3,4,75.0
Zograf,2009,11,3,4,75.0
Zograf,2009,12,3,4,75.0
Zograf,2009,13,3,4,75.0
Zograf,2009,14,3,4,75.0
Zograf,2009,15,3,4,25.0
Zograf,2009,16,1,4,25.0
Zograf,2009,17,1,4,25.0
Zograf,2010,0,6,6,100.0
Zograf,2010,1,6,6,83.3
Zograf,2010,2,5,6,83.3
Zograf,2010,3,5,6,83.3
Zograf,2010,4,5,6,83.3
Zograf,2010,5,5,6,66.7
Zograf,2010,6,4,6,50.0
Zograf,2010,7,3,6,50.0
Zograf,2010,8,3,6,50.0
Zograf,2010,9,3,6,50.0
Zograf,2010,10,3,6,50.0
Zograf,2010,11,3,6,50.0
Zograf,2010,12,3,6,50.0
Zograf,2010,13,3,6,50.0
Zograf,2010,14,3,6,50.0
