wikidata_qid,display_name,role,organization_ru,organization_qid,from_year,to_year,source_url
Q19933264,Антонова Кока Александровна,affiliation,Институт востоковедения РАН,Q154528,,,https://www.wikidata.org/wiki/Q19933264
Q19933264,Антонова Кока Александровна,affiliation,Институт мирового хозяйства и мировой политики АН СССР,Q4201604,,,https://www.wikidata.org/wiki/Q19933264
Q19933264,Антонова Кока Александровна,education,исторический факультет МГУ,Q4204528,,1931,https://www.wikidata.org/wiki/Q19933264
Q4077715,Баранников Алексей Петрович,affiliation,Восточный факультет СПбГУ,Q4126647,,,https://www.wikidata.org/wiki/Q4077715
Q4077715,Баранников Алексей Петрович,affiliation,Институт востоковедения РАН,Q154528,1938,1941,https://www.wikidata.org/wiki/Q4077715
Q4077715,Баранников Алексей Петрович,education,историко-филологический факультет Киевского университета Св. Владимира,Q105755464,,1914,https://www.wikidata.org/wiki/Q4077715
Q15064697,Бродов Василий Васильевич,affiliation,Московская государственная академия коммунального хозяйства и строительства,Q4303890,,,https://www.wikidata.org/wiki/Q15064697
Q15064697,Бродов Василий Васильевич,affiliation,Московская консерватория,Q215539,,,https://www.wikidata.org/wiki/Q15064697
Q15064697,Бродов Василий Васильевич,affiliation,Московский государственный академический художественный институт имени В. И. Сурикова,Q4304069,,,https://www.wikidata.org/wiki/Q15064697
Q15064697,Бродов Василий Васильевич,affiliation,Московский государственный университет,Q13164,,,https://www.wikidata.org/wiki/Q15064697
Q15064697,Бродов Василий Васильевич,education,"Московский институт философии, литературы и истории",Q4304155,,,https://www.wikidata.org/wiki/Q15064697
Q76423,Бётлингк Оттон Николаевич,affiliation,Йенский университет,Q154561,,,https://www.wikidata.org/wiki/Q76423
Q76423,Бётлингк Оттон Николаевич,education,Санкт-Петербургский государственный университет,Q27621,,,https://www.wikidata.org/wiki/Q76423
Q721077,Васильев Василий Павлович,education,Казанский университет,Q113788,,,https://www.wikidata.org/wiki/Q721077
Q502136,Востриков Андрей Иванович,affiliation,Азиатский музей,Q4806837,,,https://www.wikidata.org/wiki/Q502136
Q502136,Востриков Андрей Иванович,affiliation,Институт буддийской культуры,Q16655676,,,https://www.wikidata.org/wiki/Q502136
Q502136,Востриков Андрей Иванович,affiliation,Институт восточных рукописей РАН,Q3648060,,,https://www.wikidata.org/wiki/Q502136
Q502136,Востриков Андрей Иванович,affiliation,Ленинградский восточный институт,Q4258140,,,https://www.wikidata.org/wiki/Q502136
Q502136,Востриков Андрей Иванович,education,Институт истории СПбГУ,Q4204527,,1924,https://www.wikidata.org/wiki/Q502136
Q4152723,Гусева Наталья Романовна,affiliation,Институт востоковедения РАН,Q154528,1940,1941,https://www.wikidata.org/wiki/Q4152723
Q4152723,Гусева Наталья Романовна,affiliation,Институт этнологии и антропологии имени Н. Н. Миклухо-Маклая РАН,Q4201873,1944,1998,https://www.wikidata.org/wiki/Q4152723
Q4152723,Гусева Наталья Романовна,affiliation,Исторический комплекс завода Красный треугольник,Q4239624,1931,1940,https://www.wikidata.org/wiki/Q4152723
Q4152723,Гусева Наталья Романовна,affiliation,Красный Треугольник,Q112033468,,,https://www.wikidata.org/wiki/Q4152723
Q4152723,Гусева Наталья Романовна,education,Санкт-Петербургский государственный университет,Q27621,1935,1940,https://www.wikidata.org/wiki/Q4152723
Q4210614,Кальянов Владимир Иванович,affiliation,Институт восточных рукописей РАН,Q3648060,,,https://www.wikidata.org/wiki/Q4210614
Q4210614,Кальянов Владимир Иванович,education,"Ленинградский институт истории, философии и лингвистики",Q4258142,,,https://www.wikidata.org/wiki/Q4210614
Q3920365,Коссович Каэтан Андреевич,affiliation,Российская национальная библиотека,Q267566,1850,1883,https://www.wikidata.org/wiki/Q3920365
Q3920365,Коссович Каэтан Андреевич,education,Витебская мужская гимназия,Q63419670,,,https://www.wikidata.org/wiki/Q3920365
Q3920365,Коссович Каэтан Андреевич,education,историко-филологический факультет Московского университета,Q4204467,,,https://www.wikidata.org/wiki/Q3920365
Q2028881,Лебедев Герасим Степанович,affiliation,Азиатский департамент,Q4058300,,,https://www.wikidata.org/wiki/Q2028881
Q15134863,Ленц Роберт Христианович,affiliation,Санкт-Петербургский государственный университет,Q27621,,,https://www.wikidata.org/wiki/Q15134863
Q15134863,Ленц Роберт Христианович,education,Дерптская губернская гимназия,Q12376416,,,https://www.wikidata.org/wiki/Q15134863
Q15134863,Ленц Роберт Христианович,education,Дерптский университет,Q28024477,1825,1828,https://www.wikidata.org/wiki/Q15134863
Q4275228,Макаев Энвер Ахмедович,affiliation,Институт языкознания РАН,Q4201878,,,https://www.wikidata.org/wiki/Q4275228
Q4275228,Макаев Энвер Ахмедович,education,Московский государственный лингвистический университет,Q1054816,,,https://www.wikidata.org/wiki/Q4275228
Q3523976,Мерварт Александр Михайлович,affiliation,Кунсткамера,Q1277585,,,https://www.wikidata.org/wiki/Q3523976
Q3523976,Мерварт Александр Михайлович,education,Гейдельбергский университет,Q151510,,,https://www.wikidata.org/wiki/Q3523976
Q235796,Миллер Всеволод Фёдорович,affiliation,Императорский Московский университет,Q27923720,,,https://www.wikidata.org/wiki/Q235796
Q235796,Миллер Всеволод Фёдорович,affiliation,Московский государственный университет,Q13164,,,https://www.wikidata.org/wiki/Q235796
Q235796,Миллер Всеволод Фёдорович,education,Императорский Московский университет,Q27923720,,,https://www.wikidata.org/wiki/Q235796
Q235796,Миллер Всеволод Фёдорович,education,историко-филологический факультет Московского университета,Q4204467,,,https://www.wikidata.org/wiki/Q235796
Q171275,Минаев Иван Павлович,affiliation,Восточный факультет СПбГУ,Q4126647,,,https://www.wikidata.org/wiki/Q171275
Q171275,Минаев Иван Павлович,education,Санкт-Петербургский государственный университет,Q27621,,,https://www.wikidata.org/wiki/Q171275
Q1633918,Обермиллер Евгений Евгеньевич,affiliation,Институт восточных рукописей РАН,Q3648060,,,https://www.wikidata.org/wiki/Q1633918
Q3712323,Овсянико-Куликовский Дмитрий Николаевич,affiliation,Императорский Казанский университет,Q28482293,,,https://www.wikidata.org/wiki/Q3712323
