year,speaker_name,affiliation_text_raw,title,source_url,source_snippet,note,is_online,status
2012,И. Ф. Попова,ИВР РАН,Выступление директора ИВР РАН на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,"Открытие конференции. Ожидаются выступления директора ИВР РАН, д.и.н. И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2012,Вишвас Сапкал,Генеральное консульство Индии в Санкт-Петербурге,Выступление Генерального консула Индии на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3036&option=com_content&task=view,"Открытие конференции. Ожидаются выступления ... Генерального консула Индии в Санкт-Петербурге г. Вишваса Сапкала.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2013,И. Ф. Попова,ИВР РАН,Выступление директора ИВР РАН на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,"Открытие конференции. Ожидаются выступления директора ИВР РАН, д. и. н. И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2013,Вишвас Сапкал,Генеральное консульство Индии в Санкт-Петербурге,Выступление Генерального консула Индии на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3296&option=com_content&task=view,"Ожидаются выступления ... Генерального консула Индии в Санкт-Петербурге г. Вишваса Сапкала.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2014,И. Ф. Попова,ИВР РАН,Выступление директора ИВР РАН на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,"Открытие конференции. Ожидаются выступления директора ИВР РАН д. и. н. И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2014,Вишвас Сапкал,Генеральное консульство Индии в Санкт-Петербурге,Выступление Генерального консула Индии на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=3663&option=com_content&task=view,"Ожидаются выступления ... Генерального консула Индии в Санкт-Петербурге г. Вишваса Сапкала.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2016,И. Ф. Попова,ИВР РАН,Выступление директора ИВР РАН на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,"Выступления директора ИВР РАН, проф., д. и. н. И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2016,Арун Кумар Шарма,Генеральное консульство Индии в Санкт-Петербурге,Выступление Генерального консула Индии на открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=4789&option=com_content&task=view,"Выступления ... Генерального консула Индии в СПб г-на Арун Кумара Шармы.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2018,И. Ф. Попова,ИВР РАН,Участие директора ИВР РАН в открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view,"Открытие конференции. Ожидается участие директора ИВР РАН И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2018,Дипак Миглани,Генеральное консульство Индии в Санкт-Петербурге,Участие Генерального консула Индии в открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=7591&option=com_content&task=view,"Ожидается участие ... Генерального консула Индии в СПб г-на Дипака Миглани.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2019,И. Ф. Попова,ИВР РАН,Приветственное слово директора ИВР РАН,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=10154&option=com_content&task=view,"Открытие конференции. Приветственное слово директора ИВР РАН И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2021,И. Ф. Попова,ИВР РАН,Приветственное слово директора ИВР РАН,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view,"Приветственное слово директора ИВР РАН, чл.-корр. РАН, д. и. н. И. Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2021,Дипак Миглани,Генеральное консульство Индии в Санкт-Петербурге,Участие Генерального консула Индии в открытии конференции,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14119&option=com_content&task=view,"Ожидается участие Генерального Консула Индии в Санкт-Петербурге, г-на Дипака Миглани.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2022,И. Ф. Попова,ИВР РАН,Приветственное слово директора ИВР РАН,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14629&option=com_content&task=view,"Приветственное слово директора ИВР РАН, чл.-корр. РАН, д.и.н. И.Ф. Поповой.",Curated from the Zograf programme opening block.,0,confirmed
2023,Кумар Гаурав,Генеральное консульство Республики Индия,Приветственное слово Генерального консула Республики Индия,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=14847&option=com_content&task=view,"Приветственное слово Генерального консула Республики Индия г-на Кумара Гаурава.",Documented diplomatic greeting; not imported into scholar corpus.,0,documented
2025,И. Ф. Попова,ИВР РАН,Приветственное слово директора ИВР РАН,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15177&option=com_content&task=view,"Приветственное слово директора ИВР РАН, чл.-корр. РАН, д.и.н. И.Ф. Поповой.",Curated from the Zograf programme opening block and matching video metadata.,0,confirmed
2026,И. Ф. Попова,ИВР РАН,Приветственное слово директора ИВР РАН,https://www.orientalstudies.ru/rus/index.php?Itemid=48&id=15292&option=com_content&task=view,"Фактически приветствие было онлайн / в записи, хотя официальная программа не отражает это как онлайн-выступление.",Editorial factual correction from post-event observation; official programme is retained as source URL but format is corrected.,1,confirmed
