student_normalized_key,student_display_name,advisor_normalized_key,advisor_display_name,relationship_type,period_start,period_end,evidence_url,evidence_note,status,added_date,notes
# Schema: curation/teacher_student_schema.md. Verified entries only (status=verified) are read for site rendering.
# Heuristic suggestions live in analytics_output/lineage_candidates.csv and must be manually verified before being copied here.
псху р в,Псху Рузана Владимировна,шохин в к,Шохин Владимир Кириллович,advisor,,2003,https://www.dissercat.com/content/filosofsko-bogoslovskoe-nasledie-ramanudzhi-v-kontekste-vedantiiskoi-traditsii,Dissercat: PhD defended under Shokhin,verified,2026-06-01,
лундышева о в,Лундышева Ольга Владимировна,невелева с л,Невелева Светлана Леонидовна,advisor,,2011,https://www.dissercat.com/content/kontseptsiya-sudby-v-epicheskikh-skazaniyakh-makhabkharaty,Dissercat: PhD defended under Neveleva,verified,2026-06-01,
кройцер с а,Кройцер Светлана Александровна,гасунс м ю,Гасунс Марцис Юрьевич,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору: ученица сначала,verified,2026-06-01,
кройцер с а,Кройцер Светлана Александровна,псху р в,Псху Рузана Владимировна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору: ученица затем,verified,2026-06-01,
парибок а в,Парибок Андрей Всеволодович,эрман в г,Эрман Владимир Гансович,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору: учитель и ученик,verified,2026-06-01,
костина е а,Костина Екатерина Александровна,парибок а в,Парибок Андрей Всеволодович,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору: учитель и ученик,verified,2026-06-01,
русанов м а,Русанов Максим Альбертович,алиханова ю м,Алиханова Юлия Марковна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
вечерина о п,Вечерина Ольга Павловна,дубянский а м,Дубянский Александр Михайлович,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
костина е а,Костина Екатерина Александровна,бросалина е к,Бросалина Елена Кирилловна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
костина е а,Костина Екатерина Александровна,васильков я в,Васильков Ярослав Владимирович,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,Изначальный организатор Зографских чтений
толчельников и е,Толчельников Иван Евгеньевич,лысенко в г,Лысенко Виктория Георгиевна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору: после,verified,2026-06-01,
толчельников и е,Толчельников Иван Евгеньевич,гасунс м ю,Гасунс Марцис Юрьевич,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору: сперва,verified,2026-06-01,
гасунс м ю,Гасунс Марцис Юрьевич,блиндерман р т,Блиндерман Радха Тимуровна,lectured,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
гасунс м ю,Гасунс Марцис Юрьевич,лейтан э з,Лейтан Эдгар Зигфридович,lectured,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
гасунс м ю,Гасунс Марцис Юрьевич,клебанов а а,Клебанов Андрей Александрович,lectured,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
гасунс м ю,Гасунс Марцис Юрьевич,парибок а в,Парибок Андрей Всеволодович,lectured,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
гасунс м ю,Гасунс Марцис Юрьевич,дружинин в ю,Дружинин Владимир Юрьевич,lectured,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
гасунс м ю,Гасунс Марцис Юрьевич,толчельников и е,Толчельников Иван Евгеньевич,lectured,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
жутаев д и,Жутаев Дар Игоревич,вертоградова в в,Вертоградова Виктория Викторовна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
юдицкая е а,Юдицкая Екатерина Алексеевна,вертоградова в в,Вертоградова Виктория Викторовна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
корнеева н а,Корнеева Наталья Афанасьевна,вигасин а а,Вигасин Алексей Алексеевич,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
лидова н р,Лидова Наталья Ростиславовна,лихушина н п,Лихушина Наталия Павловна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
лихушина н п,Лихушина Наталия Павловна,кочергина в а,Кочергина Вера Александровна,mentor,,,https://gasyoun.github.io/IndologyScholars/known-relationships.html,Согласно редактору,verified,2026-06-01,
