topic_a,topic_b,n_threads
разное,словарь,216
книга,разное,160
словарь,учебник,158
разное,учебник,157
книга,словарь,144
разное,текст,142
книга,текст,135
словарь,текст,124
текст,учебник,119
разное,шрифт,118
книга,учебник,116
словарь,шрифт,96
разное,сайт,94
книга,шрифт,78
панини,учебник,72
учебник,шрифт,72
сайт,словарь,70
текст,шрифт,70
pdf,словарь,62
разное,сандхи_фонетика,61
pdf,разное,60
сайт,текст,59
панини,разное,59
сайт,учебник,57
сайт,шрифт,57
панини,словарь,56
книга,сайт,54
разное,этимология,52
перевод_вопрос,разное,52
pdf,книга,52
словарь,этимология,51
панини,текст,50
разное,спряжение_глагол,49
индия_путешествие,разное,48
комментарии_ачарьи,разное,48
pdf,шрифт,48
сандхи_фонетика,учебник,47
pdf,текст,47
книга,панини,45
pdf,учебник,44
разное,склонение_падеж,43
сандхи_фонетика,словарь,43
словарь,спряжение_глагол,41
склонение_падеж,словарь,38
спряжение_глагол,учебник,37
склонение_падеж,текст,35
текст,этимология,35
спряжение_глагол,текст,34
pdf,сайт,34
панини,сайт,33
учебник,этимология,32
сандхи_фонетика,текст,32
словарь,терминология,32
книга,комментарии_ачарьи,31
комментарии_ачарьи,текст,31
склонение_падеж,учебник,31
билингва_английский,разное,31
разное,традиция_философия,30
сандхи_фонетика,шрифт,30
терминология,учебник,30
книга,терминология,30
перевод_вопрос,текст,29
книга,сандхи_фонетика,29
книга,этимология,29
перевод_вопрос,словарь,29
панини,шрифт,29
программа_приложение,разное,29
комментарии_ачарьи,словарь,28
встреча_событие,разное,27
индия_путешествие,книга,26
сайт,этимология,26
панини,сандхи_фонетика,24
книга,склонение_падеж,24
комментарии_ачарьи,учебник,24
программа_приложение,словарь,24
разное,синтаксис,23
йога_васиштха,текст,23
мантра_бхакти,текст,22
текст,терминология,22
курс_практикум,разное,21
перевод_вопрос,учебник,21
панини,этимология,21
книга,спряжение_глагол,21
программа_приложение,шрифт,21
разное,терминология,21
индия_путешествие,словарь,21
разное,словообразование_сложные_слова,20
индия_путешествие,учебник,20
синтаксис,текст,19
книга,синтаксис,19
программа_приложение,текст,19
персона_ученый,словарь,19
комментарии_ачарьи,шрифт,19
синтаксис,словарь,19
исправление_опечаток,словарь,19
книга,программа_приложение,18
курс_практикум,учебник,18
исправление_опечаток,разное,18
панини,спряжение_глагол,18
склонение_падеж,шрифт,18
сайт,спряжение_глагол,18
разное,чтение,18
индия_путешествие,текст,18
перевод_вопрос,шрифт,18
мантра_бхакти,разное,18
синтаксис,учебник,17
словарь,традиция_философия,17
текст,традиция_философия,17
словообразование_сложные_слова,учебник,17
pdf,панини,17
словарь,чтение,17
панини,терминология,17
йога_васиштха,словарь,17
книга,курс_практикум,16
стотра_гимн,текст,16
спряжение_глагол,шрифт,16
сандхи_фонетика,склонение_падеж,16
книга,перевод_вопрос,16
шрифт,этимология,16
спряжение_глагол,этимология,16
склонение_падеж,спряжение_глагол,15
комментарии_ачарьи,сайт,15
исправление_опечаток,учебник,15
панини,склонение_падеж,15
персона_ученый,учебник,15
словообразование_сложные_слова,текст,14
книга,традиция_философия,14
комментарии_ачарьи,панини,14
программа_приложение,сайт,14
словарь,словообразование_сложные_слова,14
разное,стотра_гимн,14
мантра_бхакти,учебник,13
текст,чтение,13
комментарии_ачарьи,перевод_вопрос,13
мантра_бхакти,словарь,13
программа_приложение,учебник,13
встреча_событие,словарь,13
синтаксис,спряжение_глагол,13
pdf,этимология,13
встреча_событие,книга,12
сандхи_фонетика,спряжение_глагол,12
встреча_событие,текст,12
синтаксис,склонение_падеж,12
перевод_вопрос,склонение_падеж,12
книга,мантра_бхакти,12
исправление_опечаток,шрифт,12
склонение_падеж,этимология,12
сайт,терминология,12
индия_путешествие,панини,12
билингва_английский,сайт,12
билингва_английский,шрифт,12
сайт,синтаксис,11
традиция_философия,учебник,11
терминология,шрифт,11
перевод_вопрос,сандхи_фонетика,11
pdf,комментарии_ачарьи,11
сайт,сандхи_фонетика,11
книга,персона_ученый,11
перевод_вопрос,спряжение_глагол,11
билингва_английский,словарь,11
индия_путешествие,шрифт,11
исправление_опечаток,книга,10
исправление_опечаток,текст,10
встреча_событие,учебник,10
склонение_падеж,словообразование_сложные_слова,10
курс_практикум,словарь,10
перевод_вопрос,сайт,10
комментарии_ачарьи,традиция_философия,10
мантра_бхакти,склонение_падеж,10
учебник,чтение,10
персона_ученый,разное,10
исправление_опечаток,спряжение_глагол,10
синтаксис,шрифт,10
терминология,этимология,10
словарь,частицы_служебные_слова,10
билингва_английский,учебник,10
pdf,программа_приложение,10
индия_путешествие,сайт,10
астрология,разное,9
исправление_опечаток,сандхи_фонетика,9
книга,словообразование_сложные_слова,9
сандхи_фонетика,словообразование_сложные_слова,9
сандхи_фонетика,этимология,9
книга,чтение,9
книга,сравнительное_языкознание,9
курс_практикум,панини,9
текст,частицы_служебные_слова,9
панини,перевод_вопрос,9
исправление_опечаток,сайт,9
йога_васиштха,книга,9
pdf,сандхи_фонетика,9
панини,синтаксис,9
сайт,склонение_падеж,9
спряжение_глагол,чтение,9
билингва_английский,индия_путешествие,9
стотра_гимн,учебник,9
индия_путешествие,сандхи_фонетика,9
pdf,обмен_файлами,9
традиция_философия,этимология,8
разное,частицы_служебные_слова,8
комментарии_ачарьи,этимология,8
мантра_бхакти,шрифт,8
чтение,шрифт,8
комментарии_ачарьи,склонение_падеж,8
программа_приложение,сандхи_фонетика,8
словарь,сравнительное_языкознание,8
разное,сравнительное_языкознание,8
курс_практикум,сандхи_фонетика,8
стотра_гимн,шрифт,8
астрология,текст,8
исправление_опечаток,панини,8
сайт,чтение,8
йога_васиштха,учебник,8
книга,стотра_гимн,8
встреча_событие,шрифт,8
программа_приложение,синтаксис,8
учебник,частицы_служебные_слова,8
курс_практикум,текст,8
курс_практикум,шрифт,7
панини,традиция_философия,7
панини,словообразование_сложные_слова,7
книга,частицы_служебные_слова,7
встреча_событие,индия_путешествие,7
персона_ученый,текст,7
панини,чтение,7
сандхи_фонетика,чтение,7
словообразование_сложные_слова,шрифт,7
комментарии_ачарьи,спряжение_глагол,7
pdf,перевод_вопрос,7
программа_приложение,спряжение_глагол,7
перевод_вопрос,программа_приложение,7
панини,программа_приложение,7
йога_васиштха,панини,7
комментарии_ачарьи,сандхи_фонетика,7
pdf,индия_путешествие,7
индия_путешествие,спряжение_глагол,7
обмен_файлами,разное,7
индия_путешествие,курс_практикум,6
индия_путешествие,программа_приложение,6
словообразование_сложные_слова,спряжение_глагол,6
встреча_событие,программа_приложение,6
мантра_бхакти,синтаксис,6
сайт,словообразование_сложные_слова,6
синтаксис,этимология,6
корпус_данные,разное,6
склонение_падеж,чтение,6
словообразование_сложные_слова,чтение,6
билингва_английский,панини,6
билингва_английский,текст,6
перевод_вопрос,синтаксис,6
перевод_вопрос,этимология,6
сандхи_фонетика,синтаксис,6
pdf,склонение_падеж,6
встреча_событие,комментарии_ачарьи,6
pdf,терминология,6
индия_путешествие,перевод_вопрос,6
йога_васиштха,спряжение_глагол,6
словарь,стотра_гимн,6
встреча_событие,панини,6
метрика_чхандас,разное,6
метрика_чхандас,словарь,6
встреча_событие,перевод_вопрос,6
комментарии_ачарьи,терминология,6
синтаксис,терминология,6
комментарии_ачарьи,стотра_гимн,6
перевод_вопрос,традиция_философия,6
астрология,словарь,6
индия_путешествие,этимология,6
комментарии_ачарьи,программа_приложение,6
pdf,спряжение_глагол,6
обмен_файлами,словарь,6
исправление_опечаток,словообразование_сложные_слова,5
сайт,традиция_философия,5
мантра_бхакти,сандхи_фонетика,5
синтаксис,словообразование_сложные_слова,5
традиция_философия,шрифт,5
программа_приложение,склонение_падеж,5
встреча_событие,склонение_падеж,5
билингва_английский,книга,5
корпус_данные,словарь,5
сандхи_фонетика,терминология,5
pdf,чтение,5
исправление_опечаток,синтаксис,5
исправление_опечаток,чтение,5
астрология,книга,5
сравнительное_языкознание,учебник,5
pdf,исправление_опечаток,5
спряжение_глагол,терминология,5
индия_путешествие,комментарии_ачарьи,5
панини,персона_ученый,5
персона_ученый,сайт,5
персона_ученый,шрифт,5
метрика_чхандас,текст,5
метрика_чхандас,спряжение_глагол,5
метрика_чхандас,учебник,5
встреча_событие,сандхи_фонетика,5
панини,частицы_служебные_слова,5
йога_васиштха,этимология,5
мантра_бхакти,спряжение_глагол,5
сайт,стотра_гимн,5
индия_путешествие,склонение_падеж,5
индия_путешествие,традиция_философия,5
pdf,билингва_английский,5
pdf,персона_ученый,5
встреча_событие,синтаксис,4
встреча_событие,традиция_философия,4
курс_практикум,синтаксис,4
синтаксис,традиция_философия,4
корпус_данные,текст,4
курс_практикум,этимология,4
встреча_событие,сайт,4
сайт,сравнительное_языкознание,4
сравнительное_языкознание,этимология,4
корпус_данные,сайт,4
терминология,традиция_философия,4
комментарии_ачарьи,курс_практикум,4
персона_ученый,программа_приложение,4
исправление_опечаток,этимология,4
корпус_данные,шрифт,4
перевод_вопрос,словообразование_сложные_слова,4
перевод_вопрос,чтение,4
мантра_бхакти,панини,4
мантра_бхакти,традиция_философия,4
встреча_событие,этимология,4
йога_васиштха,сайт,4
метрика_чхандас,панини,4
сандхи_фонетика,частицы_служебные_слова,4
склонение_падеж,частицы_служебные_слова,4
курс_практикум,сайт,4
комментарии_ачарьи,синтаксис,4
йога_васиштха,терминология,4
склонение_падеж,терминология,4
частицы_служебные_слова,этимология,4
мантра_бхакти,сайт,4
программа_приложение,терминология,4
pdf,синтаксис,4
индия_путешествие,исправление_опечаток,4
индия_путешествие,чтение,4
мантра_бхакти,перевод_вопрос,4
pdf,сравнительное_языкознание,4
обмен_файлами,учебник,4
астрология,спряжение_глагол,3
исправление_опечаток,склонение_падеж,3
комментарии_ачарьи,словообразование_сложные_слова,3
перевод_вопрос,стотра_гимн,3
комментарии_ачарьи,мантра_бхакти,3
книга,корпус_данные,3
исправление_опечаток,перевод_вопрос,3
синтаксис,чтение,3
словообразование_сложные_слова,этимология,3
чтение,этимология,3
астрология,терминология,3
встреча_событие,спряжение_глагол,3
перевод_вопрос,терминология,3
йога_васиштха,разное,3
персона_ученый,спряжение_глагол,3
персона_ученый,этимология,3
программа_приложение,этимология,3
йога_васиштха,склонение_падеж,3
встреча_событие,частицы_служебные_слова,3
комментарии_ачарьи,частицы_служебные_слова,3
перевод_вопрос,частицы_служебные_слова,3
синтаксис,частицы_служебные_слова,3
спряжение_глагол,частицы_служебные_слова,3
книга,метрика_чхандас,3
курс_практикум,спряжение_глагол,3
метрика_чхандас,сайт,3
курс_практикум,склонение_падеж,3
курс_практикум,программа_приложение,3
pdf,стотра_гимн,3
сандхи_фонетика,стотра_гимн,3
метрика_чхандас,чтение,3
индия_путешествие,синтаксис,3
персона_ученый,терминология,3
индия_путешествие,словообразование_сложные_слова,3
индия_путешествие,терминология,3
астрология,учебник,3
программа_приложение,традиция_философия,3
pdf,мантра_бхакти,3
билингва_английский,комментарии_ачарьи,3
билингва_английский,сандхи_фонетика,3
индия_путешествие,мантра_бхакти,3
сравнительное_языкознание,шрифт,3
мантра_бхакти,чтение,3
сравнительное_языкознание,текст,3
книга,обмен_файлами,3
обмен_файлами,шрифт,3
обмен_файлами,спряжение_глагол,3
астрология,курс_практикум,2
корпус_данные,программа_приложение,2
комментарии_ачарьи,чтение,2
знакомство,разное,2
исправление_опечаток,комментарии_ачарьи,2
словообразование_сложные_слова,традиция_философия,2
астрология,синтаксис,2
pdf,корпус_данные,2
сандхи_фонетика,традиция_философия,2
комментарии_ачарьи,корпус_данные,2
встреча_событие,знакомство,2
индия_путешествие,персона_ученый,2
исправление_опечаток,корпус_данные,2
корпус_данные,панини,2
корпус_данные,перевод_вопрос,2
корпус_данные,синтаксис,2
корпус_данные,спряжение_глагол,2
корпус_данные,чтение,2
корпус_данные,этимология,2
билингва_английский,перевод_вопрос,2
мантра_бхакти,этимология,2
сравнительное_языкознание,терминология,2
сайт,частицы_служебные_слова,2
астрология,сайт,2
курс_практикум,перевод_вопрос,2
йога_васиштха,синтаксис,2
встреча_событие,словообразование_сложные_слова,2
персона_ученый,словообразование_сложные_слова,2
программа_приложение,словообразование_сложные_слова,2
йога_васиштха,метрика_чхандас,2
часть_речи,этимология,2
билингва_английский,персона_ученый,2
билингва_английский,традиция_философия,2
исправление_опечаток,метрика_чхандас,2
комментарии_ачарьи,метрика_чхандас,2
метрика_чхандас,сандхи_фонетика,2
метрика_чхандас,синтаксис,2
курс_практикум,терминология,2
словообразование_сложные_слова,терминология,2
мантра_бхакти,программа_приложение,2
мантра_бхакти,терминология,2
терминология,чтение,2
астрология,этимология,2
исправление_опечаток,мантра_бхакти,2
панини,стотра_гимн,2
индия_путешествие,стотра_гимн,2
традиция_философия,частицы_служебные_слова,2
индия_путешествие,метрика_чхандас,2
стотра_гимн,терминология,2
стотра_гимн,этимология,2
мантра_бхакти,стотра_гимн,2
билингва_английский,склонение_падеж,2
билингва_английский,исправление_опечаток,2
исправление_опечаток,йога_васиштха,2
стотра_гимн,традиция_философия,2
pdf,курс_практикум,2
билингва_английский,мантра_бхакти,2
билингва_английский,спряжение_глагол,2
астрология,панини,2
комментарии_ачарьи,персона_ученый,2
билингва_английский,чтение,2
билингва_английский,встреча_событие,2
встреча_событие,мантра_бхакти,2
астрология,шрифт,2
pdf,встреча_событие,2
персона_ученый,чтение,2
мантра_бхакти,метрика_чхандас,2
индия_путешествие,сравнительное_языкознание,2
программа_приложение,сравнительное_языкознание,2
сандхи_фонетика,сравнительное_языкознание,2
администрирование_группы,разное,2
билингва_английский,этимология,2
склонение_падеж,традиция_философия,2
спряжение_глагол,традиция_философия,2
метрика_чхандас,перевод_вопрос,2
метрика_чхандас,склонение_падеж,2
индия_путешествие,частицы_служебные_слова,2
обмен_файлами,этимология,2
билингва_английский,обмен_файлами,2
обмен_файлами,панини,2
