canonical	type	aliases	qid
Velthuis	tool	велтхаус|velthuys
ITRANS	tool	итранс
Harvard-Kyoto	tool	harvard-kyoto|hk-транслитерация
SLP1	tool	slp1
Unicode Devanagari	tool	юникод деванагари|unicode devanagari
Sanskrit Heritage	tool	heritage platform|санскрит эритаж
DCS	tool	digital corpus of sanskrit|дигитальный корпус
GitHub	tool	гитхаб
Wikipedia	tool	википедия|wiki
Dropbox	tool	дропбокс
Rapidshare	tool	рапидшара
Delhi	place	дели|delhi
Vrindavan	place	вриндаван|vrindavan
Varanasi	place	варанаси|каши|kashi
Pune	place	пуна|pune
Moscow	place	москва|moscow
Saint Petersburg	place	санкт-петербург|спб|petersburg
