post_id,year,tier,is_outlier,score,percentile
13,2015,low,0,0.0,0.0017
62,2015,low,0,0.0,0.0034
86,2015,low,0,0.0,0.0052
101,2015,low,0,0.0,0.0069
114,2015,low,0,0.0,0.0086
117,2015,low,0,0.0,0.0103
119,2015,low,0,0.0,0.012
121,2015,low,0,0.0,0.0137
124,2015,low,0,0.0,0.0155
127,2015,low,0,0.0,0.0172
129,2015,low,0,0.0,0.0189
133,2015,low,0,0.0,0.0206
136,2015,low,0,0.0,0.0223
137,2015,low,0,0.0,0.0241
139,2015,low,0,0.0,0.0258
140,2015,low,0,0.0,0.0275
155,2015,low,0,0.0,0.0292
156,2015,low,0,0.0,0.0309
157,2015,low,0,0.0,0.0326
158,2015,low,0,0.0,0.0344
159,2015,low,0,0.0,0.0361
161,2015,low,0,0.0,0.0378
187,2015,low,0,0.0,0.0395
188,2015,low,0,0.0,0.0412
191,2015,low,0,0.0,0.043
192,2015,low,0,0.0,0.0447
194,2015,low,0,0.0,0.0464
198,2015,low,0,0.0,0.0481
207,2015,low,0,0.0,0.0498
222,2015,low,0,0.0,0.0515
236,2015,low,0,0.0,0.0533
237,2015,low,0,0.0,0.055
240,2015,low,0,0.0,0.0567
269,2015,low,0,0.0,0.0584
274,2015,low,0,0.0,0.0601
310,2015,low,0,0.0,0.0619
316,2015,low,0,0.0,0.0636
319,2015,low,0,0.0,0.0653
320,2015,low,0,0.0,0.067
332,2015,low,0,0.0,0.0687
333,2015,low,0,0.0,0.0704
340,2015,low,0,0.0,0.0722
342,2015,low,0,0.0,0.0739
357,2015,low,0,0.0,0.0756
367,2015,low,0,0.0,0.0773
412,2015,low,0,0.0,0.079
413,2015,low,0,0.0,0.0808
419,2015,low,0,0.0,0.0825
420,2015,low,0,0.0,0.0842
435,2015,low,0,0.0,0.0859
442,2015,low,0,0.0,0.0876
448,2015,low,0,0.0,0.0893
453,2015,low,0,0.0,0.0911
455,2015,low,0,0.0,0.0928
456,2015,low,0,0.0,0.0945
463,2015,low,0,0.0,0.0962
465,2015,low,0,0.0,0.0979
467,2015,low,0,0.0,0.0997
473,2015,low,0,0.0,0.1014
475,2015,low,0,0.0,0.1031
479,2015,low,0,0.0,0.1048
531,2015,low,0,0.0,0.1065
556,2015,low,0,0.0,0.1082
562,2015,low,0,0.0,0.11
585,2015,low,0,0.0,0.1117
603,2015,low,0,0.0,0.1134
635,2015,low,0,0.0,0.1151
640,2015,low,0,0.0,0.1168
645,2015,low,0,0.0,0.1186
666,2015,low,0,0.0,0.1203
668,2015,low,0,0.0,0.122
727,2015,low,0,0.0,0.1237
733,2015,low,0,0.0,0.1254
748,2015,low,0,0.0,0.1271
753,2015,low,0,0.0,0.1289
758,2015,low,0,0.0,0.1306
763,2015,low,0,0.0,0.1323
826,2015,low,0,0.0,0.134
858,2015,low,0,0.0,0.1357
864,2015,low,0,0.0,0.1375
866,2015,low,0,0.0,0.1392
871,2015,low,0,0.0,0.1409
878,2015,low,0,0.0,0.1426
4,2015,low,0,1.0,0.1443
7,2015,low,0,1.0,0.146
10,2015,low,0,1.0,0.1478
18,2015,low,0,1.0,0.1495
21,2015,low,0,1.0,0.1512
23,2015,low,0,1.0,0.1529
29,2015,low,0,1.0,0.1546
46,2015,low,0,1.0,0.1564
49,2015,low,0,1.0,0.1581
50,2015,low,0,1.0,0.1598
51,2015,low,0,1.0,0.1615
56,2015,low,0,1.0,0.1632
67,2015,low,0,1.0,0.1649
79,2015,low,0,1.0,0.1667
81,2015,low,0,1.0,0.1684
82,2015,low,0,1.0,0.1701
87,2015,low,0,1.0,0.1718
111,2015,low,0,1.0,0.1735
123,2015,low,0,1.0,0.1753
125,2015,low,0,1.0,0.177
130,2015,low,0,1.0,0.1787
132,2015,low,0,1.0,0.1804
160,2015,low,0,1.0,0.1821
167,2015,low,0,1.0,0.1838
196,2015,low,0,1.0,0.1856
201,2015,low,0,1.0,0.1873
213,2015,low,0,1.0,0.189
224,2015,low,0,1.0,0.1907
227,2015,low,0,1.0,0.1924
245,2015,low,0,1.0,0.1942
293,2015,low,0,1.0,0.1959
304,2015,low,0,1.0,0.1976
311,2015,low,0,1.0,0.1993
337,2015,low,0,1.0,0.201
348,2015,low,0,1.0,0.2027
355,2015,low,0,1.0,0.2045
356,2015,low,0,1.0,0.2062
365,2015,low,0,1.0,0.2079
396,2015,low,0,1.0,0.2096
399,2015,low,0,1.0,0.2113
406,2015,low,0,1.0,0.2131
444,2015,low,0,1.0,0.2148
445,2015,low,0,1.0,0.2165
452,2015,low,0,1.0,0.2182
460,2015,low,0,1.0,0.2199
462,2015,low,0,1.0,0.2216
495,2015,low,0,1.0,0.2234
509,2015,low,0,1.0,0.2251
515,2015,low,0,1.0,0.2268
530,2015,low,0,1.0,0.2285
584,2015,low,0,1.0,0.2302
600,2015,low,0,1.0,0.232
612,2015,low,0,1.0,0.2337
620,2015,low,0,1.0,0.2354
646,2015,low,0,1.0,0.2371
673,2015,low,0,1.0,0.2388
686,2015,low,0,1.0,0.2405
690,2015,low,0,1.0,0.2423
692,2015,low,0,1.0,0.244
702,2015,low,0,1.0,0.2457
704,2015,low,0,1.0,0.2474
719,2015,low,0,1.0,0.2491
723,2015,mid_low,0,1.0,0.2509
724,2015,mid_low,0,1.0,0.2526
726,2015,mid_low,0,1.0,0.2543
743,2015,mid_low,0,1.0,0.256
759,2015,mid_low,0,1.0,0.2577
767,2015,mid_low,0,1.0,0.2595
768,2015,mid_low,0,1.0,0.2612
784,2015,mid_low,0,1.0,0.2629
789,2015,mid_low,0,1.0,0.2646
874,2015,mid_low,0,1.0,0.2663
879,2015,mid_low,0,1.0,0.268
3,2015,mid_low,0,2.0,0.2698
6,2015,mid_low,0,2.0,0.2715
16,2015,mid_low,0,2.0,0.2732
25,2015,mid_low,0,2.0,0.2749
45,2015,mid_low,0,2.0,0.2766
55,2015,mid_low,0,2.0,0.2784
77,2015,mid_low,0,2.0,0.2801
120,2015,mid_low,0,2.0,0.2818
166,2015,mid_low,0,2.0,0.2835
169,2015,mid_low,0,2.0,0.2852
231,2015,mid_low,0,2.0,0.2869
233,2015,mid_low,0,2.0,0.2887
242,2015,mid_low,0,2.0,0.2904
335,2015,mid_low,0,2.0,0.2921
344,2015,mid_low,0,2.0,0.2938
349,2015,mid_low,0,2.0,0.2955
350,2015,mid_low,0,2.0,0.2973
360,2015,mid_low,0,2.0,0.299
405,2015,mid_low,0,2.0,0.3007
459,2015,mid_low,0,2.0,0.3024
523,2015,mid_low,0,2.0,0.3041
557,2015,mid_low,0,2.0,0.3058
573,2015,mid_low,0,2.0,0.3076
574,2015,mid_low,0,2.0,0.3093
595,2015,mid_low,0,2.0,0.311
625,2015,mid_low,0,2.0,0.3127
626,2015,mid_low,0,2.0,0.3144
630,2015,mid_low,0,2.0,0.3162
667,2015,mid_low,0,2.0,0.3179
682,2015,mid_low,0,2.0,0.3196
706,2015,mid_low,0,2.0,0.3213
708,2015,mid_low,0,2.0,0.323
715,2015,mid_low,0,2.0,0.3247
735,2015,mid_low,0,2.0,0.3265
751,2015,mid_low,0,2.0,0.3282
756,2015,mid_low,0,2.0,0.3299
764,2015,mid_low,0,2.0,0.3316
765,2015,mid_low,0,2.0,0.3333
790,2015,mid_low,0,2.0,0.3351
792,2015,mid_low,0,2.0,0.3368
810,2015,mid_low,0,2.0,0.3385
815,2015,mid_low,0,2.0,0.3402
822,2015,mid_low,0,2.0,0.3419
824,2015,mid_low,0,2.0,0.3436
848,2015,mid_low,0,2.0,0.3454
870,2015,mid_low,0,2.0,0.3471
876,2015,mid_low,0,2.0,0.3488
882,2015,mid_low,0,2.0,0.3505
47,2015,mid_low,0,3.0,0.3522
80,2015,mid_low,0,3.0,0.354
131,2015,mid_low,0,3.0,0.3557
144,2015,mid_low,0,3.0,0.3574
172,2015,mid_low,0,3.0,0.3591
173,2015,mid_low,0,3.0,0.3608
181,2015,mid_low,0,3.0,0.3625
226,2015,mid_low,0,3.0,0.3643
232,2015,mid_low,0,3.0,0.366
279,2015,mid_low,0,3.0,0.3677
324,2015,mid_low,0,3.0,0.3694
334,2015,mid_low,0,3.0,0.3711
368,2015,mid_low,0,3.0,0.3729
370,2015,mid_low,0,3.0,0.3746
539,2015,mid_low,0,3.0,0.3763
545,2015,mid_low,0,3.0,0.378
571,2015,mid_low,0,3.0,0.3797
615,2015,mid_low,0,3.0,0.3814
